Ticker,Name,Website,DNBExchange,DNBTicker,NaicsSector,NaicsIndustry,KeyPrincipal,DetailLink,Description
10/04/2012 00:00:00,Fluor Corporation to Hold Third Quarter Earnings Conference Call,
10/01/2012 00:00:00,"Fluor CEOs, Past and Present, Recognized by the World Affairs Council of Dallas/Fort Worth with H. Neil Mallon Award",
09/20/2012 00:00:00,U.S. Department of Energy Extends Savannah River Nuclear Solutions’ M&O Contract through September 2016,
09/18/2012 00:00:00,Fluor Completes Diamond Mine Upgrade Project in Botswana,
09/17/2012 00:00:00,"Fluor to Design, Build, Operate and Maintain 170-Megawatt Centinela Solar Energy Facility in California",
09/14/2012 00:00:00,Fluor Selected for The Dow Chemical Company’s Propylene Production Project in Texas,
09/13/2012 00:00:00,Fluor Celebrates 25 Years in the Philippines,
09/13/2012 00:00:00,Fluor and AG&P Form Joint Venture in the Philippines,
08/29/2012 00:00:00,Fluor to Present at D.A. Davidson E&C Conference,
08/23/2012 00:00:00,Fluor to Present at Barclays CEO Energy-Power Conference,
08/03/2012 00:00:00,Former Florida Power & Light CEO Armando Olivera Joins Fluor’s Board of Directors,
08/02/2012 00:00:00,Fluor Reports Second Quarter Results Including Growth in Oil & Gas Orders and Backlog,
08/02/2012 00:00:00,Fluor Corporation Announces Quarterly Dividend,
08/02/2012 00:00:00,Fluor Chosen as EPC Contractor for Dominion’s Brunswick County Power Station,
08/01/2012 00:00:00,Fluor Awarded Aluminum Manufacturing Facility for Ma’aden-Alcoa Joint Venture,
08/01/2012 00:00:00,Fluor Announces Financial Close and Notice to Proceed to Build I-95 HOT Lanes for VDOT,
07/30/2012 00:00:00,Fluor to Webcast Investor Presentation,
07/24/2012 00:00:00,Fluor to Provide EPCM Services for Yara’s Global Locations,
07/23/2012 00:00:00,Fluor Teams with Brazil’s Construcap for New Joint Venture,
07/13/2012 00:00:00,"Fluor’s Greenville, S.C., Office Receives Inaugural Spirit Award for Outstanding Leadership from United Way",
07/10/2012 00:00:00,Fluor Secures Sasol’s Tar Separator Replacement Project in South Africa,
07/05/2012 00:00:00,Fluor Corporation to Hold Second Quarter Earnings Conference Call,
06/05/2012 00:00:00,ICA Fluor to Construct Pemex Offshore Production Platform in Gulf of Mexico,
05/29/2012 00:00:00,Fluor to Present at Credit Suisse 2012 Engineering and Construction Conference,
05/20/2012 00:00:00,Fluor Completes Polysilicon Plant in China for LDK Solar,
05/16/2012 00:00:00,Fluor VP of Corporate Affairs Lee Tashjian to Retire; Company Names R. Clifton Webb as Successor,
05/03/2012 00:00:00,Fluor Reports First Quarter Results Including Record Backlog,
05/03/2012 00:00:00,Fluor Wins Copper Mill Optimization Work in British Columbia,
05/03/2012 00:00:00,Fluor Joint Venture Awarded Contract for Tengizchevroil’s Wellhead Pressure Management Project in Kazakhstan,
05/03/2012 00:00:00,Fluor Corporation Announces Quarterly Dividend,
05/03/2012 00:00:00,Fluor Selected by Reliance for Project Management of Refinery and Petrochemicals Expansions in India,
04/23/2012 00:00:00,Fluor Celebrates 100-Year Anniversary,
04/23/2012 00:00:00,Fluor Corporation Celebrates 100-Year Anniversary by Ringing the NYSE Opening Bell,
04/12/2012 00:00:00,Fluor Corporation to Hold First Quarter Earnings Conference Call,
04/11/2012 00:00:00,Fluor Named North America Engineering Partner for BASF,
04/10/2012 00:00:00,Fluor Awarded New LOGCAP IV Task Order in Africa,
04/02/2012 00:00:00,Fluor Wins FEED Contract for LNG Terminal in Malaysia,
03/19/2012 00:00:00,Fluor Named as One of the World's Most Ethical Companies by Ethisphere Institute,
03/15/2012 00:00:00,Fluor Awarded FEMA Contract to Support National Emergency Recovery Efforts,
03/14/2012 00:00:00,Fluor CFO D. Michael Steuert to Retire in May; Company Names Biggs C. Porter as New Chief Financial Officer,
03/13/2012 00:00:00,Fluor Tops FORTUNE Magazine’s Most Admired Companies List in the Engineering & Construction Sector,
03/13/2012 00:00:00,Fluor to Present at BB&T 6th Annual Commercial & Industrial Conference,
03/08/2012 00:00:00,Fluor Awarded Strategic Global EPC Agreement by The Dow Chemical Company,
03/04/2012 00:00:00,Fluor Awarded Renewable Fuel Production Plant by Joule,
02/22/2012 00:00:00,Fluor Reports Fourth Quarter and Full Year 2011 Results,
02/14/2012 00:00:00,Fluor Awarded Biofuels Demonstration Plant by Joule Unlimited,
02/09/2012 00:00:00,"Fluor to Undertake Project for Syncrude Canada Ltd. in Alberta, Canada",
02/02/2012 00:00:00,CEO David Seaton Elected Chairman of Fluor’s Board,
02/02/2012 00:00:00,Fluor Corporation Increases Quarterly Dividend,
01/31/2012 00:00:00,"Fluor to Design, Build, Operate and Maintain 125-Megawatt Solar Energy Facility in Arizona",
01/19/2012 00:00:00,Fluor Corporation to Hold Fourth Quarter and Year End Earnings Conference Call,
12/16/2011 00:00:00,Fluor Awarded Base Operations Support Contract by U.S. Navy for Jacksonville-Area Bases,
12/13/2011 00:00:00,Fluor Signs MOU with Clean Line Energy for 800-Mile Transmission Line,
12/07/2011 00:00:00,Fluor Makes Senior Management Changes: Grimes to Take Over Operations; Flowers to Lead Global Services,
12/06/2011 00:00:00,Virginia Governor Announces That VDOT and Fluor-Transurban Reach Agreement in Principle on I-95 Project in Northern Virginia,
12/05/2011 00:00:00,"Jeffrey Ruebesam Joins Fluor to Lead Global Health, Safety & Environmental Function",
11/29/2011 00:00:00,Fluor Named One of America’s Safest Companies by EHS Today Magazine,
11/28/2011 00:00:00,Fluor to Present at Bank of America Merrill Lynch Industrials Conference,
11/17/2011 00:00:00,Fluor Named to Aon Hewitt’s Top Companies for Leaders List,
11/14/2011 00:00:00,Fluor Receives Notice to Proceed for New LCRA Gas Power Plant in Texas,
