Date,Description,Link,EarningRelated
02/02/2016 00:00:00,Kathryn Henry Joins lululemon athletica Board of Directors,,0
11/01/2016 00:00:00,lululemon athletica inc. Updates Guidance for Fourth Quarter of Fiscal 2015 Ahead of Presentation at the ICR Conference,,0
29/12/2015 00:00:00,lululemon athletica inc. Announces Participation in the ICR Conference 2016,,0
09/12/2015 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2015 Results,,1
23/11/2015 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal Year 2015 Earnings Conference Call,,1
17/11/2015 00:00:00,"lululemon athletica Names Gina Warren, Executive Vice President, Culture & Talent",,0
21/10/2015 00:00:00,lululemon Announces Organizational Changes to Elevate Design and Innovation,,0
10/09/2015 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2015 Results,,1
03/09/2015 00:00:00,lululemon athletica inc. Announces Participation in the Stifel 2015 Consumer Conference,,0
26/08/2015 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal Year 2015 Earnings Conference Call,,1
25/06/2015 00:00:00,"lululemon athletica Names Miguel Almeida, Executive Vice President, Digital",,0
10/06/2015 00:00:00,lululemon athletica inc. Announces Participation in the Jefferies 2015 Consumer Conference,,0
09/06/2015 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2015 Results,,1
04/06/2015 00:00:00,lululemon athletica inc. Announces Participation in the William Blair 35th Annual Growth Stock Conference,,0
26/05/2015 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal Year 2015 Earnings Conference Call,,1
13/05/2015 00:00:00,"lululemon announces departure of EVP, Global Retail",,0
26/03/2015 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2014 Results,,1
12/03/2015 00:00:00,lululemon athletica inc. announces fourth quarter and full fiscal year 2014 earnings conference call,,1
12/01/2015 00:00:00,lululemon athletica inc. Updates Guidance for Fourth Quarter of Fiscal 2014 Ahead of Presentation at ICR XChange,,0
07/01/2015 00:00:00,lululemon athletica Names Stuart C. Haselden Chief Financial Officer,,0
29/12/2014 00:00:00,lululemon athletica inc. Announces Participation in the 17th Annual ICR XChange Conference,,0
11/12/2014 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2014 Results,,1
26/11/2014 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2014 Earnings Conference Call,,1
04/11/2014 00:00:00,"lululemon athletica Appoints Duke Stump as Executive Vice-President, Community and Brand",,0
11/09/2014 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2014 Results,,1
28/08/2014 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2014 Earnings Conference Call,,1
07/08/2014 00:00:00,"lululemon athletica inc., lululemon Founder Chip Wilson and Advent International Announce Stock Sale and Support Agreements",,0
12/06/2014 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2014 Results and $450 Million Share Buyback Program,,1
12/06/2014 00:00:00,lululemon athletica inc. Announces Retirement of Chief Financial Officer John Currie,,0
11/06/2014 00:00:00,lululemon athletica inc. Issues Statement,,0
29/05/2014 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2014 Earnings Conference Call,,1
27/03/2014 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2013 Results,,1
13/03/2014 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2013 Earnings Conference Call,,1
13/01/2014 00:00:00,lululemon athletica inc. Updates Guidance for Fourth Quarter of Fiscal 2013 Ahead of Presentation at ICR XChange,,0
31/12/2013 00:00:00,lululemon athletica inc. Announces Participation in the 16th Annual ICR XChange Conference,,0
12/12/2013 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2013 Results,,1
09/12/2013 00:00:00,lululemon athletica appoints Laurent Potdevin as chief executive officer,,0
27/11/2013 00:00:00,lululemon athletica inc. Announces Third Quarter Fiscal 2013 Earnings Conference Call,,1
30/10/2013 00:00:00,lululemon athletica Appoints Tara Poseley as Chief Product Officer,,0
12/09/2013 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2013 Results,,1
29/08/2013 00:00:00,lululemon athletica inc. Announces Second Quarter Fiscal 2013 Earnings Conference Call,,1
10/06/2013 00:00:00,"lululemon athletica inc. Announces First Quarter Fiscal 2013 Results, Announces CEO Transition Plan",,1
22/05/2013 00:00:00,lululemon athletica inc. Announces First Quarter Fiscal 2013 Earnings Conference Call,,1
03/04/2013 00:00:00,lululemon Announces luon Production Update,,0
03/04/2013 00:00:00,lululemon Announces Organizational Change,,0
21/03/2013 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2012 Results,,1
18/03/2013 00:00:00,Black Luon Pants Shortage Expected,,0
04/03/2013 00:00:00,lululemon athletica inc. Announces Fourth Quarter and Full Year Fiscal 2012 Earnings Conference Call,,1
04/02/2013 00:00:00,lululemon athletica Appoints Robert Bensoussan to Its Board of Directors,,0
