Date,Description,Link,EarningRelated
18/05/2017 00:00:00,UNDER ARMOUR FEATURED AS A LINKEDIN TOP COMPANY!,,0
27/04/2017 00:00:00,Under Armour Reports First Quarter Results,,1
14/04/2017 00:00:00,"UNDER ARMOUR STATEMENT - April 14, 2017",,0
13/04/2017 00:00:00,Under Armour Announces Nomination of Jerri L. DeVard to Board of Directors,,0
06/04/2017 00:00:00,Under Armour Announces First Quarter 2017 Earnings And Conference Call Date,,1
13/03/2017 00:00:00,Under Armour Announces Clay Dean as Chief Innovation Officer,,0
15/02/2017 00:00:00,Kevin Plank Open Letter to Baltimore,,0
10/02/2017 00:00:00,"At Under Armour, our culture has always been about optimism, teamwork, and unity.  We have engaged w...",,0
31/01/2017 00:00:00,Under Armour Reports Fourth Quarter and Full Year Results; Announces Outlook for 2017,,1
18/01/2017 00:00:00,Under Armour Adds Pure Power To Its Athlete Roster With Superstar Leonard Fournette,,0
17/01/2017 00:00:00,Under Armour Announces Lance Allega As Vice President Of Investor Relations,,0
17/01/2017 00:00:00,"Jordan Spieth Launches First Signature Golf Shoe, The Spieth One, On Global Tour With Under Armour",,0
10/01/2017 00:00:00,"Under Armour, Inc. To Report Fourth Quarter 2016 Earnings and Webcast Conference Call",,1
05/01/2017 00:00:00,"Under Armour Launches New Sleep & Recovery System, Backed By Science And Validated By Athletes",,0
14/12/2016 00:00:00,Under Armour Doubles-Down on Connected Footwear; Unveils New Line of UA Record™ Equipped Running Shoes,,0
07/12/2016 00:00:00,Under Armour To Ring The Opening Bell At The New York Stock Exchange,,0
05/12/2016 00:00:00,"Under Armour, Fanatics And MLB Invigorate Global Sports Landscape With A New, Groundbreaking Partnership",,0
28/11/2016 00:00:00,Under Armour Announces Change Of Class A And Class C Ticker Symbols,,0
02/11/2016 00:00:00,Under Armour Expands To Boston's Back Bay With Its Largest Brand House Opening Of 2016,,0
25/10/2016 00:00:00,Under Armour Reports Third Quarter Net Revenues Growth Of 22%; Reiterates Full Year Net Revenues Outlook Of $4.925 Billion,,1
24/10/2016 00:00:00,"Under Armour And Stephen Curry Debut A Lively New Campaign, ""Make That Old,"" Featuring The Highly Anticipated Curry 3",,0
21/10/2016 00:00:00,"New Season, New Ambitions, New Footwear Arsenal: Under Armour And Stephen Curry To Launch The Curry 3",,0
19/10/2016 00:00:00,"Under Armour Announces Partnership With ""She Plays We Win"" Initiative To Promote Young Girls In Sport",,0
13/10/2016 00:00:00,Under Armour's Kevin Plank Invites Nation's Top Young Entrepreneurs to Compete in Cupid's Cup 2017,,0
11/10/2016 00:00:00,Under Armour and the Montreal Canadiens invite Bantam hockey teams to compete to Storm the Centre and play a game at the Bell Centre,,0
06/10/2016 00:00:00,"Under Armour and the Toronto Maple Leafs Invite Bantam Hockey Teams to Compete to ""Storm The Centre"" and Play a Game at Air Canada Centre",,0
04/10/2016 00:00:00,"Under Armour, Inc. To Report Third Quarter 2016 Earnings and Webcast Conference Call",,1
16/09/2016 00:00:00,Under Armour Announces Senior Management Change In North America,,0
07/09/2016 00:00:00,"Under Armour Debuts Final Chapter In ""It Comes From Below"" Campaign Starring Cam Newton",,0
30/08/2016 00:00:00,Under Armour Announces Plan To Open E-Commerce Distribution House In Maryland,,0
24/08/2016 00:00:00,"Under Armour, Inc. To Present At The Goldman Sachs 23rd Annual Global Retailing Conference",,0
22/08/2016 00:00:00,"Under Armour Launches ""It Comes From Below"" UA Running Chapter, Announcing Global Recruitment For Runners To Put Themselves To The Ultimate Test",,0
26/07/2016 00:00:00,Under Armour Reports Second Quarter Net Revenues Growth Of 28%; Reiterates Full Year Net Revenues Outlook Of $4.925 Billion,,1
25/07/2016 00:00:00,Under Armour and Sport Chek Announce Search for Canada's Top Youth Athletes,,0
11/07/2016 00:00:00,"Under Armour Launches ""It Comes From Below"", A Multi-Sport Campaign Featuring Bryce Harper, Cam Newton And Under Armour Running",,0
05/07/2016 00:00:00,"Under Armour, Inc. To Report Second Quarter 2016 Earnings and Webcast Conference Call",,1
28/06/2016 00:00:00,Under Armour Opens UA Lighthouse Manufacturing And Design Leadership Center In The Brand's Hometown Of Baltimore,,0
16/06/2016 00:00:00,Under Armour Announces Final Ratio For Class C Stock Dividend,,0
07/06/2016 00:00:00,"Under Armour Launches UA Shop, Expanding Connected Fitness Suite With Personalized Shopping Experience",,0
03/06/2016 00:00:00,Under Armour Announces Class C Stock Dividend Related To Settlement,,0
02/06/2016 00:00:00,"Tim Coppens Announced as Executive Creative Director of UAS™, A Modern American Sportswear Brand from Under Armour",,0
01/06/2016 00:00:00,NBA and Under Armour Partner to Launch NBA FIT App,,0
31/05/2016 00:00:00,Under Armour Updates 2016 Outlook,,0
24/05/2016 00:00:00,Under Armour Announces Record Partnership with UCLA,,0
10/05/2016 00:00:00,Stephen Curry Earns Top League Honor for Second Straight Year,,0
03/05/2016 00:00:00,Under Armour Announces Changes To Senior Management Team,,0
25/04/2016 00:00:00,"Under Armour Launches UA HealthBox, Suite of Connected Fitness Products in Canada",,0
22/04/2016 00:00:00,"Under Armour Strikes Landmark Partnership with University of California, Berkeley",,0
21/04/2016 00:00:00,Under Armour Reports First Quarter Net Revenues Growth Of 30%; Raises Full Year Net Revenues Outlook To $5.0 Billion,,1
15/04/2016 00:00:00,The Under Armour Curry 2.5 is the Newest Addition to Stephen Curry's Signature Footwear Collection,,0
14/04/2016 00:00:00,Southampton FC and Under Armour Team Up for Multi-Year Partnership,,0
31/03/2016 00:00:00,"Under Armour, Inc. To Report First Quarter 2016 Earnings and Webcast Conference Call",,1
16/03/2016 00:00:00,Under Armour Announces Class C Stock Dividend,,0
08/03/2016 00:00:00,Under Armour Premieres New RULE YOURSELF Campaign Film Featuring Michael Phelps At Global Headquarters In Baltimore,,0
04/03/2016 00:00:00,Under Armour Reiterates Outlook For 2016 Following Announcement Of Sports Authority Bankruptcy,,0
02/02/2016 00:00:00,Under Armour and Living Classrooms Commit to Revitalizing Community/Recreation Center,,0
28/01/2016 00:00:00,Under Armour Reports Fourth Quarter Net Revenues Growth Of 31% And Full Year Net Revenues Growth Of 28%,,1
25/01/2016 00:00:00,Under Armour Announces Global Partnership with Dwayne Johnson,,0
07/01/2016 00:00:00,"Under Armour, Inc. To Report Fourth Quarter 2015 Earnings and Webcast Conference Call",,1
05/01/2016 00:00:00,"Under Armour Launches A Suite Of Connected Fitness Products, Changing The Way Athletes Live",,0
22/12/2015 00:00:00,Under Armour Appoints New CFO Chip Molloy,,0
07/12/2015 00:00:00,Under Armour Opens One Million Square Foot Distribution Center In Tennessee,,0
22/10/2015 00:00:00,Under Armour Reports Third Quarter Net Revenues Growth of 28%; Raises Full Year Outlook,,1
13/10/2015 00:00:00,Under Armour Announces Brad Dickerson COO/CFO to Depart in Early 2016,,0
09/10/2015 00:00:00,Under Armour Takes Over Badger Country With University of Wisconsin Partnership,,0
05/10/2015 00:00:00,"Under Armour Challenges Youth Hockey Teams to Compete for a Chance to ""be the Habs"" for a Day",,0
01/10/2015 00:00:00,"Under Armour, Inc. To Report Third Quarter 2015 Earnings and Webcast Conference Call",,1
16/09/2015 00:00:00,Under Armour Accelerates Long-Term Net Revenue Target; Anticipates Revenues of $7.5 Billion by 2018,,0
10/09/2015 00:00:00,NFL and Under Armour Announce New NFL Scouting Combine Agreement,,0
09/09/2015 00:00:00,Under Armour to Provide Live Webcast of Investor Day Meeting,,0
24/08/2015 00:00:00,"Under Armour Launches ""Rule Yourself"" Campaign Featuring Tom Brady, Misty Copeland, Stephen Curry and Jordan Spieth",,0
10/08/2015 00:00:00,Under Armour and NBA Announce Global Marketing Partnership,,0
23/07/2015 00:00:00,Under Armour and FC St. Pauli Launch New Partnership,,0
