Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Last Close,Last Reported Fiscal Yr  (yyyymm),Last Yr`s EPS (F0) Before NRI,F1 Consensus Est.,F2 Consensus Est.,EBITDA ($mil),EBIT ($mil),Net Income  ($mil),Cash Flow ($mil),Pretax Income ($mil),Receivables ($mil),Inventory ($mil),Book Value,Common Equity ($mil),Preferred Equity ($mil),Long Term Debt ($mil),Current Liabilities ($mil),Current Assets  ($mil),Intangibles ($mil),Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,Annual Sales ($mil),Beta
"H World Group Limited Sponsored ADR","HTHT","11931.89","NSDQ","12","Consumer Discretionary","Hotels and Motels","36.89","202212","-.85","1.57","1.76","37","-174","-264","-53","-233","161","10","5.55","1277","0","1326","1906","1330","1547","22.356",".28792",".67",".69",".60807","2010","1.06"
"Hertz Global","HTZ","3149.93","NSDQ","12","Transportation","Transportation - Services","9.04","202212","3.74","2.11","1.79","3781","2777","2059","2510","2449","974","0","9.12","2645","0","13863","1738","3547","3931","85.373","5.83656","1.63","2.04","1.48043","8685","2.16"
"Hubbell","HUBB","15010.79","NYSE","12","Industrial Products","Manufacturing - Electrical Utilities ","281.85","202212","10.62","15.35","16.38","855.09997","706.59997","545.90002","724","657","741.59997","740.70001","49.06","2370.60009","0","1437.90002","1088.5","2021.40002","2640.3999","35.35699",".54695","2.06","1.18",".49526","4947.9",".99"
"Hub Group","HUBG","2363.44","NSDQ","12","Transportation","Transportation - Services","73.02","202212","10.64","6.05","6.78","628.31597","474.58999","356.94799","510.67098","467.958","720.15698","0","50.35","1599.60205","0","240.72399","691.77001","1056.69995","826.78802","12.88399",".14789","1.67","1.53",".48649","5340.49",".92"
"HubSpot","HUBS","20590.81","NYSE","12","Computer and Technology","Internet - Software","410.93","202212","2.78","5.27","6.27","-49.885","-100.93001","-112.74901","192.86999","-104.69201","226.84899","0","21.64","992.22399","0","454.22698","761.65301","1754.59899","63.673","29.604",".42052","2.25","2.3","2.00583","1730.97","1.59"
"Humana","HUM","64774.73","NYSE","12","Medical","Medical - HMOs","513.37","202212","25.24","28.29","32.12","4814","3969","2806","4052.61694","3568","1674","0","136.32","15370","0","9034","17178","26183","9142","36.53099",".57557","1.37","1.52","1.42676","92870",".63"
"Huntsman","HUN","4034.66","NYSE","12","Basic Materials","Chemical - Diversified ","23.16","202212","3.13",".74","1.61","1040","759","460","917","697","834","995","21.62","3840","0","1671","1701","3145","1066","28.88299",".40613","2.14","1.26",".77366","8023","1.18"
"Hancock Whitney","HWC","2842.14","NSDQ","12","Finance","Banks - Southeast","33.75","202212","5.98","5.11","4.58","768.92199","687.81701","524.08898","605.19396","659.19598","22938.10937","26.385","40.65","3342.62792","0","242.07699","30951.56054","23853.00976","911.64599","6.32219",".06748",".77",".77",".0287","1468.55","1.32"
"Howmet Aerospace","HWM","17819.83","NYSE","12","Construction","Engineering - R and D Services","43.47","202212","1.4","1.73","2.13","1100","835","469","858","606","537","1609","9.02","3546","55","4162","1482","3143","4534","51.37799","1.07231","2.22","1.04",".67273","5663","1.43"
"Hexcel","HXL","5032.38","NYSE","12","Aerospace","Aerospace - Defense Equipment","59.89","202212","1.28","1.9","2.48","312.89999","186","126.3","235.69999","149.8","222.69999","319.29998","19.57","1554.19995","0","723.29998","329.79998","734.40002","256","31.416",".45805","3.03","1.26",".58338","1577.7","1.24"
"","HYG","11783.04","NYSE","12","Finance","Financial - Investment Funds","72.45","202212","","","","","","","","","","","","","","","","","","","","","","","",".43"
"IAC INC","IAC","3468.85","NSDQ","12","Conglomerates","Diversified Operations","42.01","202212","-13.58","3.27","-1.36","-864.61402","-1416.07105","-1170.17005","-621.40699","-1526.23597","607.80902","0","84.65","6572.53417","0","2019.76","1079.98803","2561.135","4200.20898","23.14699",".29604","2.13","2.37","1.80865","5235.28","1.23"
"Integra LifeSciences","IART","2877.08","NSDQ","12","Medical","Medical - Instruments","35.53","202212","3.36","3.14","3.49","388.63198","263.488","180.55","406.01","213.89399","263.46499","324.583","20.68","1804.40295","0","1405.18994","320.906","1161.49804","2165.48999","44.20299",".7922","2.78","2.61","1.78697","1557.67","1.21"
"","IAU","25654.96","NYSE","12","Finance","Financial - Investment Funds","37.57","202212","","","","-538.96399","-538.96399","-538.96399","-538.96399","-538.96399","0","0","36.59","26154.89062","0","0","5.512","26160.40039","0","0","0","4735.39","4746.08","4746.08105","",".17"
"","IBB","6480.69","NSDQ","12","Finance","Financial - Investment Funds","115.05","202212","","","","","","","","","","","","","","","","","","","","","","","",".81"
"Interactive Brokers","IBKR","33564.13","NSDQ","12","Finance","Financial - Investment Bank","80.15","202212","4.05","5.7","6.07","2056","1998","380","494","1998","42570","485","31.51","11615","0","0","103528","114217","0","0","0","1.11","1.1",".68736","4085",".79"
"International Business Machines","IBM","124880.74","NYSE","12","Computer and Technology","Computer - Integrated Systems","143.76","202212","9.13","9.38","9.81","7174","2372","1640","13128","1156","7358","1552","24.45","22021","0","46189","31505","29118","67133","69.47599","2.27609","1.06",".87",".64142","60530",".85"
"ICICI Bank","IBN","77184.66","NYSE","3","Finance","Banks - Foreign","22.11","202303","1.12","1.31","1.44","6359.88818","5816.02099","4254.58007","4517.85205","4432.66503","135483.29687","0","8.13","27648.07031","0","23632.73046","151354","152540.40625","12.666","43.98099",".78511",".99","1.01",".11269","16079.93",".88"
"International Bancshares","IBOC","2664.38","NSDQ","12","Finance","Banks - Southwest","43.65","202212","4.78","","","430.89498","396.95199","300.23199","334.17498","382.639","7350.41796","0","35.29","2044.75903","0","145.58599","13091.20019","9438.14257","282.53201","5.17859",".05461",".69",".72",".15947","712.91",".98"
"Installed Building Products","IBP","3021.18","NYSE","12","Construction","Building Products - Miscellaneous","108.8","202212","8.95","9.72","10.22","464.47","344.88101","223.42799","377.88699","303.307","397.22198","176.62899","19.74","493.49899","0","836.56799","328.061","884.41101","464.70001","59.922","1.49513","2.92","2.16",".94665","2669.84","1.82"
"Intercontinental Exchange","ICE","59800.97","NYSE","12","Finance","Securities and Exchanges","107.29","202212","5.3","5.6","6.04","3455","2424","1446","4005","1808","1169","0","42.67","22761","0","18118","149171","156947","34201","43.144",".75884","1.1","1.05","1.04429","9636",".94"
"ICF International","ICFI","2290.97","NSDQ","12","Business Services","Government Services","125.54","202212","5.77","6.3","7.04","158.483","107.261","64.24299","160.95399","83.98","243.953","0","46.39","853.21099","0","549.20001","415.992","466.71798","1339.43505","40.58399",".68304","1.3","1.12",".5355","1779.96",".6"
"ICL Group","ICL","6268.42","NYSE","12","Basic Materials","Fertilizers","4.82","202212","1.82",".52",".5","4229","3731","2159","2848","3404","1906","2134","4.59","5713","0","2312","2606","4548","852","26.37299",".3582","1.75",".93",".19493","10015","1.11"
"ICON","ICLR","18506.99","NSDQ","12","Medical","Medical Services","240.56","202212","11.75","12.73","14.8","1367.09497","797.58197","505.30398","1538.19201","567.85101","1843.83605","0","107.08","8497.96289","0","4599.0371","2690.60107","3229.06591","13250.33007","32.353",".47825","1.22","1.2",".51484","7741.39","1.12"
"ICU Medical","ICUI","2501.58","NSDQ","12","Medical","Medical - Products","101.07","202212","6.54","6.56","7.04","220.87199","-48.03401","-74.28601","425.00299","-114.409","221.71899","696.00897","87.88","2089.92797","0","1623.67504","494.55899","1235.19604","2432.02392","43.082",".7569","2.57","1.09",".64192","2280",".68"
"IDACORP","IDA","4835.74","NYSE","12","Utilities","Utility - Electric Power","96.16","202212","5.11","4.97","5.35","574.24798","400.69299","258.98199","432.53698","297.40399","179.08599","107.22299","56.53","2814.61499","0","2194.14501","548.565","693.65301","0","46.45399",".86754","1.57","1.07",".74256","1643.98",".6"
"InterDigital","IDCC","2034.14","NSDQ","12","Computer and Technology","Wireless Equipment","75.78","202212","3.07","7.91","6.3","225.63","147.059","93.693","172.264","117.563","53.18199","0","22.45","730.513","0","607.06597","271.346","1344.67504","353.99899","44.631",".80605","2.67","4.96","4.75958","457.79","1.24"
"","IDV","4065.91","AMEX","12","Finance","Financial - Investment Funds","24.51","202212","","","","","","","","","","","","","","","","","","","","","","","",".88"
"IDEXX Laboratories","IDXX","34252.44","NSDQ","12","Medical","Medical - Instruments","397.43","202212","8.03","9.8","11.19","1011.72998","899.83001","679.08898","790.98901","859.97198","400.61898","367.82299","13.18","608.73699","0","694.38702","1235.80297","1101.47705","459.46701","38.915",".63704","1.33",".59",".26948","3367.32","1.23"
"","IEF","26813.7","NSDQ","12","Finance","Financial - Investment Funds","89.94","202212","","","","","","","","","","","","","","","","","","","","","","","",".05"
"Icahn Enterprises","IEP","6826.5","NSDQ","12","Conglomerates","Diversified Operations","17.18","202212","-.57","-.74","1.41","1086","577","-183","326","9","7650","0","19.47","9558","0","7096","2851","19345","821","49.618",".98483","5.7","6.79","4.10206","14101",".89"
"IDEX","IEX","14137.51","NYSE","12","Industrial Products","Manufacturing - General Industrial ","193.21","202212","8.12","7.97","8.57","911.5","790.09997","586.90002","739.5","749.40002","442.79998","470.89999","43.37","3039.60009","0","1468.69995","543.59997","1399.30004","3585.8999","30.97599",".44877","3.06","1.71",".8933","3181.9","1"
"International Flavors & Fragrances","IFF","16872.2","NYSE","12","Consumer Staples","Consumer Products - Staples","67.17","202212","5.55","3.26","4.27","-110","-1289","-1871","2598","-1625","1818","3151","69.21","17714","0","10373","3728","7432","22437","34.42699",".52155","1.64","1.15",".66067","12440","1.1"
"","IGIB","10708.01","NSDQ","12","Finance","Financial - Investment Funds","47.84","202212","","","","","","","","","","","","","","","","","","","","","","","",".28"
"","IGSB","20926.98","NSDQ","12","Finance","Financial - Investment Funds","49.69","202212","","","","","","","","","","","","","","","","","","","","","","","",".11"
"International Game Technology","IGT","5610.04","NYSE","12","Consumer Discretionary","Gaming","25.76","202212","1.99","1.24","2.02","1578","878","275","1105.18395","589","670","254","9.54","1979","0","5690","1848","2131","5857","74.65299","2.94526","1.16","1.02",".65313","4225","1.95"
"Intercontinental Hotels Group","IHG","12011.15","NYSE","12","Consumer Discretionary","Hotels and Motels","72.16","202212","2.82","3.78","4.43","812","658","375","665","540","662","4","-10.81","-1608","0","2341","1544","1678","1144","","-1.34379","1.04","1.08",".65544","3892","1.2"
"","IJH","65604.21","NYSE","12","Finance","Financial - Investment Funds","235.15","202212","","","","","","","","","","","","","","","","","","","","","","","","1.13"
"","IJJ","6154.92","NYSE","12","Finance","Financial - Investment Funds","94.55","202212","","","","","","","","","","","","","","","","","","","","","","","","1.18"
"","IJK","6953.66","NYSE","12","Finance","Financial - Investment Funds","68.49","202212","","","","","","","","","","","","","","","","","","","","","","","","1.09"
"","IJR","62006.07","NYSE","12","Finance","Financial - Investment Funds","88.52","202212","","","","","","","","","","","","","","","","","","","","","","","","1.15"
"","IJS","5854.56","NYSE","12","Finance","Financial - Investment Funds","83.23","202212","","","","","","","","","","","","","","","","","","","","","","","","1.19"
"","IJT","4584.42","NSDQ","12","Finance","Financial - Investment Funds","103.6","202212","","","","","","","","","","","","","","","","","","","","","","","","1.12"
"Illumina","ILMN","18035.12","NSDQ","12","Medical","Medical - Biomedical and Genetics","111.63","202212","2.12",".78","2.35","-3916","-4310","-4404","730","-4336","671","568","41.46","6599","0","1487","2773","3561","6524","18.50099",".227","1.4","1.08",".83736","4584","1.16"
"Immunocore","IMCR","2258.15","NSDQ","12","Medical","Medical - Biomedical and Genetics","45.91","202212","-1.09","-1.34","-1.41","-37.50601","-45.08901","-50.99001","-42.203","-54.60301","72.234","1.166","7.09","344.79299","0","83.79799","102.774","484.71798",".507","18.916",".23329","4.28","4.71","4.00216","173.59",".71"
"ImmunoGen","IMGN","3408.03","NSDQ","12","Medical","Medical - Drugs","14.79","202212","-.88","-.1",".18","-215.76301","-217.54601","-222.92901","-221.146","-221.711","17.978","0","1.97","155.826","0","0","121.858","304.121","0","12.786",".14659","7.14","2.5","2.34816","108.78",".99"
"Imperial Oil","IMO","33257.69","AMEX","12","Oils-Energy","Oil and Gas - Integrated - Canadian","58.8","202212","8.8","5.18","5.17","8754.26464","7295.09277","5645.92822","7105.04785","7295.09277","3629.85498","1164.56896","30.34","17240.08007","0","3102.18408","6844.34179","8258.13085","1068.41894","14.442",".16879","1.49","1.04",".50606","45897.75","1.52"
"Immunovant","IMVT","4436.96","NSDQ","3","Medical","Medical - Biomedical and Genetics","34.25","202303","-1.71","-1.99","-1.89","-210.758","-210.95101","-210.96001","-210.767","-210.95101",".88499","0","2.3","362.49398","0","0","43.297","404.333","0","0","0","6.82","9.34","9.31815","",".62"
"Incyte","INCY","12156.76","NSDQ","12","Medical","Medical - Biomedical and Genetics","54.27","202212","2.78","3.68","4.73","599.63702","531.78198","340.66","690.531","529.11602","644.87902","41.99499","21.25","4370.11914","0","30.083","1157.07702","4092.85009","284.81201",".61823",".00622","3.81","3.5","2.9436","3394.64",".71"
"Independent Bank","INDB","2034.2","NSDQ","12","Finance","Banks - Northeast","48.6","202212","5.8","5.4","4.71","391.492","352.69299","263.81298","307.71701","347.75399","13776.25976","2.80299","65.38","2886.70092","0","113.37699","15879.00976","14135.87988","1010.14001","25.74399",".34669",".95",".89",".02247","757.51",".84"
"Indivior","INDV","2800.31","NSDQ","12","Medical","Medical - Drugs","19.8","202212","1.16","1.37","1.87","-45","-66","-53","190","-95","225","114",".85","51","0","237","1019","1259","70","66.856","2.01709","1.13","1.12",".90284","901",".38"
"Informatica Inc.","INFA","5615.99","NYSE","12","Computer and Technology","Internet - Software","19.32","202212",".78",".85",".93","256.46099","43.823","-53.675","436.673","-34.197","454.759","0","6.67","2054.36108","0","1821.76","963.45599","1398.75305","3165.02807","48.55099",".94367","1.39","1.45",".97979","1505.12",".68"
"Infosys","INFY","67787.88","NYSE","3","Computer and Technology","Computers - IT Services","16.32","202303",".71",".7",".75","4649","4125","2981","3505","4125","4955","0","2.36","9224","0","0","4769","8626","1095","0","0","1.98","1.81",".76976","18212",".96"
"ING Group","ING","47252.52","NYSE","12","Finance","Banks - Foreign","12.61","202212","1.03","2.21","2.38","33557.16015","32808.05078","12775.95019","4620.70898","18288.39062","716444.8125","0","16.83","60059.41015","0","101059.20312","849792.6875","924517.125","1161.06701","67.624","2.08872",".94","1.09",".24485","19559.27","1.59"
"Ingredion","INGR","6127.25","NYSE","12","Consumer Staples","Food - Miscellaneous","93.41","202212","7.45","8.99","9.73","982","767","492","714","668","1411","1597","51.34","3163","0","1940","1882","3309","1301","36.902",".57214","1.92",".91",".15993","7946",".79"
"Insmed","INSM","3659.71","NSDQ","12","Medical","Medical - Biomedical and Genetics","25.55","202212","-3.9","-5.09","-4.54","-437.42301","-453.70499","-481.534","-464.047","-480.15101","29.71299","69.92199","-1.14","87.95099","0","1154.88598","190.24299","1273.38305","204.86599","","-7.50057","5.15","6.33","6.16973","245.36","1.48"
"Inspire Medical Systems","INSP","4447.3","NYSE","12","Medical","Medical Info Systems","149.46","202212","-1.6","-1.74","-.48","-40.73301","-42.591","-44.88101","-43.023","-44.26801","61.228","11.88599","18.05","496.00799","0","0","61.186","530.03198","0","0","0","8.4","8.47","7.46768","407.86","1.42"
"Instructure","INST","3563.77","NYSE","12","Business Services","Technology Services","24.47","202212",".77",".79",".93","124.607","-17.779","-34.24201","253.031","-42.37401","71.428","0","8.89","1276.12695","0","503.08099","334.057","285.03601","1809.08105","28.05699",".38998","1.03",".85",".63943","475.19",".56"
"International Seaways","INSW","2336.45","NYSE","12","Transportation","Transportation - Shipping","47.99","202212","7.6","10.46","8.1","563.85101","445.70001","387.89099","497.75698","387.979","302.358",".531","32.91","1487.75195","0","860.578","257.389","642.61499","0","32.44699",".48032","2.26","2.49","1.31989","864.66",".07"
"Intapp","INTA","2482.28","NSDQ","6","Computer and Technology","Internet - Software","34.4","202306",".11",".23",".39","-49.806","-69.764","-69.42501","28.263","-69.92","104.512","0","5.22","341.208","0","0","259.34899","254.839","322.147","0","0",".98",".98",".57963","350.87",".61"
"Intel","INTC","137492.05","NSDQ","12","Computer and Technology","Semiconductor - General","32.52","202212","1.84",".62","1.68","20803","7768","8014","20629","7768","4133","13224","24.94","103286","0","37684","32155","50407","33609","30.725",".44352","1.6","1.16","1.02783","63054",".87"
"Intuit","INTU","135393.3","NSDQ","7","Computer and Technology","Computer - Software","479.45","202307","14.4","16.39","18.46","4043","3237","2384","4886","2989","434","0","61.62","17269","0","6120","3790","5557","20199","26.166",".35439","1.47","1.47","1.35171","14368","1.19"
"Invitation Home","INVH","18554.51","NYSE","12","Finance","REIT and Equity Trust - Residential","29.05","202212","1.67","1.79","1.91","1252.97302","598.19201","383.32901","1037.44897","294.1","0","0","16.8","10323.62988","0","5426.44287","2716.60791","262.86999","258.207","34.527",".52734",".15",".1",".09676","2238.12",".92"
"IonQ","IONQ","2106.99","NYSE","12","Computer and Technology","Computer - Integrated Systems","9.92","202212","-.4","-.81","-.73","-42.90701","-48.51101","-48.51101","-72.41601","-48.51101","3.292","0","2.59","568.21099","0","0","20.15999","371.62799","9.68599","0","0","16.56","18.43","18.27063","11.13","2.13"
"Ionis Pharmaceuticals","IONS","6349.35","NSDQ","12","Medical","Medical - Drugs","45.63","202212","-1.9","-3.45","-3.63","-214.99601","-249.86301","-269.72199","-235.133","-257.98499","25.538","22.033","2.99","572.88702","0","1182.71899","311.561","2202.69409","0","75.43499","3.07088","9.09","7","6.91717","587",".46"
"Innospec","IOSP","2421.95","NSDQ","12","Basic Materials","Chemical - Diversified ","97.57","202212","6.04","5.74","6.72","225.8","185.69999","133","191.1","184.6","334.6","373.1","44.02","1040.40002","0","0","405.79998","872.59997","403.79998","0","0","2.34","1.23",".40635","1963.7","1.18"
"Samsara Inc.","IOT","11854.54","NYSE","1","Computer and Technology","Internet - Software","22.14","202301","-.13",".02",".09","-232.06701","-243.83501","-247.422","-53.174","-243.83501","122.86699","40.57099","1.75","938.01898","0","0","442.15798","957.53497","0","0","0","2.04","2.07","1.79595","652.54","1.41"
"International Paper","IP","11459.49","NYSE","12","Basic Materials","Paper and Related Products","32.88","202212","3.18","2.16","1.99","2876","1836","1504","2208","1511","3284","1942","24.29","8497","0","4816","5000","6770","3041","39.868",".66301","1.59",".97",".3088","21161","1.04"
"Inter Parfums","IPAR","4064.43","NSDQ","12","Consumer Staples","Cosmetics","126.25","202212","3.97","4.56","5.04","220.35699","197.81799","120.938","149.59899","194.21899","226.544","289.984","26.51","788.14599","0","151.494","344.56698","787.72399","290.85299","14.06",".1636","2.41","1.44",".78706","1086.65","1.07"
"The Interpublic Group of Companies","IPG","10658.84","NYSE","12","Business Services","Advertising and Marketing","27.82","202212","2.75","3.01","2.99","1770.59997","1443.59997","938","1412.69995","1268.90002","7339","0","9.73","3706","0","2870.69995","9983.20019","10325.20019","5868.70019","44.14799",".77831","1.03","1.03",".29912","10927.8","1.13"
"IPG Photonics","IPGP","4242.19","NSDQ","12","Computer and Technology","Lasers Systems and Components","88.02","202212","2.16","4.72","5.63","273.915","183.35099","109.90899","200.473","183.35099","211.347","509.363","50.7","2385.3601","0","0","274.64599","1986.27404","72.44499","0","0","8.43","5.38","4.60798","1429.55","1.3"
"iQIYI","IQ","4390.92","NSDQ","12","Consumer Discretionary","Film and Television Production and Distribution","4.69","202212","-.02",".27",".46","1299.79101","98.77999","-19.74901","1181.26196","-4.897","363.45599","0","1.62","919.71197","0","1387.27001","4078.46899","1998.729","1609.84997","51.59","1.06568",".58",".49",".40095","4204.24",".66"
"IQVIA","IQV","33181.38","NYSE","12","Medical","Medical - Instruments","184.42","202212","10.16","10.28","11.39","2924","1779","1091","3082","1363","2960","0","31.39","5765","0","12595","5578","4981","18741","68.385","2.16301",".81",".89",".36231","14410","1.39"
"Ingersoll Rand","IR","24005.15","NYSE","12","Industrial Products","Manufacturing - General Industrial ","59.88","202212","2.36","2.76","2.99","1278.19995","845.40002","604.70001","1404.5","742.20001","1122","1025.40002","23.44","9257.20019","0","2716.10009","1674","3967.30004","9642.80078","22.15699",".28463","2.29","1.76","1.08715","5916.3","1.44"
"Iridium Communications","IRDM","4575.04","NSDQ","12","Computer and Technology","Satellite and Communication","36.8","202212",".07","-.14",".22","382.18899","74.10299","8.722","316.80801","9.01399","82.273","39.776","7.47","1128.55505","0","1470.68505","141.57699","306.20401","42.57699","61.38899","1.58991","2.13","1.88","1.30074","721.03","1.04"
"Iron Mountain","IRM","17035.43","NYSE","12","Finance","REIT and Equity Trust - Other","59.02","202212","3.8","3.97","4.29","1865.29101","1119.65197","556.98101","1270.45202","631.638","1174.91503","0","1.43","636.79302","0","10481.45019","1917.56396","1547.14501","6305.8789","96.43099","26.76694",".78",".81",".19411","5103.57",".93"
"Independence Realty Trust","IRT","2903.23","NYSE","12","Finance","REIT and Equity Trust - Residential","12.61","202212","1.08","1.15","1.2","464.19198","207.61399","117.249","373.82699","120.65899","0","0","16.44","3737.86694","0","0","2749.03491","0",".39899","41.395",".70634","0","0","0","628.53","1.03"
"iRhythm Technologies","IRTC","2306.77","NSDQ","12","Medical","Medical Info Systems","73.15","202212","-3.88","-3.03","-2.3","-98.81701","-111.74801","-116.155","-103.224","-115.88601","49.91799","15.15499","7.32","239.81199","0","34.935","89.096","288.772",".86199","13.5",".15607","2.71","3.07","2.51076","410.92","1.34"
"Intuitive Surgical","ISRG","93865.8","NSDQ","12","Medical","Medical - Instruments","259.51","202212","4.68","5.58","6.41","1999.19995","1606.80004","1322.30004","2087.19995","1606.80004","942.09997","893.20001","35.85","11112.5996","0","0","1422.09997","6253","1058.59997","0","0","5.31","3.77","3.10646","6222.2","1.3"
"Gartner","IT","26143.17","NYSE","12","Business Services","Consulting Services","329.43","202212","11.27","10.12","11.51","1349.91796","1153.39794","807.79901","1110.52001","1027.19494","1556.78601","0","7.44","227.798","0","2453.60693","3597.60009","2786.10693","3514.92504","80.692","4.17921",".87",".77",".3417","5475.83","1.23"
"IntraCellular Therapies","ITCI","4642.8","NSDQ","12","Medical","Medical - Biomedical and Genetics","48.04","202212","-2.72","-2.1","-.87","-255.14701","-256.25","-256.25602","-255.153","-256.25","75.189","23.92","6.33","656.07","0","0","83.236","737.95697","0","0","0","7.58","8.58","7.67514","250.31","1.12"
"Integer Holdings","ITGR","2312.25","NYSE","12","Medical","Medical - Instruments","80.24","202212","3.88","4.33","4.96","208.617","114.58999","66.37699","223.57499","75.958","226.328","208.766","43.4","1417.45605","0","915.07897","223.75199","558.29797","1802.08105","40.59899",".68347","3.08","1.56",".55062","1376.1","1.12"
"Itron","ITRI","2622.15","NSDQ","12","Computer and Technology","Electronics - Testing Equipment","57.73","202212","1.13","2.19","2.79","99.72299","-9.01901","-9.73201","159.729","-15.74301","280.43499","228.701","27.05","1191.55603","0","452.526","498.57199","829.58398","1103.66198","26.96299",".36916","1.73","1.21",".64273","1795.56","1.37"
"ITT","ITT","7600.82","NYSE","12","Conglomerates","Diversified Operations","93.31","202212","4.44","5.1","5.67","575.59997","468.20001","367","478.89999","461.79998","628.79998","533.90002","28.61","2257.3999","0","0","1185.5","1836.80004","1077.59997","0","0","1.56","1.1",".56862","2987.7","1.44"
"Illinois Tool Works","ITW","67991.19","NYSE","12","Industrial Products","Manufacturing - General Industrial ","224.16","202212","9.17","9.76","10.15","4455","4045","3034","3257.58007","3842","3171","2054","9.98","3089","0","6173","4460","6270","5632","69.416","2.26964","1.58",".95",".2343","15932","1.15"
"","IVV","339928.97","NYSE","12","Finance","Financial - Investment Funds","414.45","202212","","","","","","","","","","","","","","","","","","","","","","","","1"
"Invesco","IVZ","5648.13","NYSE","12","Finance","Financial - Investment Management","12.9","202212","1.68","1.44","1.67","1528.19995","1332.90002","920.70001","1205.30004","1247.69995","1005.5","0","36.98","11833","4010.5","8078","2844.30004","12636.2998","15698.90039","33.798",".51053","28.81","4.44","4.08916","6048.9","1.4"
"","IWD","46302.31","NYSE","12","Finance","Financial - Investment Funds","145.71","202212","","","","","","","","","","","","","","","","","","","","","","","",".96"
"","IWF","68193.3","NYSE","12","Finance","Financial - Investment Funds","256.94","202212","","","","","","","","","","","","","","","","","","","","","","","","1.08"
"","IWM","46111.74","NYSE","12","Finance","Financial - Investment Funds","164.14","202212","","","","","","","","","","","","","","","","","","","","","","","","1.16"
"","IWN","9671.33","NYSE","12","Finance","Financial - Investment Funds","127.21","202212","","","","","","","","","","","","","","","","","","","","","","","","1.16"
"","IWO","8529.28","NYSE","12","Finance","Financial - Investment Funds","206.18","202212","","","","","","","","","","","","","","","","","","","","","","","","1.16"
"","IWP","11670.99","NYSE","12","Finance","Financial - Investment Funds","86.25","202212","","","","","","","","","","","","","","","","","","","","","","","","1.09"
"","IWR","26009.55","NYSE","12","Finance","Financial - Investment Funds","65.55","202212","","","","","","","","","","","","","","","","","","","","","","","","1.09"
"","IWS","11186.56","NYSE","12","Finance","Financial - Investment Funds","98.87","202212","","","","","","","","","","","","","","","","","","","","","","","","1.1"
"Orix Corp Ads","IX","21066.34","NYSE","3","Finance","Financial - Miscellaneous Services","88.69","202303","8.55","10.24","","6276.82812","3661.41601","2020.755","4636.71289","2717.04296","31484.64062","1250.755","114.94","25362.01953","0","38551.94921","41233.82812","72660.84375","0","58.64199","1.41746","1.79","1.73",".96826","19736.49",".86"
"","IYR","2495.18","NYSE","12","Finance","Financial - Investment Funds","74.73","202212","","","","","","","","","","","","","","","","","","","","","","","",".92"
"","IYW","11340.47","NYSE","12","Finance","Financial - Investment Funds","101.31","202212","","","","","","","","","","","","","","","","","","","","","","","","1.14"
"JACOBS SOLUTNS","J","16721.85","NYSE","9","Business Services","Technology Services","133.07","202309","6.93","8.26","9.37","1277.64904","976.59301","644.039","1198.21997","876.34698","3405.3811","0","52.2","6104.39208","0","3357.2561","3250.84497","4721.99414","8578.70996","36.574",".47859","1.46","","","14922.83",".81"
"Jazz Pharmaceuticals","JAZZ","8210.57","NSDQ","12","Medical","Medical - Drugs","128.88","202212","13.2","18.64","20.59","544.92901","-84.542","-224.06","1563.06896","-372.784","651.49298","714.06097","54.97","3085.73388","0","5693.34082","933.19299","2606.13989","7487.09912","61.729","1.61292","3.18","2.03","1.32939","3659.37",".73"
"J.B. Hunt Transport Services","JBHT","17572.78","NSDQ","12","Transportation","Transportation - Truck","167.78","202212","9.21","7.35","8.59","1977.14196","1332.62194","969.35101","1613.87097","1281.37304","1858.83898","40.602","38.88","3666.76806","0","1261.73803","1568.23095","2211.77807","236.38999","22.933",".29758","1.11","1.38",".19916","14814","1.14"
"Jabil","JBL","15581.15","NYSE","8","Computer and Technology","Electronics - Manufacturing Services","121.92","202308","8.63","9.5","10.81","2307","1382","818","2096","1262","3647","5206","22.41","2867","0","2875","12695","14730","763","50.06999","1.00279","1.16",".75",".46293","34702","1.41"
"John Bean Technologies","JBT","3371.32","NYSE","12","Industrial Products","Manufacturing - Thermal Products","103.61","202212","4.77","3.95","4.72","249.5","168.39999","130.69999","234.1","154.19999","299","322.5","43.13","862.70001","0","977.29998","621.20001","869.59997","1253.19995","31.988",".47032","1.87",".88",".39938","2166","1.39"
"Johnson Controls International","JCI","32723.39","NYSE","9","Industrial Products","Security and Safety Services","48.89","202309","3","3.94","4.42","2540","1710","1532","2927","1710","5528","2510","25.67","17402","0","7426","11239","11685","21969","32.73099",".48657","1.08","","","25299","1.26"
"JD.com","JD","35083.83","NSDQ","12","Retail-Wholesale","Internet - Commerce","25.92","202212","2.57","2.91","2.91","3366","2317","1507","5143","2012","2983","11302","28.95","39659","0","4383","38648","50901","9585","10.059",".11184","1.34","1.02",".94742","151690",".57"
