Company Name,Ticker,Market Cap (mil),Exchange,Month of Fiscal Yr End,Sector,Industry,Last Close,Last Reported Fiscal Yr  (yyyymm),Last Yr`s EPS (F0) Before NRI,F1 Consensus Est.,F2 Consensus Est.,EBITDA ($mil),EBIT ($mil),Net Income  ($mil),Cash Flow ($mil),Pretax Income ($mil),Receivables ($mil),Inventory ($mil),Book Value,Common Equity ($mil),Preferred Equity ($mil),Long Term Debt ($mil),Current Liabilities ($mil),Current Assets  ($mil),Intangibles ($mil),Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,Annual Sales ($mil),Beta
"American Equity Investment Life Holding","AEL","4145.98","NYSE","12","Finance","Insurance - Life Insurance","53.17","202212","3.67","6.45","6.99","2624.55908","1583.88598","1220.94396","1420.71594","1546.45703","13761.75","0","33.29","3190.42797",".028","870.82598","68208.35156","15681.41992","0","25.058",".33436",".28",".23",".02814","1415.5",".94"
"Agnico Eagle Mines","AEM","24222.76","NYSE","12","Basic Materials","Mining - Gold","47.4","202212","2.3","2.17","2.38","2293.04907","1198.35803","670.24902","2098.19091","1115.42297","43.63299","1209.07495","40.29","16241.33984","0","1356.94604","946.42199","2180.05908","2044.12304","9.38879",".10361","2.1","1.03",".97984","5741.16",".85"
"American Eagle Outfitters","AEO","3568.53","NYSE","1","Retail-Wholesale","Retail - Apparel and Shoes","17.82","202301",".97","1.29","1.32","405.29","192.791","125.136","405.535","178.494","242.386","585.083","8.47","1599.16296","0","8.911","768.94799","1100.24096","359.48098",".19239",".00192","1.58",".67",".35473","4989.83","1.5"
"American Electric Power","AEP","38823.66","NSDQ","12","Utilities","Utility - Electric Power","75.77","202212","5.09","5.26","5.55","7102.20019","3816.5","2307.19995","5890.8999","2420.3999","2570.30004","1302.09997","46.83","24122.40039","0","33626.19921","14567.40039","9418.70019","52.5","60.379","1.5239",".61",".56",".38073","19639.5",".47"
"Aercap","AER","13648.07","NYSE","12","Finance","Financial - Leasing Companies","59.45","202212","9.01","9.88","10.31","3312.49902","589.45001","-726.04102","4909.00781","-1002.41999","132.20199","0","69","16195.0498","0","46532.96093","4804.81005","1888.97204","3549.66308","73.83599","2.82211",".28",".39",".36562","7013.55","1.95"
"AES","AES","9830.15","NYSE","12","Utilities","Utility - Electric Power","14.9","202212","1.67","1.7","1.94","884","-169","-546","2620","-169","1799","1055","5.86","3666","838","21740","6491","7643","2203","83.22","6.01989",".94","1.01",".73779","12617","1.02"
"American Financial Group","AFG","9204.31","NYSE","12","Finance","Insurance - Property and Casualty","109.78","202212","11.63","10.61","11.73","1308","1208","898","1093","1123","6202","0","46.88","4052","0","1496","16255","7106","246","26.96199",".36914",".44",".44",".05561","7040",".83"
"Aflac","AFL","46491.33","NYSE","12","Finance","Insurance - Accident and Health","77.52","202212","5.33","6.02","6.19","5982","4830","4201","4549","4604","1392","0","34.4","22365","0","7442","93258","5335","0","25.74699",".34673",".07",".06",".04228","19502",".91"
"Affirm","AFRM","4980.3","NSDQ","6","Business Services","Business - Services","17.42","202306","-3.34",".28",".34","-925.68702","-989.245","-985.34498","-921.78699","-989.245","199.085","0","8.54","2534.1831","0","5398.44921","222.983","2633.75805","577.005","68.054","2.13025","11.81","11.81","10.91864","1587.98","2.92"
"AGCO","AGCO","8473.39","NYSE","12","Industrial Products","Manufacturing - Farm Equipment","113.04","202212","12.42","15.35","14.49","1389.80004","1120.19995","889.59997","1200.59997","1107.19995","1221.30004","3189.69995","55.29","3882.60009","0","1264.80004","4088","5739.2998","1675.19995","32.734",".48663","1.57",".62",".32492","12651.4","1.39"
"","AGG","88780","NYSE","12","Finance","Financial - Investment Funds","92.62","202212","","","","","","","","","","","","","","","","","","","","","","","",".12"
"Alamos Gold","AGI","5029.27","NYSE","12","Basic Materials","Mining - Gold","12.55","202212",".28",".42",".53","279.6","108.09999","37.09999","279.39999","102.4","37.2","234.19999","7.2","2721.10009","0","0","181.89999","441","0","0","0","2.52","1.14",".93238","821.2","1.12"
"Agilon Health","AGL","7400.05","NYSE","12","Medical","Medical Services","18.37","202212","-.26","-.14",".09","-87.392","-101.16401","-106.55301","-93.24601","-105.68901","497.574","0","2.12","1040.609","0","38.48199","535.091","1451.27404","109.22","3.93429",".04095","1.5","2.71","1.78231","2708.21",".96"
"AGNC Investment","AGNC","4230.42","NSDQ","12","Finance","REIT and Equity Trust","7.13","202212","3.11","2.43","2.02","-1177","-1190","-1190","1794","-1190","6622","0","10.48","6236","1634","95","36663","8956","526","1.0923",".01393",".22",".24",".06366","1590","1.22"
"Assured Guaranty","AGO","3534.78","NYSE","12","Finance","Insurance - Multi line","60.91","202212","4.14","3.85","4.85","229","229","124","267","148","1298","0","91.93","5292","0","1675","3620","2518","163","23.51399",".30742",".97",".7",".33701","723","1.08"
"Avangrid","AGR","11502.57","NYSE","12","Utilities","Utility - Electric Power","29.6","202212","2.33","2.14","2.33","2229","1144","881","1986","841","1742","503","52.86","20342","0","8223","4416","3210","3400","28.92099",".40688",".59",".61",".21852","7923",".47"
"Agilysys","AGYS","2048.6","NSDQ","3","Computer and Technology","Computer - Integrated Systems","80.17","202303",".97",".93","1.22","19.27599","15.76399","14.58199","30.46699","15.76399","22.378","9.774","4.6","109.30999","35.45899","0","78.51499","154.658","50.77799","0","0","2.11","1.85","1.56028","198.07",".91"
"C3.ai","AI","2887.67","NYSE","4","Computer and Technology","Computers - IT Services","25.31","202304","-.42","-.42","-.03","-262.07599","-268.16401","-268.83899","-40.33201","-268.16401","134.58599","0","7.91","929.66497","0","0","136.039","888.87902",".625","0","0","8.08","6.53","5.54468","266.8","1.55"
"American International Group","AIG","43397.4","NYSE","12","Finance","Insurance - Multi line","60.85","202212","4.55","6.73","8.06","20255","15407","10276","8434","14282","87212","0","64.62","41750","485","27179","345911","106116","0","5.6672",".0607",".29",".31",".05464","56437","1.11"
"Albany International","AIN","2500.99","NYSE","12","Industrial Products","Textile - Products","80.68","202212","3.87","3.62","4.2","218.86399","149.815","95.762","189.763","131.97999","207.95599","139.05","29.35","867.54302","0","439","211.31599","838.43902","212.02799","34.71799",".53182","4.99","3.31","2.32558","1034.89","1.3"
"AAR","AIR","2033.34","NYSE","5","Aerospace","Aerospace - Defense Equipment","58.04","202305","2.86","3.47","4.31","161.3","133.39999","90.19999","129.69999","121.19999","241.3","574.09997","31.79","1099.09997","0","269.70001","351.5","1097.90002","239.5","21.364",".27168","3.07","1.49",".80369","1990.5","1.6"
"Apartment Income REIT","AIRC","4530.43","NYSE","12","Finance","REIT and Equity Trust - Residential","29.98","202212","2.41","2.4","2.58","1441.37695","1090.432","904.432","1255.37695","973.97302","0","0","14.52","2317.3059","2","3244.14306","911.29101","301.40499","32.28599","60.79999","1.51687",".15",".33",".33074","773.72",".9"
