Company Name,Ticker,Market Cap (mil),EBITDA ($mil),EBIT ($mil),Beta,Receivables ($mil),Inventory ($mil),Intangibles ($mil),Current Liabilities ($mil),Current Assets  ($mil),Long Term Debt ($mil),Preferred Equity ($mil),Common Equity ($mil),Book Value,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,Net Income  ($mil),Cash Flow ($mil),Annual Sales ($mil)
"Iberdrola","IBDRY","79886.57","9834.30175","9834.30175",".64","11821.38964","2547.60498","21196.32031","30384.76953","24619.4707","41788.9414","0","61228.91015","38.5","40.56499",".6825",".81",".73",".33735","4571.56982","4571.94287","56850.96"
"Interactive Brokers","IBKR","33753.3","2056","1998",".78","42570","485","0","103528","114217","0","0","11615","29.15","0","0","1.1","1.1",".68736","380","468","4085"
"International Business Machines","IBM","120443.14","7174","2372",".85","7358","1552","67133","31505","29118","46189","0","22021","23.87","71.29499","2.48366","1.16",".87",".64142","1640","13128","60530"
"ICICI Bank","IBN","80417.25","5012.02783","4568.28076",".92","135483.29687","0","12.666","151354","152540.40625","23632.73046","0","27648.07031","7.92","46.08499",".85476","1.01","","","4254.58007","4517.85302","16079.93"
"International Bancshares","IBOC","2779.01","430.89498","396.95199",".98","7350.41796","0","282.53201","13091.20019","9438.14257","145.58599","0","2044.75903","34.71","6.32229",".06749",".68",".72",".15947","300.23199","334.17498","712.91"
"Installed Building Products","IBP","3182.73","464.47","344.88101","1.69","397.22198","176.62899","464.70001","328.061","884.41101","836.56799","0","493.49899","17.79","62.353","1.65626","2.73","2.16",".94665","223.42799","377.88699","2669.84"
"International Consolidated Airlines Group","ICAGY","3820.17","-881.40998","-3167.15894","2.12","888.50799","395.15499","3832.06103","15709.20019","12482.88964","20212.08007","0","1000.90301","","","","","","","-3470.03199","-1308.74805","10003.79"
"Intercontinental Exchange","ICE","60644.79","3455","2424",".93","1169","0","34201","149171","156947","18118","0","22761","41.47","43.845",".78079","1.08","1.05","1.04429","1446","4005","9636"
"","ICF","2185.38","","",".84","","","","","","","","","","","","","","","","",""
"ICF International","ICFI","2217.56","158.483","107.261",".59","243.953","0","1339.43505","415.992","466.71798","549.20001","0","853.21099","45.06","40.963",".69386","1.29","1.12",".5355","64.24299","160.95399","1779.96"
"ICL Group","ICL","7182.3","4229","3731","1.12","1906","2134","852","2606","4548","2312","0","5713","4.58","27.86199",".38623","1.73",".93",".19493","2159","2848","10015"
"ICON","ICLR","17941.51","1367.09497","797.58197","1.11","1843.83605","0","13250.33007","2690.60107","3229.06591","4599.0371","0","8497.96289","105.63","33.47",".50307","1.18","1.2",".51484","505.30398","1538.19201","7741.39"
"ICU Medical","ICUI","4524.58","220.87199","-48.03401",".62","221.71899","696.00897","2432.02392","494.55899","1235.19604","1623.67504","0","2089.92797","87.52","43.42499",".76756","2.62","1.09",".64192","-74.28601","425.00299","2280"
"IDACORP","IDA","5275.34","574.24798","400.69299",".62","179.08599","107.22299","0","548.565","693.65301","2194.14501","0","2814.61499","55.93","46.73199",".87729","1.86","1.07",".74256","258.98199","432.53698","1643.98"
"Industrial & Commercial Bank of China","IDCBY","193885.02","72937.15625","68640.4375",".25","2627954","0","0","3733180","3404470","527053.5","0","421588.6875","28.09","54.64199","1.20466",".91","","","53573.17968","53573.17968","209493.8"
"InterDigital","IDCC","2259.41","225.63","147.059","1.2","53.18199","0","353.99899","271.346","1344.67504","607.06597","0","730.513","23.1","49.29499",".97219","4.7","4.96","4.75958","93.693","172.264","457.79"
"Industria de Diseno Textil","IDEXY","107088.17","8348.88964","4937.604","1.08","1247.63","3577.08789","930.13702","9442.47656","15994.58984","1.17599","0","18531.00976","","","","","","","3813.44409","7248.33886","32793.02"
"","IDV","4817.33","","",".89","","","","","","","","","","","","","","","","",""
"IDEXX Laboratories","IDXX","38571.71","1011.72998","899.83001","1.19","400.61898","367.82299","459.46701","1235.80297","1101.47705","694.38702","0","608.73699","10.13","45.29299",".82791","1.08",".59",".26948","679.08898","790.98901","3367.32"
"","IEF","29177.27","","",".05","","","","","","","","","","","","","","","","",""
"Icahn Enterprises","IEP","8458.31","1086","577",".76","7650","0","821","2851","19345","7096","0","9558","24.03","45.493",".83462","5.49","6.79","4.10206","-183","326","14101"
"IDEX","IEX","15522.63","911.5","790.09997","1","442.79998","470.89999","3585.8999","543.59997","1399.30004","1468.69995","0","3039.60009","42.73","31.29",".45539","3.1","1.71",".8933","586.90002","739.5","3181.9"
"International Flavors & Fragrances","IFF","20312.92","-110","-1289","1.1","1818","3151","22437","3728","7432","10373","0","17714","69.75","34.27899",".51826","1.53","1.15",".66067","-1871","2598","12440"
"Infineon Technologies","IFNNY","49507.47","4587.79687","2911.81591","1.8","1900.58605","3103.1831","10642.08007","5628.23291","9521.06152","5257.58398","0","15051.5996","11.68","25.09399",".335","1.83","1.14",".80261","2194.68896","1675.98095","14320.37"
"Intercorp Financial Services","IFS","2617.73","995.12902","908.34899","1.27","12215.19042","0","421.52899","13335.92968","15620.41015","2040.61694","0","2592.8601","20.77","38.838",".635","1.12","1.17",".25534","428.596","515.42602","1330.61"
"","IGIB","11467.04","","",".28","","","","","","","","","","","","","","","","",""
"","IGSB","23758","","",".11","","","","","","","","","","","","","","","","",""
"International Game Technology","IGT","5126.28","1578","878","1.88","670","254","5857","1848","2131","5690","0","1979","9.38","74.73999","2.95875","1.03","1.02",".65313","275","1105.18395","4225"
"Intercontinental Hotels Group","IHG","11657.27","812","658","1.21","662","4","1144","1544","1678","2341","0","-1608","-9.17","","-1.45585","1.09","1.08",".65544","375","665","3892"
"IHI CORP","IHICY","3740.16","1570.44104","821.12298",".19","3097.18188","3027.11303","1131.11901","6885.708","9113.52832","3500.12109","0","3622.64697","4.94","45.423",".83227","1.29","","","385.51098","385.51098","10014.46"
"IHS Holding","IHS","2708.47","797.42901","328.17898","1.35","664.64099","74.216","1813.62402","1266.38696","1252.93505","3423.5769","0","1358.64794","4.26","71.90499","2.55932","1.13",".93",".40594","-460.43799","8.812","1961.3"
"Internet Initiative Japan","IIJIY","3780.21","473.14801","219.99299",".63","335.07699","23.214","230.537","683.32","929.92102","48.95","0","931.125","","","","","","","139.43899","139.43899","1870.55"
"","IJH","65460.15","","","1.12","","","","","","","","","","","","","","","","",""
"","IJJ","6882.87","","","1.17","","","","","","","","","","","","","","","","",""
"","IJK","7274.1","","","1.08","","","","","","","","","","","","","","","","",""
"","IJR","65144.62","","","1.14","","","","","","","","","","","","","","","","",""
"","IJS","6553.8","","","1.18","","","","","","","","","","","","","","","","",""
"","IJT","4904.04","","","1.12","","","","","","","","","","","","","","","","",""
"INTERTEK GP","IKTSY","8589.34","870.85101","597.75598",".74","938.50598","20.489","2200.02197","1740.32702","1324.63403","738.70397","0","1532.27404","","","","","","","357.29998","422.871","3950.22"
"Illumina","ILMN","33289.54","-3916","-4310","1.17","671","568","6524","2773","3561","1487","0","6599","42.33","18.17799",".22217","1.42","1.08",".83736","-4404","730","4584"
"Imperial Tobacco Group","IMBBY","19920.47","6311.7832","5466.45507",".65","3257.07397","5302.5122","22768.77929","14266.83007","11426.01953","11522.08007","0","9571.41796","10.08","54.624","1.2038",".8",".43",".20091","2010.85595","3933.00805","38332.22"
"Immunocore","IMCR","2472.67","-37.50601","-45.08901",".58","72.234","1.166",".507","102.774","484.71798","83.79799","0","344.79299","7.57","19.52499",".24261","4.56","4.71","4.00216","-50.99001","-42.203","173.59"
"ImmunoGen","IMGN","3474.7","-215.76301","-217.54601",".89","17.978","0","0","121.858","304.121","0","0","155.826",".54","0","0","2.4","2.5","2.34816","-222.92901","-221.146","108.78"
"Imperial Oil","IMO","27940.04","8754.26464","7295.09277","1.55","3629.85498","1164.56896","1068.41894","6844.34179","8258.13085","3102.18408","0","17240.08007","29.66","14.66399",".17183","1.41","1.04",".50606","5645.92822","7105.04785","45897.75"
"Impala Platinum","IMPUY","7114.6","3396.72802","3013.70605","1.67","443.42599","1572.55395","0","1091.42504","3959.84399","62.971","0","7849.34814","","","","","2.19","1.78103","2108.82397","2490.70703","7787.14"
"Immunovant","IMVT","2735.97","-210.758","-210.95101",".95",".88499","0","0","43.297","404.333","0","0","362.49398","2.78","0","0","9.34","9.34","9.31815","-210.96001","-210.767",""
"Incyte","INCY","13914.02","599.63702","531.78198",".72","644.87902","41.99499","284.81201","1157.07702","4092.85009","30.083","0","4370.11914","20",".6611",".00665","3.95","3.5","2.9436","340.66","690.531","3394.64"
"Independent Bank","INDB","2095.5","391.492","352.69299",".81","13776.25976","2.80299","1010.14001","15879.00976","14135.87988","113.37699","0","2886.70092","63.8","25.95599",".35055",".94",".89",".02247","263.81298","307.71701","757.51"
"Informatica Inc.","INFA","5018.19","256.46099","43.823",".73","454.759","0","3165.02807","963.45599","1398.75305","1821.76","0","2054.36108","7.12","47.346",".89919","1.53","1.45",".97979","-53.675","436.673","1505.12"
"Infosys","INFY","63700.37","4502","4036",".99","4955","0","1095","4769","8626","0","0","9224","2.23","0","0","1.81","","","2981","3505","18212"
"ING Group","ING","47215.26","33557.16015","32808.05078","1.58","716444.8125","0","1161.06701","849792.6875","924517.125","101059.20312","0","60059.41015","15.06","67.37699","2.06532","1.09","1.09",".24485","12775.95019","4620.70898","19559.27"
"Ingredion","INGR","7001.01","982","767",".77","1411","1597","1301","1882","3309","1940","0","3163","49.66","37.77799",".59157","1.8",".91",".15993","492","714","7946"
"Innergex Renewable Energy","INGXF","2144.27","427.83099","169.339",".53","138.90299","0","1083.52294","500.61401","405.49099","4141.99804","100.818","1042.54199","5.11","78.36699","3.97297",".81",".81",".53252","-62.781","231.67799","669.58"
"InMode","INMD","2832.72","202.14599","201.466","2.08","42.09099","39.89699","0","82.01999","629.37097","0","0","554.61798","7.26","0","0","10.98","7.19","6.67377","161.52","208.166","454.27"
"Insmed","INSM","2656.35","-437.42301","-453.70499","1.53","29.71299","69.92199","204.86599","190.24299","1273.38305","1154.88598","0","87.95099","-.33","92.92299","-26.00504","6.01","6.33","6.16973","-481.534","-464.047","245.36"
"Inspire Medical Systems","INSP","8949.11","-40.73301","-42.591","1.44","61.228","11.88599","0","61.186","530.03198","0","0","496.00799","17.3","0","0","8.91","8.47","7.46768","-44.88101","-43.023","407.86"
"Instructure","INST","3487.96","124.607","-17.779",".55","71.428","0","1809.08105","334.057","285.03601","503.08099","0","1276.12695","8.89","28.16399",".39206",".9",".85",".63943","-34.24201","253.031","475.19"
"Intapp","INTA","2870.43","-85.98301","-102.839",".62","76.90899","0","317.53298","223.51899","147.391","0","0","255.882","4.16","0","0",".69",".66",".31532","-99.67801","9.51099","272.07"
"Intel","INTC","124546.06","20803","7768",".87","4133","13224","33609","32155","50407","37684","0","103286","24.07","32.72299",".48639","1.76","1.16","1.02783","8014","20629","63054"
"Intuit","INTU","124021.65","3369","2623","1.18","539","0","20797","3630","5047","6415","0","16441","62.81","25.77499",".34726","1.51","1.39","1.24187","2066","4111","12726"
"Invitation Home","INVH","21092.83","1252.97302","598.19201",".91","0","0","258.207","2716.60791","262.86999","5426.44287","0","10323.62988","16.76","34.60599",".5292",".12",".1",".09676","383.32901","1037.44897","2238.12"
"Indivior","INVVY","3062.21","239","217",".35","215","95","82","804","1444","239","0","203","","","","","","","205","162","791"
"Ionis Pharmaceuticals","IONS","6047.41","-214.99601","-249.86301",".53","25.538","22.033","0","311.561","2202.69409","1182.71899","0","572.88702","3.4","70.75","2.41874","9.81","7","6.91717","-269.72199","-235.133","587"
"Innospec","IOSP","2402.87","225.8","185.69999","1.17","334.6","373.1","403.79998","405.79998","872.59997","0","0","1040.40002","43.45","0","0","2.29","1.23",".40635","133","191.1","1963.7"
"Samsara Inc.","IOT","14267.8","-232.06701","-243.83501","1.01","122.86699","40.57099","0","442.15798","957.53497","0","0","938.01898","1.79","0","0","2.17","2.07","1.79595","-247.422","-53.174","652.54"
"International Paper","IP","10508.88","2876","1836","1.04","3284","1942","3041","5000","6770","4816","0","8497","24.17","39.47299",".65216","1.55",".97",".3088","1504","2208","21161"
"Inter Parfums","IPAR","4118.15","220.35699","197.81799","1.07","226.544","289.984","290.85299","344.56698","787.72399","151.494","0","788.14599","26.46","14.59",".17081","2.35","1.44",".78706","120.938","149.59899","1086.65"
"The Interpublic Group of Companies","IPG","14653.8","1770.59997","1443.59997","1.12","7339","0","5868.70019","9983.20019","10325.20019","2870.69995","0","3706","9.38","44.56299",".79323","1.03","1.03",".29912","938","1412.69995","10927.8"
"IPG Photonics","IPGP","5143.06","273.915","183.35099","1.21","211.347","509.363","72.44499","274.64599","1986.27404","0","0","2385.3601","49.44","0","0","7.68","5.38","4.60798","109.90899","200.473","1429.55"
"Inpex","IPXHY","15350.4","7539.93994","5713.82324","1.21","1725.17004","415.72698","3883.31396","3033.281","4511.07617","9561.12792","0","29094.15039","","","","","","","3314.24291","3509.33496","17579.08"
"iQIYI","IQ","4173.27","1299.79101","98.77999",".49","363.45599","0","1609.84997","4078.46899","1998.729","1387.27001","0","919.71197","1.65","52.27799","1.09546",".73",".49",".40095","-19.74901","1181.26196","4204.24"
"IQVIA","IQV","37853.88","2924","1779","1.39","2960","0","18741","5578","4981","12595","0","5765","31.97","66.608","1.99477",".8",".89",".36231","1091","3082","14410"
"Ingersoll Rand","IR","24546.25","1278.19995","845.40002","1.42","1122","1025.40002","9642.80078","1674","3967.30004","2716.10009","0","9257.20019","23.19","22.40399",".28873","2.16","1.76","1.08715","604.70001","1404.5","5916.3"
"Iridium Communications","IRDM","7735.3","382.18899","74.10299","1.08","82.273","39.776","42.57699","141.57699","306.20401","1470.68505","0","1128.55505","8.62","57.48099","1.35189","2.4","1.88","1.30074","8.722","316.80801","721.03"
"Iron Mountain","IRM","16190.92","1865.29101","1119.65197",".91","1174.91503","0","6305.8789","1917.56396","1547.14501","10481.45019","0","636.79302","1.87","95.257","19.9091",".8",".81",".19411","556.98101","1270.45202","5103.57"
"Independence Realty Trust","IRT","4004.42","464.19198","207.61399","1","0","0",".39899","2749.03491","0","0","0","3737.86694","16.5","41.50299",".70949","0","0","0","117.249","373.82699","628.53"
"iRhythm Technologies","IRTC","3205.83","-98.81701","-111.74801","1.4","49.91799","15.15499",".86199","89.096","288.772","34.935","0","239.81199","7.28",".45456",".00456","3.1","3.07","2.51076","-116.155","-103.224","410.92"
"IVERIC bio","ISEE","5332.19","-185.23","-185.211","1.1","0","0","0","35.587","662.82598","96.568","0","534.65698","3.48","16.89599",".2033","15.53","18.63","18.6255","-185.211","-185.23",""
"Intesa Sanpaolo","ISNPY","44427.2","2522.19799","2522.19799","1.16","702811.5","0","9360.00585","785148.5","1050412","104902","0","75422.64062","","","","","","","3743.31689","2445.45703","23508.82"
"Intuitive Surgical","ISRG","111247.88","1999.19995","1606.80004","1.31","942.09997","893.20001","1058.59997","1422.09997","6253","0","0","11112.5996","32.23","0","0","5.26","3.77","3.10646","1322.30004","2087.19995","6222.2"
"Gartner","IT","27151.73","1349.91796","1153.39794","1.27","1556.78601","0","3514.92504","3597.60009","2786.10693","2453.60693","0","227.798","5.98","83.83499","5.18626",".84",".77",".3417","807.79901","1110.52001","5475.83"
"IntraCellular Therapies","ITCI","6063.46","-255.14701","-256.25","1.13","75.189","23.92","0","83.236","737.95697","0","0","656.07","6.54","0","0","8.87","8.58","7.67514","-256.25602","-255.153","250.31"
"Integer Holdings","ITGR","2750.3","208.617","114.58999","1.12","226.328","208.766","1802.08105","223.75199","558.29797","915.07897","0","1417.45605","42.61","41.36399",".70544","2.79","1.56",".55062","66.37699","223.57499","1376.1"
"Itochu","ITOCY","57111.49","12936","9634",".65","22027","8801","8837","29827","39300","19474","0","38922","51.31","30.715",".44331","1.27","","","6702","10004","100444"
"Itron","ITRI","3131.45","99.72299","-9.01901","1.34","280.43499","228.701","1103.66198","498.57199","829.58398","452.526","0","1191.55603","26.3","27.506",".37943","1.68","1.21",".64273","-9.73201","159.729","1795.56"
"ITT","ITT","6739.5","575.59997","468.20001","1.42","628.79998","533.90002","1077.59997","1185.5","1836.80004","0","0","2257.3999","27.89","0","0","1.6","1.1",".56862","367","478.89999","2987.7"
"Itau Unibanco","ITUB","53508","24887.73632","23958.75195",".68","187997.09375","0","4477.18212","226875.20312","314520","82135.20312","0","34351.33984","3.57","70.58899","2.40007","1.57","1.39",".55767","5753.27685","6977.73095","54883.77"
"ITV","ITVPY","3526.06","837.38098","667.92602","1.64","974.677","1076.10302","2011.19897","2168.28588","2712.52197","669.16302","0","2320.42407","5.76","22.38299",".28837","1.25",".75",".30519","529.393","825.16497","4612.24"
"Illinois Tool Works","ITW","68560.47","4455","4045","1.1","3171","2054","5632","4460","6270","6173","0","3089","10.2","63.98799","1.77684","1.2",".95",".2343","3034","3257.58007","15932"
"","IVV","317539.91","","","1","","","","","","","","","","","","","","","","",""
"Invesco","IVZ","7051.22","1528.19995","1332.90002","1.35","1005.5","0","15698.90039","2844.30004","12636.2998","8078","4010.5","11833","26.02","36.463",".69317","4.88","4.44","4.08916","920.70001","1205.30004","6048.9"
"","IWD","49387.98","","",".95","","","","","","","","","","","","","","","","",""
"","IWF","68411.47","","","1.08","","","","","","","","","","","","","","","","",""
"","IWM","50461.98","","","1.15","","","","","","","","","","","","","","","","",""
"","IWN","10853.18","","","1.15","","","","","","","","","","","","","","","","",""
"","IWO","9534.92","","","1.15","","","","","","","","","","","","","","","","",""
"","IWP","12396.05","","","1.09","","","","","","","","","","","","","","","","",""
"","IWR","27265.3","","","1.09","","","","","","","","","","","","","","","","",""
"","IWS","12171.32","","","1.09","","","","","","","","","","","","","","","","",""
"Orix Corp Ads","IX","20808.68","6276.82812","3661.41601",".86","31484.64062","1250.755","0","41233.82812","72660.84375","38551.94921","0","25362.01953","107.29","60.323","1.52006","1.76","1.73",".96826","2020.755","4636.71289","19736.49"
"","IYR","2903.71","","",".91","","","","","","","","","","","","","","","","",""
"","IYW","12191.7","","","1.15","","","","","","","","","","","","","","","","",""
"JACOBS SOLUTNS","J","14500.22","1277.64904","976.59301",".84","3405.3811","0","8578.70996","3250.84497","4721.99414","3357.2561","0","6104.39208","50.67","38.75999",".52931","1.53","1.45",".405","644.039","1198.21997","14922.83"
"Jamf","JAMF","2255.32","-67.561","-141.676",".41","88.62799","0","1075.66894","360.96798","351.04598","364.505","0","701.33801","5.69","34.10499",".51757",".97",".97",".72698","-141.301","95.482","478.78"
"Jazz Pharmaceuticals","JAZZ","8302.72","544.92901","-84.542",".74","651.49298","714.06097","7487.09912","933.19299","2606.13989","5693.34082","0","3085.73388","52.11","63.04499","1.70602","3.06","2.03","1.32939","-224.06","1563.06896","3659.37"
"J.B. Hunt Transport Services","JBHT","17568.29","1977.14196","1332.62194","1.13","1858.83898","40.602","236.38999","1568.23095","2211.77807","1261.73803","0","3666.76806","36.64","20.708",".26115","1.17","1.38",".19916","969.35101","1613.87097","14814"
"Jabil","JBL","12151.23","2307","1382","1.43","3995","6128","862","13697","13908","2575","0","2452","20.15","49.076",".96372","1.04",".57",".27633","996","2030","33478"
"JetBlue Airways","JBLU","2288.75","314","-271","1.59","317","87","298","3748","1916","3093","0","3563","10.29","49.574",".9831",".52",".49",".40341","-362","325","9158"
"JBS","JBSAY","7654.94","5450.27099","3541.58398",".96","4952.10009","7332.08496","7891.48291","10684.54003","15378.0498","16295.11035","0","9647.99023","8.34","63.235","1.71998","1.42",".75",".28956","2994.1831","4902.60693","72601.71"
"John Bean Technologies","JBT","3592.84","249.5","168.39999","1.41","299","322.5","1253.19995","621.20001","869.59997","977.29998","0","862.70001","28","51.77299","1.07351","1.4",".88",".39938","130.69999","234.1","2166"
"Johnson Controls International","JCI","42394.05","2540","1710","1.22","5528","2510","21969","11239","11685","7426","0","17402","24.89","31.44099",".4586","1.03",".82",".32449","1532","2927","25299"
"JD.com","JD","49561.76","3366","2317",".45","2983","11302","9585","38648","50901","4383","0","39659","29.4","9.6885",".10727","1.36","1.02",".94742","1507","5143","151690"
"Jefferies Financial Group","JEF","7113.57","1244.90502","1055.56201","1.41","0","0","1736.11401","25244.78906","29326.71093","10140.11035","0","10295.48046","43.11","50.91799","1.03722","1.07","1.16","1.16169","785.44897","1051.05297","5978.84"
"Jiangsu Expressway Co.","JEXYY","4949.59","","",".38","","","","","","","","","","","","","","","","",""
"Jfe Holdings","JFEEF","7228.81","5820.80517","3575.48608",".7","7101.8789","10928.62011","1038.81701","13295.17968","21294.40039","13436.67968","0","18429.58007","27.62","41.60599",".71249","1.65","","","2563.72509","4811.33984","38884.71"
"Janus Henderson Group","JHG","4558.9","455.5","388","1.44","252.89999","595.90002","3667.80004","610.5","2214.80004","307.5","0","4362.60009","26.5","13.60599",".06987","3.98","2.65","2.23751","372.39999","501.29998","2203.6"
"James Hardie Industries","JHX","11352","896.09997","723.5","1.41","361.6","344.20001","350.1","697.29998","1075.09997","1060.40002","0","1611.40002","3.65","39.68899",".65806","1.54","1.05",".52961","512","778.09997","3777.1"
"J & J Snack Foods","JJSF","2961.39","115.902","62.77899",".54","208.17799","180.473","376.152","181.839","444.63699","55.254","0","863.169","44.63","9.748",".108","2.73","1.45",".30788","47.235","106.122","1380.66"
"Jack Henry & Associates","JKHY","11312.43","652.27502","474.651",".63","361.89401","0","1193.05505","543.83001","613.52398","115","0","1381.62304","21.11","19.6",".24377","1.52","1.13",".46269","362.91598","540.53997","1942.88"
"JinkoSolar","JKS","2135.76","843.195","443.096",".83","2458.58105","2530.05297","11.541","9414.86328","9906.52832","2140.74291","0","3915.19702","83.89","35.145",".5419","1.06",".78",".52235","89.96499","661.096","12110.55"
"Jones Lang LaSalle","JLL","6878.15","1383.30004","1069.40002","1.28","4948.7998","0","5386.5","3150.80004","5937.60009","1586.59997","0","6142.5","129.31","28.687",".4011","2.62","1.88",".31382","654.5","1089","20862.1"
"Jardine Matheson","JMHLY","14318.46","5965","3848",".23","6873","3513","2528","16241","19834","12264","0","56197","193.9","17.91399",".21823","1.22","1",".58173","354","3701","37724"
"Johnson Matthey","JMPLY","4110.27","663.77899","404.277","1.26","2452.97705","2115.62402","864.55102","4305.00097","5714.50683","1227.854","0","3333.91796","32.65","30.443",".43767","1.38","","","-137.946","815.609","21895.86"
"Johnson & Johnson","JNJ","411431.59","28971","22001",".54","16160","12483","93556","55802","55294","26888","0","76804","27.27","33.01399",".49285","1.07",".77",".47759","17941","34008","94943"
"","JNK","8348.47","","",".46","","","","","","","","","","","","","","","","",""
"Juniper Networks","JNPR","9660.63","754","536.29998",".94","1227.30004","619.40002","3894.8999","2078.8999","3617.10009","1601.30004","0","4475.10009","13.8","26.714",".36451","1.76","1.44",".8516","471","860.29998","5301.2"
"Joby Aviation, Inc.","JOBY","3779.56","-233.838","-257.83301","1.58","4.02099","0","26.59199","30.20299","1084.17797","0","0","1164.74096","1.7","0","0","33.42","35.9","35.76323","-258.043","-234.04801",""
"The St. Joe Company","JOE","2685.11","135.888","113","1.27","0","0","0","0","37.747","563.71697","0","651.109","11.18","47.851",".91759","","","","70.927","93.788","252.3"
"JPMorgan Chase & Co.","JPM","406461.06","69232","62181","1.1","1241110","0","60859","3064936","2577735","295865","27404","264928","94.34","50.596","1.07186",".85",".84",".4361","37676","44727","154792"
"Jeronimo Martins SGPS","JRONY","16024.95","1834.98803","953.578",".76","593.91601","1319.156","895.60699","6300.00683","3681.80688","410.53601","0","2995.60888","7.66","9.62629",".10651",".56","","","621.73199","621.73199","26750.28"
"J. Sainsbury","JSAIY","8057.77","3284.74902","1606.18103",".85","5252.86718","2454.34301","1373.99499","13477.70996","9219.15039","965.62097","0","11504.12988","15.93","7.97349",".08664",".7","","","249.53599","642.52502","37961.97"
"JSR CP UNSP","JSCPY","5019.52","569.13702","385.449",".75","621.83599","857.37402","1161.953","2355.30004","3570.56909","398.21398","0","3388.67089","13.91","15.38399",".1818","1.73","","","304.789","515.98297","3037.6"
"Grubhub","JTKWY","3266.5","-542.60401","-5987.60889","1.73","477.281","38.983","9633.06445","1483.46899","2787.82592","2108.2539","0","8318.17187","7.7","20.21999",".25345","1.88","1.85","1.53125","-5970.75098","-526.78303","5860.09"
"Nordstrom","JWN","2807.16","1334","465","2.22","265","1941","249","2990","3209","2856","0","739","3.41","82.55799","4.73321",".96",".42",".33545","245","1143.17797","15530"
"Jackson Financial","JXN","2388.1","7235","7224","1.48","30155","0","0","96473","34453","4367","0","9155","110.24","32.93",".52025",".33",".36",".04455","5697","1454","14551"
"Kellogg's","K","23136.19","1893","1415",".42","1736","1768","7982","6349","4186","5317","0","4375","13.07","56.25099","1.28577",".72",".38",".10741","960","1926.47998","15315"
"Kadant","KAI","2364.1","207.781","172.11399","1.19","130.29699","163.67199","561.09997","213.46099","415.41","197.33999","0","655.57098","58.47","20.693",".26092","1.99","1.18",".56891","120.928","143.61999","904.74"
"KB Financial Group","KB","14986.4","7896.72412","7090.12695",".96","346403.3125","0","2539.63598","309389.1875","523388.6875","111425","0","39393.51171","111.5","70.813","2.42621","1.69","1.69",".57204","3487.46191","4208.19482","20054.37"
"KBC Group","KBCSY","27649.99","6819.38916","6255.0498","1.11","0","0","2069.24194","0","77992.3125","0","0","27302.40039","","","","","","","3092.62304","3657.09912","10982.02"
"KB Home","KBH","3792.12","1112.46899","1077.828","1.61","322.76699","5543.17578","0","2988.00708","6194.45996","0","0","3660.79492","44.8","0","0","2.15",".22",".10994","816.66601","854.14898","6903.78"
"KBR","KBR","8412.06","508","371","1.13","942","0","2732","1821","1747","1376","0","1632","12.21","45.332",".8292",".99",".96",".44206","190","545.651","6564"
"KimberlyClark de Mexico","KCDMY","6414.73","531.96099","436.552",".63","335.52398","219.983","141.27499","751.833","1160.64794","1241.15295","0","282.17498",".3","89.507","8.53042","1.74","","","221.548","317.05999","2312.95"
"Kyndryl Holdings, Inc.","KD","2777.42","2288","-757","1.53","1523","0","983","4868","4963","3111","0","1462","6.43","68.02999","2.1279","1.02","1.02",".70665","-1375","2873.57006","17026"
"KDDI","KDDIY","72259.11","16023.06347","9542.96289",".09","20599.91992","663.14801","13939.0498","35741.98046","32636.55078","8202.38281","0","49044.89843","8.52","13.298",".15337",".8","","","5985.125","12470.26953","48516.55"
"Keurig Dr Pepper","KDP","43952.24","3121","2412",".58","1484","1314","43255","8076","3804","11072","0","25125","17.88","28.343",".39554",".39",".31",".12456","1436","3107","14057"
"Korea Electric Power","KEP","9629.46","-11644.78711","-20367.7754",".76","7355.90917","6951.5122","739.72998","31163","20825.38085","68833.88281","0","29400.17968","23.03","22.474",".28988",".61",".45",".20915","-17126.80079","-10214.34961","55153.59"
"Kirby","KEX","4464","453.902","209.563","1.27","597.96197","461.84799","490.21099","642.19702","1211.75903","1076.32604","0","3045.16796","51.41","25.85199",".34865","1.95","1.17",".2366","122.291","370.92999","2784.75"
"KeyCorp","KEY","9474.23","3076","2939","1.25","127280","963","2846","157052","132391","19307","2500","10954","12.78","61.36999","1.92463",".86",".84",".02641","1917","1930","8130"
"Keysight Technologies","KEYS","28797.47","1587","1364","1.07","905","858","1771","1407","4234","1793","0","4161","26.38","27.593",".38108","3.35","2.4","1.75621","1124","1611","5420"
"KornFerry International","KFY","2548.66","521.71502","458.194","1.5","622.14398","0","815.36199","984.22497","1759.96997","395.47698","0","1549.58898","30.6","19.71199",".2455","1.88","","","326.35998","403.61801","2643.46"
"Kinross Gold","KGC","5953.68","984.40002","200.39999",".94","318.20001","1072.19995","0","751.5","1852.59997","2556.8999","0","5882.20019","4.85","26.60499",".36248","1.72","1.04",".61503","-605.20002","1067.09997","3455.1"
"Kingdee International Software Group Co.","KGDEY","4906.09","9.536","-58.44201",".31","60.755","4.715","160.792","477.971","693.03399","0","0","1209.48706","","","","","","","-46.86101","21.117","646.99"
