Company Name,Ticker,Market Cap (mil),EBITDA ($mil),EBIT ($mil),Beta,Receivables ($mil),Inventory ($mil),Intangibles ($mil),Current Liabilities ($mil),Current Assets  ($mil),Long Term Debt ($mil),Preferred Equity ($mil),Common Equity ($mil),Book Value,Debt/Total Capital,Debt/Equity Ratio,Current Ratio,Quick Ratio,Cash Ratio,Net Income  ($mil),Cash Flow ($mil),Annual Sales ($mil)
"Accenture","ACN","192373.11","11331.70312","9243.4873","1.24","11776.78027","0","13133.29003","17523.5","21610.86914","45.893","0","22747.08984","38.71",".18429",".00184","1.29","1.23",".56119","6877.16894","8965.38476","61594.3"
"Enact Holdings","ACT","4031.44","961.57702","949.92102",".62","77.582","0","0","721.72497","594.40399","742.83001","0","4100.9082","26.5","14.751",".17303","1.02",".82",".71609","704.15698","720.15502","1095.05"
"ACV Auctions","ACVA","2828.9","-89.74901","-101.127","1.41","246.779","0","148.03799","348.21701","754.77398","75.5","0","485.72399","3.02","16.568",".19858","2.01","2.17","1.45884","-102.19301","-81.395","421.53"
"","ACWI","17247.79","","",".93","","","","","","","","","","","","","","","","",""
"Adobe","ADBE","199158.38","6976","6120","1.3","2065","0","14236","8128","8996","3629","0","14051","30.98","20.35199",".25552","1.12","1.11",".85273","4756","7313","17606"
"Agree Realty","ADC","6079.33","387.44198","216.47",".46","65.841","0","799.44799","106.067","93.60399","1940.01794","175","4455.39013","51.22","29.798",".44051",".72",".88",".26174","152.43699","323.40899","429.81"
"Adidas","ADDYY","32586.45","2194.64892","745.94897","1.04","2772.02197","6293.15283","1779.53002","9753.1748","12360.83007","3103.906","0","5637.81298","14.6","36.08499",".56457","1.27",".62",".3379","644.80297","1688.96301","23721.71"
"Analog Devices","ADI","88513.98","5596.65576","3299.15698","1.14","1800.46203","1399.91394","40178.53906","2442.65502","4937.99218","6548.625","0","36465.32031","71.19","15.241",".17981","1.79","1.45",".71136","2748.56103","7302.62109","12013.95"
"Archer Daniels Midland","ADM","38816.12","6657","5629",".81","4926","14771","6544","24191","35410","7735","0","24317","45.71","24.42499",".31109","1.51",".85",".64953","4340","5449","101848"
"Adient","ADNT","3271.94","619","269","2.77","1852","953","2524","3501","4163","2564","0","2375","26.74","50.52799",".9996","1.16",".92",".38788","-120","361","14121"
"Automatic Data Processing","ADP","89333.66","5457.2998","3886",".8","3170.60009","0","3633.60009","55158.69921","54804.89843","2987.10009","0","3225.30004","8.94","44.72299",".80908","1",".99",".9361","2948.8999","4522.8999","16498.3"
"Ahold","ADRNY","30874.58","7889.35693","4024.75195",".47","2556.03393","4858.14892","13880.12988","15890.40039","11397.83984","4769.64697","0","16230.70996","16.61","22.71199",".29386",".72",".41",".25069","2682.46606","6557.54687","91662.26"
"Andritz","ADRZY","5787.6","849.82098","567.41497",".79","1569.14599","1070.70495","1146.66101","4942.75488","6019.14013","1475.79895","0","1854.27294","3.56","35.268",".54483","1.17","","","385.09899","667.531","7646.89"
"Autodesk","ADSK","44767.22","1096","946","1.53","961","0","4032","4000","3341","2281","0","1145","4.18","71.78399","2.54403",".72",".84",".595","823","1594.30004","5005"
"ADT","ADT","5474.21","2269.64599","502.68798","1.71","597.31298","410.255","10910.3496","2661.10302","1721.99597","8956.67089","0","3433.10302","3.6","73.88099","2.82863",".81",".49",".26847","172.61799","1984.958","6395"
"Adyen","ADYEY","52143.73","412.54501","379.91299","1.83","1105.53198","22.32999","11.38899","3118.42407","4268.87109","0","0","1391.47399","","","","","","","555.76","555.76","6192.22"
"Ameren","AEE","21518.22","3200","1741",".44","654","667","411","3366","2668","13685","0","10637","40.88","56.91299","1.32088",".75",".59",".40017","1074","2533","7957"
"Aegon","AEG","12332.45","-56.89501","-1279.07105","1.12","22319.46093","0","1306.46398","294274.6875","25909.08007","6686.14599","0","14950.58007","5.59","30.902",".44721",".09",".09",".01219","-1509.80896","1609.96801","22478.25"
"Advanced Energy Industries","AEIS","3635.89","302.03698","241.74099","1.55","300.68301","376.01199","470.95901","393.04299","1188.51403","353.26199","0","1066.26696","29.2","24.12199",".31789","3.15","2.07","1.30219","199.66","305.10598","1845.42"
"American Equity Investment Life Holding","AEL","3176.11","2624.55908","1583.88598",".87","13761.75","0","0","68208.35156","15681.41992","870.82598",".028","3190.42797","33.81","24.85",".33066",".25",".23",".02814","1220.94396","1420.71594","1415.5"
"Agnico Eagle Mines","AEM","25752.17","2293.04907","1198.35803",".81","43.63299","1209.07495","2044.12304","946.42199","2180.05908","1356.94604","0","16241.33984","40.04","10.69999",".11982","2.32","1.03",".97984","670.24902","2098.19091","5741.16"
"American Eagle Outfitters","AEO","2171.97","405.29","192.791","1.52","242.386","585.083","359.48098","768.94799","1100.24096","8.911","0","1599.16296","8.2","1.8327",".01866","1.58",".67",".35473","125.136","405.535","4989.83"
"American Electric Power","AEP","43164.75","7102.20019","3816.5",".46","2570.30004","1302.09997","52.5","14567.40039","9418.70019","33626.19921","0","24122.40039","46.59","60.191","1.51199",".62",".56",".38073","2307.19995","5890.8999","19639.5"
"Aercap","AER","13734.41","3312.49902","589.45001","1.99","132.20199","0","3549.66308","4804.81005","1888.97204","46532.96093","0","16195.0498","65.27","74.16899","2.87131",".28",".39",".36562","-726.04102","4909.00781","7013.55"
"AES","AES","13440.26","884","-169",".95","1799","1055","2203","6491","7643","21740","838","3666","5.42","83.50499","6.23282","1.13","1.01",".73779","-546","2620","12617"
"Arc Resources","AETUF","7604.5","3378.86499","2365.5979","1.33","663.97302","5.15399","190.91499","1319.71594","758.81597","761.50799","0","5117.87207","8.23","12.95199",".14879",".57",".57",".06796","1770.92895","2784.17993","6646.75"
"American Financial Group","AFG","9792.25","1308","1208",".82","6202","0","246","16255","7106","1496","0","4052","46.27","27.274",".37503",".42",".44",".05561","898","1093","7040"
"Aflac","AFL","40561.76","5982","4830",".94","1392","0","0","93258","5335","7442","0","22365","32.74","27.27499",".37505",".05",".06",".04228","4201","4549","19502"
"Affirm","AFRM","4597.91","-728.99299","-724.831","3.15","142.052","0","618.47601","277.32901","3290.90209","4078.208","0","2618.25488","8.52","65.467","1.89575","10.91","11.87","11.3542","-707.417","-711.57898","1349.29"
"AGCO","AGCO","8738.89","1389.80004","1120.19995","1.34","1221.30004","3189.69995","1675.19995","4088","5739.2998","1264.80004","0","3882.60009","55.22","30.235",".43337","1.59",".62",".32492","889.59997","1200.59997","12651.4"
"Ageas","AGESY","7788.46","2605.18603","1619.66394",".72","2542.48193","0","1564.05798","105194.20312","4834.14599","4278.08984","0","16766.89062","","","","","","","999.71899","1985.07299","16295.35"
"","AGG","90537.66","","",".12","","","","","","","","","","","","","","","","",""
"Alamos Gold","AGI","4889.63","279.6","108.09999","1.09","37.2","234.19999","0","181.89999","441","0","0","2721.10009","7.02","0","0","2.47","1.14",".93238","37.09999","279.39999","821.2"
"Agilon Health","AGL","8591.19","-87.392","-101.16401","1.12","497.574","0","109.22","535.091","1451.27404","38.48199","0","1040.609","2.61","3.3285",".03443","1.93","2.71","1.78231","-106.55301","-93.24601","2708.21"
