Ticker,Name,Website,DNBExchange,DNBTicker,NaicsSector,NaicsIndustry,KeyPrincipal
ARRY,"Array Technologies, Inc.",www.arraytechinc.com,,,Computer and Electronic Product Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",
ARW,"Arrow Electronics, Inc.",www.arrow.com,NYSE,ARW,Wholesale Trade,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,
ARWR,"Arrowhead Pharmaceuticals, Inc.",www.arrowheadpharma.com,NASDAQ,ARWR,"Professional, Scientific, and Technical Services",Scientific Research and Development Services,
ASAI,Sendas Distribuidora S/A,www.assai.com.br,,,Retail Trade,Grocery and Convenience Retailers,
ASAN,"Asana, Inc.",www.asana.com,NYSE,ASAN,Information,Software Publishers,
ASB,Associated Banc-Corp,www.associatedbank.com,NYSE,ASB,Finance and Insurance,Depository Credit Intermediation,
ASGN,Asgn Incorporated,www.asgn.com,NYSE,ASGN,Information,Software Publishers,
ASH,Ashland Inc.,www.ashland.com,NYSE,ASH,Wholesale Trade,Chemical and Allied Products Merchant Wholesalers,
ASML,ASML Netherlands B.V.,www.asml.com,,,Machinery Manufacturing,Industrial Machinery Manufacturing,
ASND,Ascendis Pharma A/S,www.ascendispharma.com,,,"Professional, Scientific, and Technical Services",Scientific Research and Development Services,
ASO,"Academy Sports and Outdoors, Inc.",www.academy.com,NASDAQ,ASO,Retail Trade,"Sporting Goods, Hobby, and Musical Instrument Retailers",
ASX,"ASE Technology Holding Co., Ltd.",www.aseglobal.com,Taiwan,3711,Finance and Insurance,Other Investment Pools and Funds,
ATEC,"Alphatec Holdings, Inc.",www.atecspine.com,NASDAQ,ATEC,Miscellaneous Manufacturing,Medical Equipment and Supplies Manufacturing,
ATHM,AUTOHOME INC.,ir.autohome.com.cn,,,Administrative and Support and Waste Management and Remediation Services,Business Support Services,
ATI,ATI Inc.,www.atimaterials.com,NYSE,ATI,Machinery Manufacturing,Metalworking Machinery Manufacturing,
ATKR,Atkore Inc.,www.atkore.com,NYSE,ATKR,"Electrical Equipment, Appliance, and Component Manufacturing",Other Electrical Equipment and Component Manufacturing,
ATMU,Atmus Filtration Technologies Inc.,,,,Transportation Equipment Manufacturing,Motor Vehicle Parts Manufacturing,
ATO,Atmos Energy Corporation,www.atmosenergy.com,NYSE,ATO,Construction,Other Heavy and Civil Engineering Construction,
ATR,"Aptargroup, Inc.",www.aptar.com,NYSE,ATR,Fabricated Metal Product Manufacturing,Other Fabricated Metal Product Manufacturing,
ATRC,"Atricure, Inc.",www.atricure.com,NASDAQ,ATRC,Miscellaneous Manufacturing,Medical Equipment and Supplies Manufacturing,
ATS,ATS Corporation,www.atsautomation.com,Toronto,ATS,Computer and Electronic Product Manufacturing,Semiconductor and Other Electronic Component Manufacturing,
ATVI,"Activision Blizzard, Inc.",www.activisionblizzard.com,NASDAQ,ATVI,Information,Software Publishers,
AU,ANGLOGOLD ASHANTI LIMITED,www.anglogoldashanti.com,,,"Mining, Quarrying, and Oil and Gas Extraction",Metal Ore Mining,
AUB,Atlantic Union Bankshares Corporation,www.ubsh.com,NYSE,AUB,Finance and Insurance,Depository Credit Intermediation,
AVA,Avista Corporation,investor.avistacorp.com,NYSE,AVA,Fabricated Metal Product Manufacturing,"Boiler, Tank, and Shipping Container Manufacturing",
AVAL,GRUPO AVAL ACCIONES Y VALORES S A,WWW.GRUPOAVAL.COM,Colombia,GRUPOAVAL,Retail Trade,Other Miscellaneous Retailers,
AVAV,"Aerovironment, Inc.",www.avinc.com,NASDAQ,AVAV,Transportation Equipment Manufacturing,Aerospace Product and Parts Manufacturing,
AVB,"Avalonbay Communities, Inc.",www.avaloncommunities.com,NYSE,AVB,Real Estate and Rental and Leasing,Lessors of Real Estate,
AVDX,"Avidxchange Holdings, Inc.",www.avidxchange.com,NASDAQ,AVDX,Information,Software Publishers,
AVGO,Broadcom Inc.,www.broadcom.com,NASDAQ,AVGO,Computer and Electronic Product Manufacturing,Semiconductor and Other Electronic Component Manufacturing,
AVNT,Avient Colorants Switzerland AG,www.avient.com,,,Finance and Insurance,Nondepository Credit Intermediation,
AVT,"Avnet, Inc.",www.avnet.com,NASDAQ,AVT,"Professional, Scientific, and Technical Services",Computer Systems Design and Related Services,
AVTR,"Avantor, Inc.",www.avantorsciences.com,NYSE,AVTR,Computer and Electronic Product Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",
AVY,Avery Dennison Corporation,www.averydennison.com,NYSE,AVY,Fabricated Metal Product Manufacturing,Other Fabricated Metal Product Manufacturing,
AWI,"Armstrong World Industries, Inc.",www.armstrong.com,NYSE,AWI,Nonmetallic Mineral Product Manufacturing,Other Nonmetallic Mineral Product Manufacturing,
AWK,"American Water Works Company, Inc.",www.amwater.com,NYSE,AWK,Construction,Utility System Construction,
AWR,American States Water Company,americanstateswatercompany.gcs-web.com,NYSE,AWR,Utilities,"Electric Power Generation, Transmission and Distribution",
AX,"Axos Financial, Inc.",investors.axosfinancial.com,NYSE,AX,"Professional, Scientific, and Technical Services","Management, Scientific, and Technical Consulting Services",
AXNX,"Axonics, Inc.",www.axonics.com,NASDAQ,AXNX,"Professional, Scientific, and Technical Services",Scientific Research and Development Services,
AXON,"Axon Enterprise, Inc.",www.axon.com,NASDAQ,AXON,Fabricated Metal Product Manufacturing,Other Fabricated Metal Product Manufacturing,
AXP,American Express Company,www.americanexpress.com,NYSE,AXP,Finance and Insurance,Insurance Carriers,
AXSM,"Axsome Therapeutics, Inc.",www.axsome.com,NASDAQ,AXSM,"Professional, Scientific, and Technical Services",Scientific Research and Development Services,
AXTA,Axalta Coating Systems Ltd.,www.axalta.com,NYSE,AXTA,Chemical Manufacturing,"Paint, Coating, and Adhesive Manufacturing",
AY,ATLANTICA SUSTAINABLE INFRASTRUCTURE PLC,www.atlantica.com,NASDAQ,AY,Utilities,"Electric Power Generation, Transmission and Distribution",
AYI,"Acuity Brands, Inc.",www.acuitybrands.com,NYSE,AYI,"Electrical Equipment, Appliance, and Component Manufacturing",Electric Lighting Equipment Manufacturing,
AYX,"Alteryx, Inc.",www.alteryx.com,NYSE,AYX,Information,Software Publishers,
AZEK,Cpg International LLC,www.azekco.com,NYSE,AZEK,Finance and Insurance,Other Investment Pools and Funds,
AZN,ASTRAZENECA PLC,www.astrazeneca.com,London SETS,AZN,"Professional, Scientific, and Technical Services",Scientific Research and Development Services,
AZO,"Autozone, Inc.",www.autozone.com,NYSE,AZO,Retail Trade,Electronics and Appliance Retailers,
AZPN,Aspen Technology Services Corporation,www.aspentech.com,,,"Professional, Scientific, and Technical Services",Computer Systems Design and Related Services,
AZTA,"Azenta, Inc.",www.brooks.com,NASDAQ,AZTA,Other Services (except Public Administration),Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,
AZUL,Azul Linhas Aereas Brasileiras S/A,www.voeazul.com.br,,,Transportation and Warehousing,Scheduled Air Transportation,
B,Barnes Group Inc.,www.onebarnes.com,NYSE,B,Fabricated Metal Product Manufacturing,Forging and Stamping,
BA,The Boeing Company,www.boeing.com,NYSE,BA,Computer and Electronic Product Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",
BABA,Alibaba Group Holding Limited,www.alibabagroup.com,,,Other Services (except Public Administration),Other Personal Services,
BAC,"BANK OF AMERICA, NATIONAL ASSOCIATION",www.bankofamerica.com,,,Finance and Insurance,Depository Credit Intermediation,
BAH,Booz Allen Hamilton Holding Corporation,www.boozallen.com,NYSE,BAH,"Professional, Scientific, and Technical Services","Management, Scientific, and Technical Consulting Services",
BAK,Braskem S/A,www.braskem.com.br,San Paulo,BRKM3,Chemical Manufacturing,Basic Chemical Manufacturing,
BALL,Ball Corporation,www.ball.com,NYSE,BALL,Computer and Electronic Product Manufacturing,Semiconductor and Other Electronic Component Manufacturing,
BAM,Brookfield Asset Management LLC,www.brookfield.com,,,Finance and Insurance,Securities and Commodity Contracts Intermediation and Brokerage,
BANF,Bancfirst Corporation,www.bancfirst.bank,NASDAQ,BANF,Finance and Insurance,Depository Credit Intermediation,
BAX,Baxter International Inc.,www.baxter.com,NYSE,BAX,Chemical Manufacturing,Pharmaceutical and Medicine Manufacturing,
BB,BlackBerry Limited,www.blackberry.com,Toronto,BB,Wholesale Trade,Household Appliances and Electrical and Electronic Goods Merchant Wholesalers,
BBD,BANCO BRADESCO S/A,www.bradesco.com.br,San Paulo,BBDC3,Finance and Insurance,Depository Credit Intermediation,
BBIO,"Bridgebio Pharma, Inc.",www.bridgebio.com,NASDAQ,BBIO,"Professional, Scientific, and Technical Services",Scientific Research and Development Services,
BBWI,"Bath &amp; Body Works, Inc.",www.lb.com,NYSE,BBWI,Retail Trade,Clothing and Clothing Accessories Retailers,
BBY,"Best Buy Co., Inc.",www.bestbuy.com,NYSE,BBY,Furniture and Related Product Manufacturing,Household and Institutional Furniture and Kitchen Cabinet Manufacturing,
BC,Brunswick Corporation,www.brunswick.com,NYSE,BC,Miscellaneous Manufacturing,Other Miscellaneous Manufacturing,
BCC,Boise Cascade Company,www.boisecascade.com,NYSE,BCC,Wholesale Trade,Lumber and Other Construction Materials Merchant Wholesalers,
BCE,BCE Inc,www.bce.ca,Toronto,BCE,Retail Trade,Other Miscellaneous Retailers,
BCH,Banco de Chile,www.bancochile.cl,Santiago,CHILE,Finance and Insurance,Depository Credit Intermediation,
BCO,The Brink's Company,us.brinks.com,NYSE,BCO,Administrative and Support and Waste Management and Remediation Services,Investigation and Security Services,
BCPC,Balchem Corporation,www.balchem.com,NASDAQ,BCPC,Chemical Manufacturing,Basic Chemical Manufacturing,
