Ticker,Name,Website,DNBExchange,DNBTicker,NaicsSector,NaicsIndustry,KeyPrincipal
CPRT,"Copart, Inc.",www.copart.com,NASDAQ,CPRT,Wholesale Trade,Motor Vehicle and Motor Vehicle Parts and Supplies Merchant Wholesalers,
CPT,Joshua L Lebar,www.camdenliving.com,NYSE,CPT,Construction,Residential Building Construction,
CQP,"Cheniere Energy Partners, L.P.",,NYSE MKT,CQP,Transportation and Warehousing,Pipeline Transportation of Natural Gas,
CR,Crane Company,,,,"Professional, Scientific, and Technical Services",Computer Systems Design and Related Services,
CRBG,"Corebridge Financial, Inc.",,NYSE,CRBG,Finance and Insurance,"Agencies, Brokerages, and Other Insurance Related Activities",
CRC,California Resources Corporation,www.crc.com,NYSE,CRC,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,
CRCT,"Cricut, Inc.",www.cricut.com,NASDAQ,CRCT,Machinery Manufacturing,Metalworking Machinery Manufacturing,
CRDO,Credo Technology Group Ltd,www.credosemi.com,,,Computer and Electronic Product Manufacturing,Semiconductor and Other Electronic Component Manufacturing,
CRGY,Crescent Energy Company,www.crescentenergyco.com,NYSE,CRGY,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,
CRH,CRH PUBLIC LIMITED COMPANY,www.crh.com,London SETS,CRH,Wholesale Trade,Lumber and Other Construction Materials Merchant Wholesalers,
CRI,"Carter's, Inc.",www.carters.com,NYSE,CRI,Apparel Manufacturing,Cut and Sew Apparel Manufacturing,
CRK,"Comstock Resources, Inc.",www.comstockresources.com,NYSE,CRK,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,
CRL,"Charles River Laboratories International, Inc.",www.criver.com,NYSE,CRL,"Professional, Scientific, and Technical Services","Architectural, Engineering, and Related Services",
CRM,"Salesforce, Inc.",www.salesforce.com,NYSE,CRM,"Professional, Scientific, and Technical Services",Computer Systems Design and Related Services,
CROX,"Crocs, Inc.",www.crocs.com,NASDAQ,CROX,Leather and Allied Product Manufacturing,Footwear Manufacturing,
CRS,Carpenter Technology Corporation,www.carpentertechnology.com,NYSE,CRS,Fabricated Metal Product Manufacturing,Spring and Wire Product Manufacturing,
CRSP,CRISPR Therapeutics AG,www.crisprtx.com,NASDAQ,CRSP,Miscellaneous Manufacturing,Medical Equipment and Supplies Manufacturing,
CRUS,"Cirrus Logic, Inc.",www.cirrus.com,NASDAQ,CRUS,Computer and Electronic Product Manufacturing,Semiconductor and Other Electronic Component Manufacturing,
CRVL,Corvel Corporation,www.corvel.com,NASDAQ,CRVL,Health Care and Social Assistance,Outpatient Care Centers,
CRWD,"Crowdstrike Holdings, Inc.",ir.crowdstrike.com,NASDAQ,CRWD,"Professional, Scientific, and Technical Services",Computer Systems Design and Related Services,
CSCO,"Cisco Systems, Inc.",www.cisco.com,NASDAQ,CSCO,"Professional, Scientific, and Technical Services",Computer Systems Design and Related Services,
CSGP,"Costar Group, Inc.",www.costar.com,NASDAQ,CSGP,Information,"Web Search Portals, Libraries, Archives, and Other Information Services",
CSIQ,Canadian Solar Inc,www.canadiansolar.com,NASDAQ,CSIQ,Computer and Electronic Product Manufacturing,Semiconductor and Other Electronic Component Manufacturing,
CSL,Carlisle Companies Incorporated,www.carlisle.com,NYSE,CSL,Transportation Equipment Manufacturing,Other Transportation Equipment Manufacturing,
CSTM,CONSTELLIUM NEUF BRISACH,www.constellium.com,,,Primary Metal Manufacturing,Alumina and Aluminum Production and Processing,
CSWI,"Csw Industrials, Inc.",www.cswindustrials.com,NASDAQ,CSWI,Machinery Manufacturing,Other General Purpose Machinery Manufacturing,
CSX,CSX Corporation,www.csx.com,NASDAQ,CSX,Transportation and Warehousing,Rail Transportation,
CTAS,Cintas Corporation,www.cintas.com,NASDAQ,CTAS,Wholesale Trade,"Machinery, Equipment, and Supplies Merchant Wholesalers",
CTLT,"Catalent, Inc.",www.catalent.com,NYSE,CTLT,Chemical Manufacturing,Pharmaceutical and Medicine Manufacturing,
CTRA,Coterra Energy Inc.,www.coterra.com,NYSE,CTRA,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,
CTRE,"Caretrust Reit, Inc.",www.caretrustreit.com,NYSE,CTRE,Real Estate and Rental and Leasing,Lessors of Real Estate,
CTSH,Cognizant Technology Solutions Corporation,www.cognizant.com,NASDAQ,CTSH,Information,Software Publishers,
CTVA,"Corteva, Inc.",www.corteva.com,NYSE,CTVA,Administrative and Support and Waste Management and Remediation Services,Services to Buildings and Dwellings,
CUBE,Cubesmart,www.cubesmart.com,NYSE,CUBE,Real Estate and Rental and Leasing,Lessors of Real Estate,
CUK,Carnival Corporation,www.carnivalcorp.com,NYSE,CCL,Accommodation and Food Services,Traveler Accommodation,
CUZ,Cousins Properties Incorporated,www.cousins.com,NYSE,CUZ,Real Estate and Rental and Leasing,Lessors of Real Estate,
CVBF,Cvb Financial Corp.,www.cbbank.com,NASDAQ,CVBF,Finance and Insurance,Depository Credit Intermediation,
CVCO,"Cavco Industries, Inc.",www.cavcoindustries.com,NASDAQ,CVCO,Finance and Insurance,"Agencies, Brokerages, and Other Insurance Related Activities",
CVE,Cenovus Energy Inc,www.cenovus.com,Toronto,CVE,Wholesale Trade,Petroleum and Petroleum Products Merchant Wholesalers,
CVI,"Cvr Energy, Inc.",www.cvrenergy.com,NYSE,CVI,Chemical Manufacturing,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",
CVLT,"Commvault Systems, Inc.",www.commvault.com,NASDAQ,CVLT,"Professional, Scientific, and Technical Services",Computer Systems Design and Related Services,
CVNA,Carvana Co.,,NYSE,CVNA,Retail Trade,Automobile Dealers,
CVS,CVS Health Corporation,www.cvshealth.com,NYSE,CVS,Health Care and Social Assistance,Other Ambulatory Health Care Services,
CVX,Chevron Corporation,www.chevron.com,NYSE,CVX,Retail Trade,Gasoline Stations,
CW,Curtiss-Wright Corporation,www.curtisswright.com,NYSE,CW,Computer and Electronic Product Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",
CWAN,"Clearwater Analytics Holdings, Inc.",www.clearwateranalytics.com,NYSE,CWAN,Information,Software Publishers,
CWEN,"Clearway Energy, Inc.",investor.clearwayenergy.com,NYSE,CWEN.A,Utilities,"Electric Power Generation, Transmission and Distribution",
CWENA,"Clearway Energy, Inc.",investor.clearwayenergy.com,NYSE,CWEN.A,Utilities,"Electric Power Generation, Transmission and Distribution",
CWH,"Camping World Holdings, Inc.",investor.campingworld.com,NYSE,CWH,Retail Trade,"Sporting Goods, Hobby, and Musical Instrument Retailers",
CWK,Cushman &amp; Wakefield Chile Negocios Inmobiliarios Limitada,www.cushwakechile.com,,,Real Estate and Rental and Leasing,Offices of Real Estate Agents and Brokers,
CWST,"Casella Waste Systems, Inc.",www.casella.com,NASDAQ,CWST,Administrative and Support and Waste Management and Remediation Services,Remediation and Other Waste Management Services,
CWT,California Water Service Group,www.calwatergroup.com,NYSE,CWT,Utilities,"Water, Sewage and Other Systems",
CX,"Cemex, Inc.",www.cemex.com,,,Wholesale Trade,Lumber and Other Construction Materials Merchant Wholesalers,
CXM,"Sprinklr, Inc.",www.sprinklr.com,NYSE,CXM,Information,Software Publishers,
CXT,"Crane Nxt, Co.",www.craneco.com,,,Wholesale Trade,Lumber and Other Construction Materials Merchant Wholesalers,
CYBR,Cyberark Software Inc.,www.cyberark.com,,,Information,Software Publishers,
CYTK,"Cytokinetics, Incorporated",www.cytokinetics.com,NASDAQ,CYTK,"Professional, Scientific, and Technical Services",Scientific Research and Development Services,
CZR,"Caesars Entertainment, Inc.",www.caesars.com,NASDAQ,CZR,Accommodation and Food Services,Traveler Accommodation,
D,"Dominion Energy, Inc.",www.dominionenergy.com,NYSE,D,Utilities,Natural Gas Distribution,
DAL,"Delta Air Lines, Inc.",www.delta.com,NYSE,DAL,Transportation and Warehousing,Scheduled Air Transportation,
DAN,Dana Incorporated,www.dana.com,NYSE,DAN,Transportation Equipment Manufacturing,Motor Vehicle Parts Manufacturing,
DAR,Darling Ingredients Inc.,www.darlingii.com,NYSE,DAR,Food Manufacturing,Animal Slaughtering and Processing,
DASH,Doordash,www.doordash.com,,,"Professional, Scientific, and Technical Services",Computer Systems Design and Related Services,
DAVA,ENDAVA PLC,www.endava.com,,,"Professional, Scientific, and Technical Services",Computer Systems Design and Related Services,
DB,DEUTSCHE BANK AKTIENGESELLSCHAFT,www.australia.db.com/australia/,,,Administrative and Support and Waste Management and Remediation Services,Business Support Services,
DBRG,"Digitalbridge Group, Inc.",www.hilton.com,NYSE,DBRG,Real Estate and Rental and Leasing,Lessors of Real Estate,
DBX,"Dropbox, Inc.",www.dropbox.com,NASDAQ,DBX,Information,Software Publishers,
DCI,"Donaldson Company, Inc.",www.donaldson.com,NYSE,DCI,Computer and Electronic Product Manufacturing,Semiconductor and Other Electronic Component Manufacturing,
DD,"Dupont De Nemours, Inc.",www.dupont.com,NYSE,DD,Computer and Electronic Product Manufacturing,Semiconductor and Other Electronic Component Manufacturing,
DDOG,"Datadog, Inc.",www.datadoghq.com,NASDAQ,DDOG,Information,Software Publishers,
DDS,"Dillard's, Inc.",www.dillards.com,NYSE,DDS,Retail Trade,Furniture and Home Furnishings Retailers,
DE,Deere &amp; Company,www.deere.com,NYSE,DE,Finance and Insurance,Nondepository Credit Intermediation,
DECK,Deckers Outdoor Corporation,www.deckers.com,NYSE,DECK,Leather and Allied Product Manufacturing,Footwear Manufacturing,
DEI,"Douglas Emmett, Inc.",www.douglasemmett.com,NYSE,DEI,Real Estate and Rental and Leasing,Lessors of Real Estate,
DELL,Dell Technologies Inc.,www.delltechnologies.com,NYSE,DELL,Information,Software Publishers,
DEN,Denbury Inc.,www.denbury.com,NYSE,DEN,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,
DEO,DIAGEO PLC,www.diageo.com,London SETS,DGE,Wholesale Trade,"Beer, Wine, and Distilled Alcoholic Beverage Merchant Wholesalers",
DFH,"Dream Finders Homes, Inc.",www.dreamfindershomes.com,NYSE,DFH,Construction,Residential Building Construction,
DFS,Discover Financial Services,www.discoverdriverspremier.com,NYSE,DFS,Finance and Insurance,Nondepository Credit Intermediation,
DG,Dollar General Corporation,www.dollargeneral.com,NYSE,DG,Retail Trade,"Warehouse Clubs, Supercenters, and Other General Merchandise Retailers",
DGX,Quest Diagnostics Incorporated,www.questdiagnostics.com,NYSE,DGX,Chemical Manufacturing,Pharmaceutical and Medicine Manufacturing,
DHI,"D.R. Horton, Inc.",www.drhorton.com,NYSE,DHI,Finance and Insurance,Nondepository Credit Intermediation,
DHR,Danaher Corporation,www.danaher.com,NYSE,DHR,Miscellaneous Manufacturing,Medical Equipment and Supplies Manufacturing,
DICE,"Dice Therapeutics, Inc.",www.dicetherapeutics.com,NASDAQ,DICE,"Professional, Scientific, and Technical Services",Scientific Research and Development Services,
DINO,HF Sinclair Corporation,www.hfsinclair.com,NYSE,DINO,Petroleum and Coal Products Manufacturing,Petroleum and Coal Products Manufacturing,
DIOD,Diodes Incorporated,www.diodes.com,NASDAQ,DIOD,Computer and Electronic Product Manufacturing,Semiconductor and Other Electronic Component Manufacturing,
DIS,The Walt Disney Company,www.thewaltdisneycompany.com,NYSE,DIS,Information,"Media Streaming Distribution Services, Social Networks, and Other Media Networks and Content Providers",
DISH,Dish Network Corporation,www.dish.com,NASDAQ,DISH,Information,Wired and Wireless Telecommunications (except Satellite),
DKL,"Delek Logistics Partners, LP",www.deleklogistics.com,NYSE,DKL,Transportation and Warehousing,Other Pipeline Transportation,
DKNG,Draftkings Inc.,www.drivebydraftkings.com,NASDAQ,DKNG,"Arts, Entertainment, and Recreation",Amusement Parks and Arcades,
DKS,"Dick's Sporting Goods, Inc.",www.dickssportinggoods.com,NYSE,DKS,Retail Trade,Clothing and Clothing Accessories Retailers,
DLB,"Dolby Laboratories, Inc.",www.dolby.com,NYSE,DLB,Real Estate and Rental and Leasing,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),
DLO,DLOCAL LIMITED,www.dlocal.com,,,Administrative and Support and Waste Management and Remediation Services,Business Support Services,
DLR,"Digital Realty Trust, L.P.",www.digitalrealty.com,,,Real Estate and Rental and Leasing,Lessors of Real Estate,
DLTR,"Dollar Tree, Inc.",locations.dollartree.com,NASDAQ,DLTR,Retail Trade,"Warehouse Clubs, Supercenters, and Other General Merchandise Retailers",
DNA,"Ginkgo Bioworks Holdings, Inc.",www.ginkgobioworks.com,NYSE,DNA,Chemical Manufacturing,Pharmaceutical and Medicine Manufacturing,
DNB,"Dun &amp; Bradstreet Holdings, Inc.",www.dnb.com,NYSE,DNB,Administrative and Support and Waste Management and Remediation Services,Business Support Services,
DNLI,Denali Therapeutics Inc.,www.denalitherapeutics.com,NASDAQ,DNLI,Chemical Manufacturing,Pharmaceutical and Medicine Manufacturing,
DNUT,"Krispy Kreme, Inc.",www.krispykreme.com,NASDAQ,DNUT,Retail Trade,Specialty Food Retailers,
DOC,Physicians Realty Trust,www.docreit.com,NYSE,DOC,Real Estate and Rental and Leasing,Lessors of Real Estate,
DOCN,"Digitalocean Holdings, Inc.",www.digitalocean.com,NYSE,DOCN,Information,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",
DOCS,"Doximity, Inc.",www.doximity.com,NYSE,DOCS,"Professional, Scientific, and Technical Services",Computer Systems Design and Related Services,
DOCU,"Docusign, Inc.",www.docusign.com,NASDAQ,DOCU,Information,Software Publishers,
DOOO,BRP Inc,www.brp.com,Toronto,DOO,Machinery Manufacturing,"Engine, Turbine, and Power Transmission Equipment Manufacturing",
DOOR,Masonite International Corporation,www.masonite.com,NYSE,DOOR,Fabricated Metal Product Manufacturing,Architectural and Structural Metals Manufacturing,
DORM,"Dorman Products, Inc.",www.dormanproducts.com,NASDAQ,DORM,Miscellaneous Manufacturing,Other Miscellaneous Manufacturing,
DOV,Dover Corporation,www.dovercorporation.com,NYSE,DOV,Computer and Electronic Product Manufacturing,Semiconductor and Other Electronic Component Manufacturing,
DOW,The Dow Chemical Company,www.dow.com,,,Chemical Manufacturing,"Pesticide, Fertilizer, and Other Agricultural Chemical Manufacturing",
DOX,Amdocs Limited,www.amdocs.com,NASDAQ,DOX,"Professional, Scientific, and Technical Services",Computer Systems Design and Related Services,
DPZ,"Domino's Pizza, Inc.",www.dominos.com,NYSE,DPZ,Real Estate and Rental and Leasing,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),
DQ,"Chongqing Daqo New Energy Co., Ltd.",www.dqsolar.com,,,Computer and Electronic Product Manufacturing,Semiconductor and Other Electronic Component Manufacturing,
DRI,"Darden Restaurants, Inc.",www.darden.com,NYSE,DRI,Real Estate and Rental and Leasing,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),
DRS,"Leonardo Drs, Inc.",www.leonardodrs.com,NASDAQ,DRS,Computer and Electronic Product Manufacturing,Communications Equipment Manufacturing,
DRVN,Driven Brands Holdings Inc.,www.carstar.com,NASDAQ,DRVN,Other Services (except Public Administration),Automotive Repair and Maintenance,
DSGX,The Descartes Systems Group Inc,www.descartes.com,Toronto,DSG,Computer and Electronic Product Manufacturing,Communications Equipment Manufacturing,
DT,"Dynatrace, Inc.",www.dynatrace.com,NYSE,DT,Information,Software Publishers,
DTE,"DTE Energy Resources, Inc.",newlook.dteenergy.com,,,Utilities,"Electric Power Generation, Transmission and Distribution",
DTM,"Dt Midstream, Inc.",www.dtmidstream.com,NYSE,DTM,Transportation and Warehousing,Pipeline Transportation of Natural Gas,
DUK,Duke Energy Corporation,datacache.duke-energy.com,NYSE,DUK,Utilities,Natural Gas Distribution,
DUOL,"Duolingo, Inc.",www.duolingo.com,NASDAQ,DUOL,Educational Services,Other Schools and Instruction,
DV,Doubleverify Inc.,www.doubleverify.com,,,Information,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",
DVA,Davita Inc.,www.davita.com,NYSE,DVA,Health Care and Social Assistance,Outpatient Care Centers,
DVN,Devon Energy Corporation,www.devonenergy.com,NYSE,DVN,"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,
DXC,Dxc Technology Company,www.dxc.com,NYSE,DXC,"Professional, Scientific, and Technical Services",Computer Systems Design and Related Services,
DXCM,"Dexcom, Inc.",www.dexcom.com,NASDAQ,DXCM,Miscellaneous Manufacturing,Medical Equipment and Supplies Manufacturing,
DY,"Dycom Industries, Inc.",www.dycomind.com,NYSE,DY,Construction,Building Equipment Contractors,
E,ENI SPA,www.eni.com,Italian,ENI,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,
EA,Electronic Arts Inc.,www.ea.com,NASDAQ,EA,Information,Software Publishers,
EBAY,Ebay Inc.,www.ebayinc.com,NASDAQ,EBAY,Retail Trade,Other Miscellaneous Retailers,
EBC,"Eastern Bankshares, Inc.",www.nationwide.com,NASDAQ,EBC,"Professional, Scientific, and Technical Services","Management, Scientific, and Technical Consulting Services",
EBR,CENTRAIS ELETRICAS BRASILEIRAS S.A. -ELETROBRAS SUCURSAL URUGU,,,,Utilities,"Electric Power Generation, Transmission and Distribution",
EC,ECOPETROL S A,WWW.ECOPETROL.COM.CO,Colombia,ECOPETROL,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,
ECL,Ecolab Inc.,www.ecolab.com,NYSE,ECL,Administrative and Support and Waste Management and Remediation Services,Services to Buildings and Dwellings,
ED,"Consolidated Edison, Inc.",www.coned.com,NYSE,ED,Utilities,"Electric Power Generation, Transmission and Distribution",
EDR,"Endeavor Group Holdings, Inc.",,NYSE,EDR,"Arts, Entertainment, and Recreation","Promoters of Performing Arts, Sports, and Similar Events",
EDU,NEW ORIENTAL EDUCATION &amp; TECHNOLOGY GROUP INC.,investor.neworiental.org,,,Educational Services,Other Schools and Instruction,
EE,"Excelerate Energy Holdings, LLC",www.excelerateenergy.com,,,Utilities,Natural Gas Distribution,
EEFT,"Euronet Worldwide, Inc.",www.euronetworldwide.com,NASDAQ,EEFT,Real Estate and Rental and Leasing,Lessors of Nonfinancial Intangible Assets (except Copyrighted Works),
EFX,Equifax Inc.,www.equifax.com,NYSE,EFX,Administrative and Support and Waste Management and Remediation Services,Office Administrative Services,
EG,"Everest Re Group, Ltd.",www.everestre.com,NYSE,RE,Finance and Insurance,Insurance Carriers,
EGP,"Eastgroup Properties, Inc.",www.eastgroup.net,NYSE,EGP,Real Estate and Rental and Leasing,Lessors of Real Estate,
EHC,Encompass Health Corporation,www.encompasshealth.com,NYSE,EHC,Health Care and Social Assistance,Nursing Care Facilities (Skilled Nursing Facilities),
EIX,Edison International,www.edison.com,NYSE,EIX,Utilities,"Electric Power Generation, Transmission and Distribution",
EL,The Estee Lauder Companies Inc,www.elcompanies.com,NYSE,EL,Chemical Manufacturing,"Soap, Cleaning Compound, and Toilet Preparation Manufacturing",
ELAN,Elanco Animal Health Incorporated,www.elanco.us,NYSE,ELAN,Wholesale Trade,Drugs and Druggists' Sundries Merchant Wholesalers,
ELF,"E.L.F. Beauty, Inc.",www.elfcosmetics.com,NYSE,ELF,Retail Trade,Health and Personal Care Retailers,
ELS,"Equity Lifestyle Properties, Inc.",www.equitylifestyleproperties.com,NYSE,ELS,Real Estate and Rental and Leasing,Offices of Real Estate Agents and Brokers,
ELV,"Elevance Health, Inc.",www.elevancehealth.com,NYSE,ELV,Finance and Insurance,Insurance Carriers,
EME,"Emcor Group, Inc.",www.emcorgroup.com,NYSE,EME,Administrative and Support and Waste Management and Remediation Services,Services to Buildings and Dwellings,
EMN,Eastman Chemical Company,www.eastman.com,NYSE,EMN,Chemical Manufacturing,"Resin, Synthetic Rubber, and Artificial and Synthetic Fibers and Filaments Manufacturing",
EMR,Emerson Electric Co.,www.emerson.com,NYSE,EMR,Computer and Electronic Product Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",
ENB,Enbridge Inc,www.enbridge.com,Toronto,ENB,Transportation and Warehousing,Pipeline Transportation of Crude Oil,
ENIC,Enel Chile S.A.,www.enel.cl,Santiago,ENELCHILE,Utilities,"Electric Power Generation, Transmission and Distribution",
ENLC,"Enlink Midstream, LLC",www.enlink.com,NYSE,ENLC,Transportation and Warehousing,Pipeline Transportation of Natural Gas,
ENLT,ENLIGHT RENEWABLE ENERGY LTD,www.enlightenergy.co.il,,,Administrative and Support and Waste Management and Remediation Services,Business Support Services,
ENOV,Enovis Corporation,www.enovis.com,NYSE,ENOV,Wholesale Trade,Professional and Commercial Equipment and Supplies Merchant Wholesalers,
ENPH,"Enphase Energy, Inc.",www.enphase.com,NASDAQ,ENPH,Computer and Electronic Product Manufacturing,Semiconductor and Other Electronic Component Manufacturing,
ENR,"Energizer Holdings, Inc.",www.energizerholdings.com,NYSE,ENR,"Electrical Equipment, Appliance, and Component Manufacturing",Electric Lighting Equipment Manufacturing,
ENS,Enersys,www.enersys.com,NYSE,ENS,"Electrical Equipment, Appliance, and Component Manufacturing",Other Electrical Equipment and Component Manufacturing,
ENSG,The Ensign Group Inc,www.ensigngroup.net,NASDAQ,ENSG,Health Care and Social Assistance,Nursing Care Facilities (Skilled Nursing Facilities),
ENTG,"Entegris, Inc.",www.entegris.com,NASDAQ,ENTG,Computer and Electronic Product Manufacturing,Semiconductor and Other Electronic Component Manufacturing,
ENV,"Envestnet, Inc.",www.envestnet.com,NYSE,ENV,Information,Software Publishers,
ENVX,Enovix Corporation,www.enovix.com,,,"Electrical Equipment, Appliance, and Component Manufacturing",Other Electrical Equipment and Component Manufacturing,
EOG,"Eog Resources, Inc.",www.eogresources.com,NYSE,EOG,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,
EPAM,"Epam Systems, Inc.",www.epam.com,NYSE,EPAM,"Professional, Scientific, and Technical Services","Management, Scientific, and Technical Consulting Services",
EPC,Edgewell Personal Care Company,www.edgewell.com,NYSE,EPC,Plastics and Rubber Products Manufacturing,Rubber Product Manufacturing,
EPD,Enterprise Products Partners L.P.,www.enterpriseproducts.com,NYSE,EPD,Utilities,Natural Gas Distribution,
EPR,Epr Properties,www.eprkc.com,NYSE,EPR,Real Estate and Rental and Leasing,Lessors of Real Estate,
EPRT,"Essential Properties Realty Trust, Inc.",www.essentialproperties.com,NYSE,EPRT,Real Estate and Rental and Leasing,Lessors of Real Estate,
EQC,Equity Commonwealth,www.eqcre.com,NYSE,EQC,Real Estate and Rental and Leasing,Lessors of Real Estate,
EQH,"Equitable Holdings, Inc.",www.equitable.com,NYSE,EQH,Other Services (except Public Administration),Other Personal Services,
EQIX,"Equinix, Inc.",www.equinix.com,NASDAQ,EQIX,Information,"Computing Infrastructure Providers, Data Processing, Web Hosting, and Related Services",
EQNR,Equinor ASA,www.equinor.com,Oslo,EQNR,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,
EQR,Equity Residential,www.equityapartments.com,NYSE,EQR,Real Estate and Rental and Leasing,Lessors of Real Estate,
EQT,Eqt Corporation,www.eqt.com,NYSE,EQT,"Mining, Quarrying, and Oil and Gas Extraction",Oil and Gas Extraction,
ERF,Enerplus Corporation,www.enerplus.com,Toronto,ERF,Finance and Insurance,Other Investment Pools and Funds,
ERIC,Telefon AB LM Ericsson,www.ericsson.com,OMX Stockhom,ERIC B,Administrative and Support and Waste Management and Remediation Services,Business Support Services,
ERJ,Embraer S/A,www.embraer.com.br,San Paulo,EMBR3,Transportation Equipment Manufacturing,Aerospace Product and Parts Manufacturing,
ERO,Ero Copper Corp,www.erocopper.com,Toronto,ERO,"Mining, Quarrying, and Oil and Gas Extraction",Metal Ore Mining,
ES,Eversource Energy,www.eversource.com,NYSE,ES,Utilities,"Electric Power Generation, Transmission and Distribution",
ESAB,ESAB Corporation,,NYSE,ESAB,Machinery Manufacturing,Other General Purpose Machinery Manufacturing,
ESE,Esco Technologies Inc.,www.escotechnologies.com,NYSE,ESE,Computer and Electronic Product Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",
ESGR,Enstar Group Ltd,www.enstargroup.com,,,Finance and Insurance,Nondepository Credit Intermediation,
ESI,Element Solutions Inc,www.elementsolutionsinc.com,NYSE,ESI,Chemical Manufacturing,Basic Chemical Manufacturing,
ESLT,ELBIT SYSTEMS LTD,www.elbitsystems.com,Tel Aviv,ESLT,Computer and Electronic Product Manufacturing,"Navigational, Measuring, Electromedical, and Control Instruments Manufacturing",
ESMT,"Engagesmart, Inc.",www.engagesmart.com,NYSE,ESMT,Information,Software Publishers,
ESRT,"Empire State Realty Trust, Inc.",www.esrtreit.com,NYSE,ESRT,Real Estate and Rental and Leasing,Lessors of Real Estate,
ESS,"Essex Property Trust, Inc.",www.essexapartmenthomes.com,NYSE,ESS,Real Estate and Rental and Leasing,Lessors of Real Estate,
ESTC,PIONEER ELASTIC (HONG KONG) LIMITED,www.pioneerelastic.com,,,Wholesale Trade,"Apparel, Piece Goods, and Notions Merchant Wholesalers",
ESTE,"Earthstone Energy, Inc.",www.earthstoneenergy.com,NYSE,ESTE,"Mining, Quarrying, and Oil and Gas Extraction",Support Activities for Mining,
ET,Energy Transfer LP,www.energytransfer.com,NYSE,ET,Utilities,Natural Gas Distribution,
ETN,EATON CORPORATION PUBLIC LIMITED COMPANY,www.eaton.com,NYSE,ETN,Administrative and Support and Waste Management and Remediation Services,Business Support Services,
ETR,Entergy Corporation,www.entergy.com,NYSE,ETR,Utilities,"Electric Power Generation, Transmission and Distribution",
ETRN,Equitrans Midstream Corporation,www.equitransmidstream.com,NYSE,ETRN,Transportation and Warehousing,Pipeline Transportation of Natural Gas,
ETSY,"Etsy, Inc.",www.etsy.com,NASDAQ,ETSY,"Professional, Scientific, and Technical Services","Advertising, Public Relations, and Related Services",
EURN,Euronav,www.euronav.com,Euronext Brussels,EURN,Other Services (except Public Administration),Commercial and Industrial Machinery and Equipment (except Automotive and Electronic) Repair and Maintenance,
EVCM,Evercommerce Inc.,www.evercommerce.com,,,Information,Software Publishers,
EVEX,"Eve Holding, Inc.",,,,Transportation Equipment Manufacturing,Aerospace Product and Parts Manufacturing,
EVH,"Evolent Health, Inc.",www.evolenthealth.com,NYSE,EVH,Administrative and Support and Waste Management and Remediation Services,Office Administrative Services,
EVO,Evotec SE,www.evotec.com,XETRA,EVT,Chemical Manufacturing,Pharmaceutical and Medicine Manufacturing,
EVR,Evercore Inc.,www.evercore.com,NYSE,EVR,Finance and Insurance,Other Financial Investment Activities,
EVRG,"Evergy, Inc.",www.evergy.com,NASDAQ,EVRG,Utilities,"Electric Power Generation, Transmission and Distribution",
EVTC,"Evertec, Inc",www.evertecinc.com,NYSE,EVTC,"Professional, Scientific, and Technical Services","Accounting, Tax Preparation, Bookkeeping, and Payroll Services",
EW,Edwards Lifesciences Corp,www.edwards.com,NYSE,EW,Miscellaneous Manufacturing,Medical Equipment and Supplies Manufacturing,
EWBC,"East West Bancorp, Inc.",investor.eastwestbank.com,NASDAQ,EWBC,Finance and Insurance,Depository Credit Intermediation,
EXAS,Exact Sciences Corporation,www.exactsciences.com,NASDAQ,EXAS,"Professional, Scientific, and Technical Services",Scientific Research and Development Services,
EXC,Exelon Corporation,www.exeloncorp.com,NASDAQ,EXC,Utilities,Natural Gas Distribution,
EXEL,"Exelixis, Inc.",www.exelixis.com,NASDAQ,EXEL,Chemical Manufacturing,Pharmaceutical and Medicine Manufacturing,
EXLS,EXL SERVICE.COM(INDIA) PRIVATE LIMITED,www.exlservice.com,,,"Professional, Scientific, and Technical Services",Computer Systems Design and Related Services,
EXP,Eagle Materials Inc.,www.eaglematerials.com,NYSE,EXP,Nonmetallic Mineral Product Manufacturing,Lime and Gypsum Product Manufacturing,
EXPD,"Expeditors International of Washington, Inc.",www.expeditors.com,NASDAQ,EXPD,Transportation and Warehousing,Freight Transportation Arrangement,
