Date,UMCSI
1989-10-01,95.8
1989-11-01,93.9
1989-12-01,90.9
1990-01-01,90.5
1990-02-01,93
1990-03-01,89.5
1990-04-01,91.3
1990-05-01,93.9
1990-06-01,90.6
1990-07-01,88.3
1990-08-01,88.2
1990-09-01,76.4
1990-10-01,72.8
1990-11-01,63.9
1990-12-01,66
1991-01-01,65.5
1991-02-01,68
1991-03-01,70.3
1991-04-01,88
1991-05-01,80.9
1991-06-01,78.2
1991-07-01,79.4
1991-08-01,82.2
1991-09-01,79.6
1991-10-01,84.5
1991-11-01,78.5
1991-12-01,70.7
1992-01-01,70.4
1992-02-01,67.1
1992-03-01,68.1
1992-04-01,74.6
1992-05-01,75.7
1992-06-01,79.7
1992-07-01,80.6
1992-08-01,77.1
1992-09-01,75.3
1992-10-01,74.2
1992-11-01,73.2
1992-12-01,83.6
1993-01-01,91.4
1993-02-01,90
1993-03-01,89.8
1993-04-01,84.3
1993-05-01,84
1993-06-01,81.9
1993-07-01,82.8
1993-08-01,76.9
1993-09-01,75.4
1993-10-01,77.4
1993-11-01,83.1
1993-12-01,82
1994-01-01,87.7
1994-02-01,95.8
1994-03-01,92.9
1994-04-01,92.1
1994-05-01,94.2
1994-06-01,91.5
1994-07-01,94.5
1994-08-01,88.9
1994-09-01,92.6
1994-10-01,92.2
1994-11-01,92
1994-12-01,90.1
1995-01-01,97.7
1995-02-01,99.1
1995-03-01,97.1
1995-04-01,91.8
1995-05-01,93.8
1995-06-01,88.4
1995-07-01,92.3
1995-08-01,94.1
1995-09-01,96.5
1995-10-01,88.9
1995-11-01,90.4
1995-12-01,90.7
1996-01-01,90.5
1996-02-01,89.9
1996-03-01,86.6
1996-04-01,95.7
1996-05-01,90.8
1996-06-01,89.9
1996-07-01,93.8
1996-08-01,93
1996-09-01,94.5
1996-10-01,95
1996-11-01,94.8
1996-12-01,98.9
1997-01-01,98.9
1997-02-01,96
1997-03-01,97.4
1997-04-01,101.9
1997-05-01,101
1997-06-01,104.6
1997-07-01,103.4
1997-08-01,106.4
1997-09-01,102.8
1997-10-01,106.8
1997-11-01,105.2
1997-12-01,106.1
1998-01-01,103
1998-02-01,104
1998-03-01,110.1
1998-04-01,106.8
1998-05-01,108
1998-06-01,105.2
1998-07-01,106.6
1998-08-01,104.8
1998-09-01,104.5
1998-10-01,100.4
1998-11-01,98.9
1998-12-01,102.4
1999-01-01,100.7
1999-02-01,101
1999-03-01,107.4
1999-04-01,104.7
1999-05-01,104.8
1999-06-01,106.4
1999-07-01,109
1999-08-01,106.2
1999-09-01,104.6
1999-10-01,107.1
1999-11-01,105.3
1999-12-01,107.7
2000-01-01,104.2
2000-02-01,111.4
2000-03-01,111.2
2000-04-01,107.7
2000-05-01,110.2
2000-06-01,110.9
2000-07-01,106.8
2000-08-01,108
2000-09-01,107.8
2000-10-01,108.8
2000-11-01,106.4
2000-12-01,107.7
2001-01-01,97.4
2001-02-01,93.6
2001-03-01,87.8
2001-04-01,91.8
2001-05-01,87.8
2001-06-01,92.6
2001-07-01,91.6
2001-08-01,93.7
2001-09-01,93.5
2001-10-01,83.6
2001-11-01,83.4
2001-12-01,83.5
2002-01-01,85.8
2002-02-01,94.2
2002-03-01,90.9
2002-04-01,95
2002-05-01,94.4
2002-06-01,96
2002-07-01,90.8
2002-08-01,86.5
2002-09-01,87.9
2002-10-01,86.2
2002-11-01,80.4
2002-12-01,85
2003-01-01,87
2003-02-01,83.7
2003-03-01,79.2
2003-04-01,75
2003-05-01,83.2
2003-06-01,93.2
2003-07-01,87.2
2003-08-01,90.3
2003-09-01,90.2
2003-10-01,88.2
2003-11-01,89.4
2003-12-01,93.5
2004-01-01,89.6
2004-02-01,103.2
2004-03-01,93.1
2004-04-01,94.1
2004-05-01,93.2
2004-06-01,94.2
2004-07-01,94.2
2004-08-01,96.7
2004-09-01,94
2004-10-01,95.8
2004-11-01,87.5
2004-12-01,95.5
2005-01-01,95.7
2005-02-01,95.8
2005-03-01,94.2
2005-04-01,92.9
2005-05-01,88.7
2005-06-01,85.3
2005-07-01,94.8
2005-08-01,96.5
2005-09-01,92.7
2005-10-01,76.9
2005-11-01,75.4
2005-12-01,79.9
2006-01-01,88.7
2006-02-01,93.4
2006-03-01,87.4
2006-04-01,86.7
2006-05-01,89.2
2006-06-01,79
2006-07-01,82.4
2006-08-01,83
2006-09-01,78.7
2006-10-01,84.4
2006-11-01,92.3
2006-12-01,92.3
2007-01-01,90.2
2007-02-01,98
2007-03-01,93.3
2007-04-01,88.8
2007-05-01,85.3
2007-06-01,88.7
2007-07-01,83.7
2007-08-01,92.4
2007-09-01,83.3
2007-10-01,83.8
2007-11-01,82
2007-12-01,75
2008-01-01,69.6
2008-02-29,70.8
2008-03-14,70.5
2008-03-28,69.5
2008-04-11,63.2
2008-04-25,62.6
2008-05-16,59.8
2008-06-13,56.7
2008-06-27,56.4
2008-07-11,56.6
2008-07-25,61.2
2008-08-15,63
2008-09-12,73.1
2008-09-26,70.3
2008-10-17,57.5
2008-10-31,57.6
2008-11-14,57.9
2008-11-26,55.3
2008-12-12,59.1
2008-12-23,60.1
2009-01-16,61.2
2009-02-13,56.2
2009-02-27,56.3
2009-03-13,56.6
2009-03-27,57.3
2009-04-17,61.9
2009-05-01,65.1
2009-05-15,67.9
2009-05-29,68.7
2009-06-12,69
2009-06-26,70.8
2009-07-10,64.6
2009-07-24,66
2009-08-14,63.2
2009-08-28,65.7
2009-09-11,70.2
2009-09-25,73.5
2009-10-16,69.4
2009-10-30,70.6
2009-11-13,66
2009-11-25,67.4
2009-12-11,73.4
2009-12-23,72.5
2010-01-15,72.8
2010-01-29,74.4
2010-02-12,73.7
2010-02-26,73.6
2010-03-12,72.5
2010-03-26,73.6
2010-04-16,69.5
2010-04-30,72.2
2010-05-14,73.3
2010-05-28,73.6
2010-06-11,75.5
2010-06-25,76
2010-07-16,66.5
2010-07-30,67.8
2010-08-13,69.6
2010-08-27,68.9
2010-09-17,66.6
2010-10-01,68.2
2010-10-15,67.9
2010-10-29,67.7
2010-11-12,69.3
2010-11-24,71.6
2010-12-10,74.2
2010-12-23,74.5
2011-01-14,72.7
2011-01-28,74.2
2011-02-11,75.1
2011-02-25,77.5
2011-03-11,68.2
2011-03-25,67.5
2011-04-15,69.6
2011-04-29,69.8
2011-05-13,72.4
2011-05-27,74.3
2011-06-17,71.8
2011-07-01,71.5
2011-07-15,63.8
2011-07-29,63.7
2011-08-12,54.9
2011-08-26,55.7
2011-09-16,57.8
2011-09-30,59.4
2011-10-14,57.5
2011-10-28,60.9
2011-11-11,64.2
2011-11-23,64.1
2011-12-09,67.7
2011-12-22,69.9
2012-01-13,74
2012-01-27,75
2012-02-10,72.5
2012-02-24,75.3
2012-03-16,74.3
2012-03-30,76.2
2012-04-13,75.7
2012-04-27,76.4
2012-05-11,77.8
2012-05-25,79.3
2012-06-15,74.1
2012-06-29,73.2
2012-07-13,72
2012-07-27,72.3
2012-08-17,73.6
2012-08-31,74.3
2012-09-14,79.2
2012-09-28,78.3
2012-10-12,83.1
2012-10-26,82.6
2012-11-09,84.9
2012-11-21,82.7
2012-12-07,74.5
2012-12-21,72.9
2013-01-18,71.3
2013-02-01,73.8
2013-02-15,76.3
2013-03-01,77.6
2013-03-15,71.8
2013-03-29,78.6
2013-04-12,72.3
2013-04-26,76.4
2013-05-17,83.7
2013-05-31,84.5
2013-06-14,82.7
2013-06-28,84.1
2013-07-12,83.9
2013-07-26,85.1
2013-08-16,80
2013-08-30,82.1
2013-09-13,76.8
2013-09-27,77.5
2013-10-11,75.2
2013-10-25,73.2
2013-11-08,72
2013-11-27,75.1
2013-12-06,82.5
2013-12-23,82.5
2014-01-17,80.4
2014-01-31,81.2
2014-02-14,81.2
2014-02-28,81.6
2014-03-14,79.9
2014-03-28,80
2014-04-11,82.6
2014-04-25,84.1
2014-05-16,81.8
2014-05-30,81.9
2014-06-13,81.2
2014-06-27,82.5
2014-07-18,81.3
2014-08-01,81.8
2014-08-15,79.2
2014-08-29,82.5
2014-09-12,84.6
2014-09-26,84.6
2014-10-17,86.4
2014-10-31,86.9
2014-11-14,89.4
2014-11-26,88.8
2014-12-12,93.8
2014-12-23,93.6
2015-01-16,98.2
2015-01-30,98.1
2015-02-13,93.6
2015-02-27,95.4
2015-03-13,91.2
2015-03-27,93
2015-04-17,95.9
2015-05-01,95.9
2015-05-15,88.6
2015-05-29,90.7
2015-06-12,94.6
2015-06-26,96.1
2015-07-17,93.3
2015-07-31,93.1
2015-08-14,92.9
2015-08-28,91.9
2015-09-11,85.7
2015-09-25,87.2
2015-10-16,92.1
2015-10-30,90
2015-11-13,93.1
2015-11-25,91.3
2015-12-11,91.8
2015-12-23,92.6
2016-01-15,93.3
2016-01-29,92
2016-02-12,90.7
2016-02-26,91.7
2016-03-18,90
2016-04-01,91
2016-04-15,89.7
2016-04-29,89
2016-05-13,95.8
2016-05-27,94.7
2016-06-10,94.3
2016-06-24,93.5
2016-07-15,89.5
2016-07-29,90
2016-08-12,90.4
2016-08-26,89.8
2016-09-16,89.8
2016-09-30,91.2
2016-10-14,87.9
2016-10-28,87.2
2016-11-11,91.6
2016-11-23,93.8
2016-12-09,98
2016-12-23,98.2
2017-01-13,98.1
2017-01-27,98.5
2017-02-10,95.7
2017-02-24,95.7
2017-03-17,97.6
2017-03-31,96.9
2017-04-13,98
2017-04-28,97
2017-05-12,97.7
2017-05-26,97.1
2017-06-16,94.5
2017-06-30,95.1
2017-07-14,93.1
2017-07-28,93.4
2017-08-18,97.6
2017-09-01,96.8
2017-09-15,95.3
2017-09-29,95.1
2017-10-13,101.1
2017-10-27,100.7
2017-11-10,97.8
2017-11-22,98.5
2017-12-08,96.8
2017-12-22,95.9
2018-01-19,94.4
2018-02-02,95.7
2018-02-16,95.7
2018-03-02,99.7
2018-03-16,102
2018-03-29,101.4
2018-04-13,97.8
2018-04-27,98.8
2018-05-11,98.8
2018-05-25,98
2018-06-15,99.3
2018-06-29,98.2
2018-07-13,97.1
2018-07-27,97.9
2018-08-17,95.3
2018-08-31,96.2
2018-09-14,100.8
2018-09-28,100.1
2018-10-12,99
2018-10-26,98.6
2018-11-09,98.3
2018-11-21,97.5
2018-12-07,97.5
2018-12-21,98.3
2019-01-18,90.7
2019-02-01,91.2
2019-02-15,95.5
2019-03-01,93.8
2019-03-15,97.8
2019-03-29,98.4
2019-04-12,96.9
2019-04-26,97.2
2019-05-17,102.4
2019-05-31,100
2019-06-14,97.9
2019-06-28,98.2
2019-07-19,98.4
2019-08-02,98.4
2019-08-16,92.1
2019-08-30,89.8
2019-09-13,89.8
2019-09-27,93.2
2019-10-11,93.2
2019-10-25,95.5
2019-11-08,95.5
2019-11-22,96.8
2019-12-06,96.8
2019-12-20,99.3
2020-01-17,99.3
2020-01-31,99.8
2020-02-14,99.8
2020-02-28,101
2020-03-13,95.9
2020-03-27,89.1
2020-04-09,89.1
2020-04-24,71.8
2020-05-15,71.8
2020-05-29,72.3
2020-06-12,72.3
2020-06-26,78.1
2020-07-17,73.2
2020-07-31,72.5
2020-08-14,72.5
2020-08-28,74.1
2020-09-18,74.1
2020-10-02,80.4
2020-10-16,80.4
2020-10-30,81.8
2020-11-13,81.8
2020-11-25,76.9
2020-12-11,76.9
2020-12-23,80.7
2021-01-15,79.2
2021-01-29,79
2021-02-12,79
2021-02-26,76.8
2021-03-12,83
2021-03-26,84.9
2021-04-16,86.5
2021-04-30,88.3
2021-05-14,88.3
2021-05-28,82.9
2021-06-11,82.9
2021-06-25,85.5
2021-07-16,85.5
2021-07-30,81.2
2021-08-13,70.2
2021-08-27,70.3
2021-09-17,70.3
2021-10-01,72.8
2021-10-15,71.4
2021-10-29,71.7
2021-11-12,71.7
2021-11-24,67.4
2021-12-10,67.4
2021-12-23,70.6
2022-01-14,70.6
2022-01-28,67.2
2022-02-11,67.2
2022-02-25,62.8
2022-03-11,62.8
2022-03-25,59.4
2022-04-14,59.4
2022-04-29,65.2
2022-05-13,65.2
2022-05-27,58.4
2022-06-10,50.2
2022-06-24,50
2022-07-15,50
2022-07-29,51.5
2022-08-12,51.5
2022-08-26,58.2
2022-09-16,59.5
2022-09-30,58.6
2022-10-14,59.8
2022-10-28,59.9
2022-11-11,54.7
2022-11-23,56.8
2022-12-09,59.1
2022-12-23,59.7
2023-01-13,59.7
2023-01-27,64.9
2023-02-10,64.9
2023-02-24,67
2023-03-17,63.4
2023-03-31,62
2023-04-14,63.5
2023-04-28,63.5
2023-05-12,57.7
