Date,% Slower,% Same,% Faster,Diffusion Index
2012-08-01,10.0,83.0,7.0,51.5
2012-07-01,7.0,85.0,8.0,49.5
2012-06-01,10.0,82.0,8.0,51.0
2012-05-01,9.0,88.0,3.0,53.0
2012-04-01,8.0,87.0,5.0,51.5
2012-03-01,4.0,91.0,5.0,49.5
2012-02-01,4.0,91.0,5.0,49.5
2012-01-01,7.0,88.0,5.0,51.0
2011-12-01,9.0,85.0,6.0,51.5
2011-11-01,4.0,92.0,4.0,50.0
2011-10-01,7.0,90.0,3.0,52.0
2011-09-01,6.0,87.0,7.0,49.5
2011-08-01,10.0,86.0,4.0,53.0
2011-07-01,7.0,87.0,6.0,50.5
2011-06-01,9.0,86.0,5.0,52.0
2011-05-01,14.0,80.0,6.0,54.0
2011-04-01,10.0,86.0,4.0,53.0
2011-03-01,6.0,91.0,3.0,51.5
2011-02-01,9.0,86.0,5.0,52.0
2011-01-01,11.0,85.0,4.0,53.5
2010-12-01,8.0,87.0,5.0,51.5
2010-11-01,7.0,91.0,2.0,52.5
2010-10-01,8.0,86.0,6.0,51.0
2010-09-01,13.0,84.0,3.0,55.0
2010-08-01,11.0,80.0,9.0,51.0
2010-07-01,9.0,86.0,5.0,52.0
2010-06-01,10.0,86.0,4.0,53.0
2010-05-01,10.0,86.0,4.0,53.0
2010-04-01,13.0,81.0,6.0,53.5
2010-03-01,8.0,83.0,9.0,49.5
2010-02-01,12.0,83.0,5.0,53.5
2010-01-01,9.0,83.0,8.0,50.5
2009-12-01,8.0,85.0,7.0,50.5
2009-11-01,6.0,85.0,9.0,48.5
2009-10-01,6.0,89.0,5.0,50.5
2009-09-01,8.0,84.0,8.0,50.0
2009-08-01,7.0,84.0,9.0,49.0
2009-07-01,8.0,84.0,8.0,50.0
2009-06-01,3.0,86.0,11.0,46.0
2009-05-01,7.0,86.0,7.0,50.0
2009-04-01,3.0,85.0,12.0,45.5
2009-03-01,7.0,82.0,11.0,48.0
2009-02-01,8.0,80.0,12.0,48.0
2009-01-01,10.0,83.0,7.0,51.5
2008-12-01,8.0,80.0,12.0,48.0
2008-11-01,6.0,87.0,7.0,49.5
2008-10-01,6.0,84.0,10.0,48.0
2008-09-01,11.0,85.0,4.0,53.5
2008-08-01,16.0,79.0,5.0,55.5
2008-07-01,15.0,77.0,8.0,53.5
2008-06-01,8.0,85.0,7.0,50.5
2008-05-01,10.0,82.0,8.0,51.0
2008-04-01,17.0,78.0,5.0,56.0
2008-03-01,7.0,84.0,9.0,49.0
2008-02-01,7.0,86.0,7.0,50.0
2008-01-01,8.0,82.0,10.0,49.0
2007-12-01,13.0,79.0,8.0,52.5
2007-11-01,10.0,83.0,7.0,51.5
2007-10-01,9.0,82.0,9.0,50.0
2007-09-01,7.0,87.0,6.0,50.5
2007-08-01,7.0,87.0,6.0,50.5
2007-07-01,8.0,87.0,5.0,51.5
2007-06-01,8.0,85.0,7.0,50.5
2007-05-01,7.0,85.0,8.0,49.5
2007-04-01,9.0,84.0,7.0,51.0
2007-03-01,8.0,84.0,8.0,50.0
2007-02-01,10.0,85.0,5.0,52.5
2007-01-01,15.0,77.0,8.0,53.5
2006-12-01,10.0,82.0,8.0,51.0
2006-11-01,6.0,88.0,6.0,50.0
2006-10-01,13.0,83.0,4.0,54.5
2006-09-01,12.0,84.0,4.0,54.0
2006-08-01,13.0,81.0,6.0,53.5
2006-07-01,13.0,83.0,4.0,54.5
2006-06-01,17.0,78.0,5.0,56.0
2006-05-01,15.0,83.0,2.0,56.5
2006-04-01,11.0,87.0,2.0,54.5
2006-03-01,9.0,90.0,1.0,54.0
2006-02-01,8.0,89.0,3.0,52.5
2006-01-01,14.0,81.0,5.0,54.5
2005-12-01,16.0,81.0,3.0,56.5
2005-11-01,22.0,77.0,1.0,60.5
2005-10-01,21.0,75.0,4.0,58.5
2005-09-01,17.0,78.0,5.0,56.0
2005-08-01,12.0,86.0,2.0,55.0
2005-07-01,17.0,80.0,3.0,57.0
2005-06-01,14.0,85.0,1.0,56.5
2005-05-01,9.0,89.0,2.0,53.5
2005-04-01,9.0,88.0,3.0,53.0
2005-03-01,11.0,84.0,5.0,53.0
2005-02-01,10.0,85.0,5.0,52.5
2005-01-01,9.0,87.0,4.0,52.5
2004-12-01,15.0,81.0,4.0,55.5
2004-11-01,13.0,84.0,3.0,55.0
2004-10-01,13.0,86.0,1.0,56.0
2004-09-01,15.0,81.0,4.0,55.5
2004-08-01,16.0,82.0,2.0,57.0
2004-07-01,20.0,76.0,4.0,58.0
2004-06-01,17.0,81.0,2.0,57.5
2004-05-01,15.0,82.0,3.0,56.0
2004-04-01,19.0,78.0,3.0,58.0
2004-03-01,14.0,82.0,4.0,55.0
2004-02-01,15.0,81.0,4.0,55.5
2004-01-01,17.0,79.0,4.0,56.5
2003-12-01,10.0,84.0,6.0,52.0
2003-11-01,9.0,88.0,3.0,53.0
2003-10-01,12.0,82.0,6.0,53.0
2003-09-01,11.0,88.0,1.0,55.0
2003-08-01,8.0,89.0,3.0,52.5
2003-07-01,8.0,91.0,1.0,53.5
2003-06-01,6.0,91.0,3.0,51.5
2003-05-01,6.0,92.0,2.0,52.0
2003-04-01,5.0,91.0,4.0,50.5
2003-03-01,7.0,90.0,3.0,52.0
2003-02-01,11.0,83.0,6.0,52.5
2003-01-01,8.0,88.0,4.0,52.0
2002-12-01,10.0,85.0,5.0,52.5
2002-11-01,9.0,87.0,4.0,52.5
2002-10-01,9.0,89.0,2.0,53.5
2002-09-01,9.0,87.0,4.0,52.5
2002-08-01,10.0,86.0,4.0,53.0
2002-07-01,9.0,87.0,4.0,52.5
2002-06-01,10.0,87.0,3.0,53.5
2002-05-01,6.0,92.0,2.0,52.0
2002-04-01,6.0,91.0,3.0,51.5
2002-03-01,6.0,92.0,2.0,52.0
2002-02-01,9.0,88.0,3.0,53.0
2002-01-01,9.0,88.0,3.0,53.0
