Date,% Higher,% Same,% Lower,Diffusion Index
2017-07-01,29.0,58.0,13.0,55.9
2017-06-01,32.0,58.0,10.0,60.8
2017-05-01,37.0,50.0,13.0,60.7
2017-04-01,42.0,50.0,8.0,62.4
2017-03-01,36.0,50.0,14.0,58.9
2017-02-01,36.0,51.0,13.0,63.6
2017-01-01,34.0,44.0,22.0,60.3
2016-12-01,34.0,49.0,17.0,61.4
2016-11-01,32.0,55.0,13.0,61.7
2016-10-01,29.0,55.0,16.0,57.7
2016-09-01,33.0,54.0,13.0,60.3
2016-08-01,24.0,58.0,18.0,51.8
2016-07-01,35.0,52.0,13.0,59.3
2016-06-01,35.0,47.0,18.0,59.5
2016-05-01,33.0,49.0,18.0,55.1
2016-04-01,37.0,52.0,11.0,58.8
2016-03-01,36.0,52.0,12.0,59.8
2016-02-01,31.0,51.0,18.0,57.8
2016-01-01,30.0,41.0,29.0,53.9
2015-12-01,32.0,50.0,18.0,58.7
2015-11-01,32.0,51.0,17.0,58.2
2015-10-01,31.0,59.0,10.0,63.0
2015-09-01,31.0,58.0,11.0,60.2
2015-08-01,38.0,51.0,11.0,63.9
2015-07-01,40.0,50.0,10.0,64.9
2015-06-01,35.0,50.0,15.0,61.5
2015-05-01,39.0,47.0,14.0,59.5
2015-04-01,40.0,51.0,9.0,61.6
2015-03-01,36.0,51.0,13.0,57.5
2015-02-01,32.0,54.0,14.0,59.4
2015-01-01,35.0,45.0,20.0,61.5
2014-12-01,32.0,50.0,18.0,57.2
2014-11-01,37.0,51.0,12.0,64.4
2014-10-01,30.0,56.0,14.0,60.0
2014-09-01,37.0,50.0,13.0,62.9
2014-08-01,35.0,55.0,10.0,65.0
2014-07-01,34.0,55.0,11.0,62.4
2014-06-01,29.0,58.0,13.0,57.5
2014-05-01,36.0,56.0,8.0,62.1
2014-04-01,37.0,54.0,9.0,60.9
2014-03-01,31.0,54.0,15.0,53.4
2014-02-01,30.0,51.0,19.0,54.6
2014-01-01,27.0,52.0,21.0,56.3
2013-12-01,28.0,52.0,20.0,54.3
2013-11-01,26.0,55.0,19.0,55.3
2013-10-01,32.0,50.0,18.0,58.9
2013-09-01,27.0,56.0,17.0,55.8
2013-08-01,28.0,61.0,11.0,61.0
2013-07-01,31.0,55.0,14.0,59.5
2013-06-01,26.0,56.0,18.0,53.3
2013-05-01,31.0,56.0,13.0,57.0
2013-04-01,33.0,52.0,15.0,55.9
2013-03-01,36.0,51.0,13.0,56.6
2013-02-01,32.0,50.0,18.0,56.3
2013-01-01,31.0,44.0,25.0,56.4
2012-12-01,37.0,45.0,18.0,60.0
2012-11-01,31.0,55.0,14.0,60.9
2012-10-01,27.0,55.0,18.0,56.1
2012-09-01,30.0,59.0,11.0,60.2
2012-08-01,25.0,56.0,19.0,55.3
2012-07-01,29.0,52.0,19.0,56.2
2012-06-01,28.0,54.0,18.0,53.6
2012-05-01,31.0,55.0,14.0,56.4
2012-04-01,34.0,51.0,15.0,56.0
2012-03-01,37.0,53.0,10.0,58.5
2012-02-01,34.0,52.0,14.0,59.9
2012-01-01,28.0,54.0,18.0,58.7
2011-12-01,28.0,54.0,18.0,55.6
2011-11-01,26.0,55.0,19.0,56.1
2011-10-01,24.0,57.0,19.0,53.9
2011-09-01,27.0,59.0,14.0,56.8
2011-08-01,27.0,54.0,19.0,56.5
2011-07-01,30.0,50.0,20.0,56.6
2011-06-01,33.0,50.0,17.0,55.7
2011-05-01,29.0,57.0,14.0,55.0
2011-04-01,34.0,54.0,12.0,56.9
2011-03-01,37.0,52.0,11.0,58.2
2011-02-01,37.0,51.0,12.0,63.3
2011-01-01,34.0,47.0,19.0,61.6
2010-12-01,36.0,50.0,14.0,62.2
2010-11-01,28.0,56.0,16.0,59.1
2010-10-01,30.0,57.0,13.0,59.7
2010-09-01,25.0,56.0,19.0,53.3
2010-08-01,27.0,53.0,20.0,55.8
2010-07-01,27.0,57.0,16.0,57.4
2010-06-01,35.0,56.0,9.0,59.4
2010-05-01,38.0,53.0,9.0,61.3
2010-04-01,39.0,51.0,10.0,59.8
2010-03-01,37.0,50.0,13.0,57.7
2010-02-01,23.0,57.0,20.0,53.0
2010-01-01,26.0,44.0,30.0,51.5
2009-12-01,26.0,50.0,24.0,53.0
2009-11-01,23.0,52.0,25.0,50.9
2009-10-01,25.0,58.0,17.0,55.0
2009-09-01,25.0,56.0,19.0,53.8
2009-08-01,28.0,44.0,28.0,52.1
2009-07-01,19.0,53.0,28.0,47.0
2009-06-01,28.0,50.0,22.0,50.1
2009-05-01,20.0,52.0,28.0,43.1
2009-04-01,26.0,46.0,28.0,45.0
2009-03-01,24.0,44.0,32.0,42.8
2009-02-01,18.0,42.0,40.0,40.6
2009-01-01,19.0,43.0,38.0,44.1
2008-12-01,17.0,40.0,43.0,38.3
2008-11-01,9.0,48.0,43.0,34.2
2008-10-01,20.0,47.0,33.0,43.8
2008-09-01,23.0,53.0,24.0,50.4
2008-08-01,23.0,53.0,24.0,51.1
2008-07-01,24.0,51.0,25.0,51.0
2008-06-01,28.0,52.0,20.0,50.2
2008-05-01,32.0,50.0,18.0,53.3
2008-04-01,29.0,53.0,18.0,51.1
2008-03-01,30.0,50.0,20.0,51.7
2008-02-01,26.0,47.0,27.0,52.2
2008-01-01,18.0,40.0,42.0,41.9
2007-12-01,24.0,54.0,22.0,53.2
2007-11-01,29.0,51.0,20.0,55.7
2007-10-01,29.0,51.0,20.0,55.1
2007-09-01,25.0,56.0,19.0,54.2
2007-08-01,27.0,54.0,19.0,55.7
2007-07-01,30.0,52.0,18.0,57.1
2007-06-01,40.0,49.0,11.0,60.1
2007-05-01,39.0,46.0,15.0,58.1
2007-04-01,37.0,48.0,15.0,56.1
2007-03-01,30.0,52.0,18.0,52.8
2007-02-01,27.0,53.0,20.0,56.0
2007-01-01,30.0,45.0,25.0,58.3
2006-12-01,26.0,55.0,19.0,56.1
2006-11-01,32.0,53.0,15.0,59.2
2006-10-01,31.0,50.0,19.0,56.9
2006-09-01,25.0,56.0,19.0,54.4
2006-08-01,27.0,56.0,17.0,56.7
2006-07-01,30.0,52.0,18.0,56.3
2006-06-01,36.0,49.0,15.0,56.4
2006-05-01,35.0,53.0,12.0,58.1
2006-04-01,42.0,49.0,9.0,61.3
2006-03-01,37.0,53.0,10.0,60.0
2006-02-01,31.0,57.0,12.0,61.8
2006-01-01,27.0,51.0,22.0,58.6
2005-12-01,31.0,52.0,17.0,60.1
2005-11-01,31.0,56.0,13.0,59.2
2005-10-01,31.0,54.0,15.0,59.2
2005-09-01,27.0,54.0,19.0,55.2
2005-08-01,37.0,51.0,12.0,64.8
2005-07-01,35.0,53.0,12.0,61.3
2005-06-01,38.0,54.0,8.0,60.7
2005-05-01,30.0,61.0,9.0,57.5
2005-04-01,36.0,55.0,9.0,58.6
2005-03-01,37.0,56.0,7.0,61.3
2005-02-01,31.0,58.0,11.0,61.9
2005-01-01,29.0,53.0,18.0,62.5
2004-12-01,36.0,50.0,14.0,65.0
2004-11-01,34.0,57.0,9.0,62.8
2004-10-01,34.0,51.0,15.0,61.0
2004-09-01,35.0,49.0,16.0,60.0
2004-08-01,32.0,50.0,18.0,59.7
2004-07-01,38.0,52.0,10.0,63.2
2004-06-01,39.0,50.0,11.0,59.2
2004-05-01,40.0,51.0,9.0,62.6
2004-04-01,46.0,46.0,8.0,64.0
2004-03-01,42.0,48.0,10.0,62.3
2004-02-01,35.0,52.0,13.0,62.5
2004-01-01,40.0,40.0,20.0,67.7
2003-12-01,36.0,40.0,24.0,60.0
2003-11-01,34.0,54.0,12.0,61.1
2003-10-01,38.0,50.0,12.0,64.4
2003-09-01,38.0,53.0,9.0,63.8
2003-08-01,38.0,49.0,13.0,65.1
2003-07-01,38.0,50.0,12.0,62.7
2003-06-01,41.0,45.0,14.0,59.2
2003-05-01,31.0,51.0,18.0,54.6
2003-04-01,28.0,53.0,19.0,50.7
2003-03-01,23.0,53.0,24.0,46.3
2003-02-01,28.0,53.0,19.0,55.6
2003-01-01,24.0,51.0,25.0,56.2
2002-12-01,27.0,49.0,24.0,55.5
2002-11-01,30.0,53.0,17.0,56.8
2002-10-01,26.0,53.0,21.0,53.1
2002-09-01,32.0,49.0,19.0,54.9
2002-08-01,24.0,52.0,24.0,51.9
2002-07-01,25.0,54.0,21.0,52.1
2002-06-01,35.0,50.0,15.0,56.1
2002-05-01,34.0,55.0,11.0,60.5
2002-04-01,31.0,56.0,13.0,56.3
2002-03-01,32.0,57.0,11.0,57.1
2002-02-01,31.0,53.0,16.0,57.5
2002-01-01,21.0,48.0,31.0,49.8
2001-12-01,,,,50.7
2001-11-01,,,,49.4
2001-10-01,,,,40.5
2001-09-01,,,,49.7
2001-08-01,,,,47.4
2001-07-01,,,,48.1
2001-06-01,,,,51.6
2001-05-01,,,,47.9
2001-04-01,,,,48.3
2001-03-01,,,,50.0
2001-02-01,,,,51.5
2001-01-01,,,,52.5
2000-12-01,,,,57.5
2000-11-01,,,,59.7
2000-10-01,,,,58.6
2000-09-01,,,,59.8
2000-08-01,,,,61.3
2000-07-01,,,,56.5
2000-06-01,,,,60.3
2000-05-01,,,,59.8
2000-04-01,,,,61.1
2000-03-01,,,,60.5
2000-02-01,,,,58.2
2000-01-01,,,,57.7
1999-12-01,28.0,55.0,17.0,60.4
1999-11-01,24.0,63.0,13.0,57.0
1999-10-01,32.0,56.0,12.0,60.7
1999-09-01,33.0,56.0,11.0,59.1
1999-08-01,31.0,57.0,12.0,60.3
1999-07-01,31.0,57.0,12.0,60.7
1999-06-01,36.0,50.0,14.0,57.9
1999-05-01,30.0,60.0,10.0,57.7
1999-04-01,38.0,52.0,10.0,59.8
1999-03-01,35.0,55.0,10.0,59.5
1999-02-01,27.0,60.0,13.0,57.3
1999-01-01,29.0,50.0,21.0,58.8
1998-12-01,22.0,55.0,23.0,54.2
1998-11-01,26.0,54.0,20.0,54.9
1998-10-01,27.0,53.0,20.0,54.0
1998-09-01,32.0,54.0,14.0,57.4
1998-08-01,24.0,56.0,20.0,52.2
1998-07-01,33.0,49.0,18.0,58.6
1998-06-01,37.0,49.0,14.0,58.7
1998-05-01,40.0,48.0,12.0,61.2
1998-04-01,38.0,50.0,12.0,58.6
1998-03-01,31.0,57.0,12.0,57.0
1998-02-01,34.0,49.0,17.0,58.9
1998-01-01,31.0,52.0,17.0,61.4
1997-12-01,23.0,57.0,20.0,56.5
1997-11-01,35.0,49.0,16.0,61.9
1997-10-01,35.0,54.0,11.0,62.6
1997-09-01,34.0,53.0,13.0,59.1
1997-08-01,38.0,49.0,13.0,62.6
1997-07-01,36.0,43.0,21.0,58.6
