Date,% Slower,% Same,% Faster,Net,Index
1999-11-01,16.0,82.0,2.0,14.0,56.8
1999-10-01,15.0,83.0,2.0,13.0,56.2
1999-09-01,14.0,85.0,1.0,13.0,55.8
1999-08-01,8.0,89.0,3.0,5.0,51.4
1999-07-01,13.0,84.0,3.0,10.0,54.0
1999-06-01,9.0,87.0,4.0,5.0,52.6
1999-05-01,9.0,87.0,4.0,5.0,52.1
1999-04-01,3.0,93.0,4.0,-1.0,49.5
1999-03-01,7.0,89.0,4.0,3.0,52.3
1999-02-01,5.0,90.0,5.0,0.0,50.8
1999-01-01,7.0,85.0,8.0,-1.0,51.0
1998-12-01,4.0,88.0,8.0,-4.0,48.5
1998-11-01,6.0,90.0,4.0,2.0,50.4
1998-10-01,6.0,88.0,6.0,0.0,49.8
1998-09-01,6.0,91.0,3.0,3.0,50.8
1998-08-01,7.0,89.0,4.0,3.0,50.3
1998-07-01,7.0,88.0,5.0,2.0,50.2
1998-06-01,5.0,91.0,4.0,1.0,50.9
1998-05-01,9.0,86.0,5.0,4.0,51.5
1998-04-01,9.0,87.0,4.0,5.0,52.4
1998-03-01,8.0,88.0,4.0,4.0,53.0
1998-02-01,7.0,90.0,3.0,4.0,52.8
1998-01-01,8.0,87.0,5.0,3.0,53.0
1997-12-01,11.0,85.0,4.0,7.0,53.9
1997-11-01,15.0,82.0,3.0,12.0,55.2
1997-10-01,15.0,80.0,5.0,10.0,54.9
1997-09-01,15.0,81.0,4.0,11.0,54.8
1997-08-01,15.0,83.0,2.0,13.0,55.2
1997-07-01,12.0,87.0,1.0,11.0,54.7
1997-06-01,11.0,86.0,3.0,8.0,54.6
1997-05-01,14.0,83.0,3.0,11.0,55.0
1997-04-01,10.0,87.0,3.0,7.0,53.4
1997-03-01,8.0,88.0,4.0,4.0,53.1
1997-02-01,5.0,93.0,2.0,3.0,52.1
1997-01-01,4.0,89.0,7.0,-3.0,49.7
1996-12-01,7.0,89.0,4.0,3.0,52.0
1996-11-01,9.0,86.0,5.0,4.0,51.2
1996-10-01,5.0,92.0,3.0,2.0,50.9
1996-09-01,4.0,93.0,3.0,1.0,50.0
1996-08-01,9.0,88.0,3.0,6.0,51.9
1996-07-01,7.0,89.0,4.0,3.0,50.8
1996-06-01,8.0,88.0,4.0,4.0,52.8
1996-05-01,6.0,89.0,5.0,1.0,49.9
1996-04-01,4.0,91.0,5.0,-1.0,49.4
1996-03-01,7.0,83.0,10.0,-3.0,49.6
1996-02-01,7.0,84.0,9.0,-2.0,49.5
1996-01-01,6.0,82.0,12.0,-6.0,47.8
1995-12-01,5.0,84.0,11.0,-6.0,47.5
1995-11-01,5.0,82.0,13.0,-8.0,45.3
1995-10-01,6.0,85.0,9.0,-3.0,48.4
1995-09-01,8.0,85.0,7.0,1.0,50.0
1995-08-01,7.0,86.0,7.0,0.0,49.1
1995-07-01,10.0,84.0,6.0,4.0,51.3
1995-06-01,8.0,86.0,6.0,2.0,51.8
1995-05-01,14.0,80.0,6.0,8.0,53.3
1995-04-01,18.0,77.0,5.0,13.0,56.3
1995-03-01,17.0,77.0,6.0,11.0,56.9
1995-02-01,23.0,74.0,3.0,20.0,60.7
1995-01-01,26.0,72.0,2.0,24.0,62.7
1994-12-01,31.0,66.0,3.0,28.0,64.8
1994-11-01,34.0,63.0,3.0,31.0,64.7
1994-10-01,32.0,66.0,2.0,30.0,64.9
1994-09-01,29.0,68.0,3.0,26.0,62.5
1994-08-01,29.0,67.0,4.0,25.0,61.6
1994-07-01,21.0,76.0,3.0,18.0,58.1
1994-06-01,23.0,73.0,4.0,19.0,60.3
1994-05-01,24.0,74.0,2.0,22.0,60.2
1994-04-01,18.0,79.0,3.0,15.0,57.2
1994-03-01,13.0,82.0,5.0,8.0,55.4
1994-02-01,15.0,82.0,3.0,12.0,57.0
1994-01-01,10.0,88.0,2.0,8.0,54.4
1993-12-01,8.0,86.0,6.0,2.0,51.5
1993-11-01,6.0,91.0,3.0,3.0,50.9
1993-10-01,7.0,88.0,5.0,2.0,50.7
1993-09-01,7.0,90.0,3.0,4.0,51.3
1993-08-01,9.0,87.0,4.0,5.0,51.8
1993-07-01,6.0,91.0,3.0,3.0,51.0
1993-06-01,5.0,90.0,5.0,0.0,50.4
1993-05-01,9.0,86.0,5.0,4.0,51.5
1993-04-01,13.0,80.0,7.0,6.0,52.8
1993-03-01,7.0,89.0,4.0,3.0,52.7
1993-02-01,7.0,87.0,6.0,1.0,51.7
1993-01-01,6.0,92.0,2.0,4.0,52.3
1992-12-01,8.0,86.0,6.0,2.0,51.5
1992-11-01,10.0,84.0,6.0,4.0,51.3
1992-10-01,5.0,88.0,7.0,-2.0,48.6
1992-09-01,8.0,88.0,4.0,4.0,51.2
1992-08-01,7.0,88.0,5.0,2.0,50.3
1992-07-01,10.0,86.0,4.0,6.0,52.5
1992-06-01,8.0,85.0,7.0,1.0,50.8
1992-05-01,6.0,89.0,5.0,1.0,50.0
1992-04-01,3.0,89.0,8.0,-5.0,47.4
1992-03-01,5.0,89.0,6.0,-1.0,50.3
1992-02-01,6.0,83.0,11.0,-5.0,49.3
1992-01-01,4.0,89.0,7.0,-3.0,48.7
1991-12-01,6.0,85.0,9.0,-3.0,49.4
1991-11-01,8.0,85.0,7.0,1.0,50.1
1991-10-01,7.0,87.0,6.0,1.0,50.2
1991-09-01,7.0,85.0,8.0,-1.0,48.8
1991-08-01,5.0,88.0,7.0,-2.0,48.3
1991-07-01,7.0,88.0,5.0,2.0,49.6
1991-06-01,4.0,86.0,10.0,-6.0,47.1
1991-05-01,3.0,87.0,10.0,-7.0,46.0
1991-04-01,3.0,84.0,13.0,-10.0,45.0
1991-03-01,3.0,81.0,16.0,-13.0,43.9
1991-02-01,4.0,78.0,18.0,-14.0,44.7
1991-01-01,4.0,80.0,16.0,-12.0,44.4
1990-12-01,5.0,83.0,12.0,-7.0,47.2
1990-11-01,9.0,80.0,11.0,-2.0,48.6
1990-10-01,9.0,79.0,12.0,-3.0,48.1
1990-09-01,7.0,85.0,8.0,-1.0,48.9
1990-08-01,7.0,87.0,6.0,1.0,50.1
1990-07-01,6.0,83.0,11.0,-5.0,46.4
1990-06-01,9.0,81.0,10.0,-1.0,49.8
1990-05-01,8.0,81.0,11.0,-3.0,48.2
1990-04-01,7.0,80.0,13.0,-6.0,47.2
1990-03-01,5.0,84.0,11.0,-6.0,47.2
1990-02-01,3.0,80.0,17.0,-14.0,44.4
1990-01-01,7.0,82.0,11.0,-4.0,48.2
1989-12-01,4.0,78.0,18.0,-14.0,43.5
1989-11-01,5.0,75.0,20.0,-15.0,42.5
1989-10-01,3.0,81.0,16.0,-13.0,43.3
1989-09-01,7.0,8.0,16.0,-9.0,43.9
1989-08-01,5.0,78.0,17.0,-12.0,44.0
1989-07-01,7.0,79.0,14.0,-7.0,46.1
1989-06-01,6.0,80.0,14.0,-8.0,46.5
1989-05-01,12.0,75.0,13.0,-1.0,49.1
1989-04-01,15.0,74.0,11.0,4.0,52.2
1989-03-01,11.0,84.0,5.0,6.0,52.5
1989-02-01,16.0,74.0,10.0,6.0,54.0
1989-01-01,15.0,79.0,6.0,9.0,53.9
1988-12-01,15.0,77.0,8.0,7.0,53.0
1988-11-01,11.0,81.0,8.0,3.0,52.1
1988-10-01,17.0,77.0,6.0,11.0,54.8
1988-09-01,19.0,73.0,8.0,11.0,55.2
1988-08-01,20.0,73.0,7.0,13.0,57.4
1988-07-01,21.0,75.0,4.0,17.0,58.4
1988-06-01,32.0,63.0,5.0,27.0,65.6
1988-05-01,19.0,76.0,5.0,14.0,56.9
1988-04-01,21.0,74.0,5.0,16.0,58.6
1988-03-01,23.0,72.0,5.0,18.0,57.3
1988-02-01,26.0,70.0,4.0,22.0,61.2
1988-01-01,30.0,66.0,4.0,26.0,62.0
1987-12-01,30.0,67.0,3.0,27.0,62.7
1987-11-01,31.0,67.0,2.0,29.0,64.9
1987-10-01,31.0,64.0,5.0,26.0,62.2
1987-09-01,28.0,68.0,4.0,24.0,61.5
1987-08-01,20.0,78.0,2.0,18.0,60.3
1987-07-01,20.0,77.0,3.0,17.0,58.9
1987-06-01,15.0,80.0,5.0,10.0,56.8
1987-05-01,16.0,77.0,7.0,9.0,54.0
1987-04-01,11.0,82.0,7.0,4.0,52.8
1987-03-01,13.0,82.0,5.0,8.0,51.9
1987-02-01,9.0,84.0,7.0,2.0,51.2
1987-01-01,8.0,88.0,4.0,4.0,51.5
1986-12-01,8.0,88.0,4.0,4.0,52.8
1986-11-01,6.0,91.0,3.0,3.0,52.0
1986-10-01,8.0,86.0,6.0,2.0,51.3
1986-09-01,5.0,90.0,5.0,0.0,49.6
1986-08-01,6.0,87.0,7.0,-1.0,50.8
1986-07-01,6.0,88.0,6.0,0.0,49.9
1986-06-01,4.0,89.0,7.0,-3.0,49.9
1986-05-01,2.0,94.0,4.0,-2.0,50.2
1986-04-01,7.0,88.0,5.0,2.0,50.7
1986-03-01,7.0,92.0,1.0,6.0,50.5
1986-02-01,5.0,90.0,5.0,0.0,49.8
1986-01-01,5.0,90.0,5.0,0.0,50.1
1985-12-01,5.0,87.0,8.0,-3.0,49.3
1985-11-01,2.0,92.0,6.0,-4.0,48.5
1985-10-01,6.0,87.0,7.0,-1.0,50.0
1985-09-01,9.0,82.0,9.0,0.0,49.5
1985-08-01,4.0,83.0,13.0,-9.0,46.6
1985-07-01,4.0,84.0,12.0,-8.0,45.7
1985-06-01,5.0,82.0,13.0,-8.0,47.1
1985-05-01,8.0,81.0,11.0,-3.0,48.0
1985-04-01,6.0,81.0,13.0,-7.0,46.1
1985-03-01,5.0,88.0,7.0,-2.0,46.7
1985-02-01,7.0,84.0,9.0,-2.0,48.6
1985-01-01,5.0,90.0,5.0,0.0,50.4
1984-12-01,6.0,83.0,11.0,-5.0,48.8
1984-11-01,5.0,84.0,11.0,-6.0,48.1
1984-10-01,7.0,83.0,10.0,-3.0,49.3
1984-09-01,14.0,79.0,7.0,7.0,52.8
1984-08-01,15.0,78.0,7.0,8.0,55.2
1984-07-01,28.0,63.0,9.0,19.0,59.1
1984-06-01,21.0,69.0,10.0,11.0,56.2
1984-05-01,28.0,70.0,2.0,26.0,62.5
1984-04-01,36.0,59.0,5.0,31.0,64.6
1984-03-01,39.0,59.0,2.0,37.0,65.5
1984-02-01,27.0,71.0,2.0,25.0,61.5
1984-01-01,29.0,69.0,2.0,27.0,64.4
1983-12-01,24.0,74.0,2.0,22.0,62.1
1983-11-01,33.0,66.0,1.0,32.0,67.5
1983-10-01,27.0,70.0,3.0,24.0,62.8
1983-09-01,25.0,73.0,2.0,23.0,60.7
1983-08-01,22.0,74.0,4.0,18.0,60.2
1983-07-01,21.0,76.0,3.0,18.0,58.9
1983-06-01,16.0,80.0,4.0,12.0,56.8
1983-05-01,10.0,84.0,6.0,4.0,51.9
1983-04-01,12.0,83.0,5.0,7.0,52.7
1983-03-01,13.0,80.0,7.0,6.0,50.8
1983-02-01,9.0,84.0,7.0,2.0,49.9
1983-01-01,5.0,82.0,13.0,-8.0,46.7
1982-12-01,7.0,82.0,11.0,-4.0,48.6
1982-11-01,4.0,84.0,12.0,-8.0,46.9
1982-10-01,4.0,84.0,12.0,-8.0,46.5
1982-09-01,5.0,83.0,12.0,-7.0,45.9
1982-08-01,5.0,79.0,16.0,-11.0,45.3
1982-07-01,3.0,85.0,12.0,-9.0,45.8
1982-06-01,5.0,79.0,16.0,-11.0,45.2
1982-05-01,3.0,79.0,18.0,-15.0,42.1
1982-04-01,2.0,74.0,24.0,-22.0,38.2
1982-03-01,2.0,72.0,26.0,-24.0,36.4
1982-02-01,6.0,72.0,22.0,-16.0,40.8
1982-01-01,4.0,71.0,25.0,-21.0,40.1
1981-12-01,4.0,74.0,22.0,-18.0,41.2
1981-11-01,5.0,70.0,25.0,-20.0,40.5
1981-10-01,2.0,71.0,27.0,-25.0,37.7
1981-09-01,9.0,74.0,17.0,-8.0,45.9
1981-08-01,17.0,63.0,20.0,-3.0,49.6
1981-07-01,6.0,76.0,18.0,-12.0,44.9
1981-06-01,8.0,72.0,20.0,-12.0,47.9
1981-05-01,10.0,80.0,10.0,0.0,50.2
1981-04-01,14.0,77.0,9.0,5.0,51.2
1981-03-01,14.0,74.0,12.0,2.0,48.7
1981-02-01,12.0,77.0,11.0,1.0,48.5
1981-01-01,9.0,80.0,11.0,-2.0,49.7
1980-12-01,9.0,81.0,10.0,-1.0,50.1
1980-11-01,8.0,76.0,16.0,-8.0,46.8
