Date,% Too High,% About Right,% Too Low,Net,Index,% Reporting
2014-09-01,9.0,71.0,20.0,-11.0,44.5,59.0
2014-08-01,13.0,72.0,15.0,-2.0,49.0,63.0
2014-07-01,11.0,65.0,24.0,-13.0,43.5,64.0
2014-06-01,9.0,75.0,16.0,-7.0,46.5,65.0
2014-05-01,11.0,71.0,18.0,-7.0,46.5,67.0
2014-04-01,5.0,74.0,21.0,-16.0,42.0,62.0
2014-03-01,8.0,68.0,24.0,-16.0,42.0,60.0
2014-02-01,16.0,61.0,23.0,-7.0,46.5,61.3
2014-01-01,9.0,70.0,21.0,-12.0,44.0,66.0
2013-12-01,16.0,63.0,21.0,-5.0,47.5,67.0
2013-11-01,12.0,66.0,22.0,-10.0,45.0,65.0
2013-10-01,12.0,70.0,18.0,-6.0,47.0,60.0
2013-09-01,10.0,66.0,24.0,-14.0,43.0,71.0
2013-08-01,9.0,67.0,24.0,-15.0,42.5,66.0
2013-07-01,12.0,71.0,17.0,-5.0,47.5,67.0
2013-06-01,10.0,70.0,20.0,-10.0,45.0,66.0
2013-05-01,14.0,64.0,22.0,-8.0,46.0,70.0
2013-04-01,11.0,67.0,22.0,-11.0,44.5,71.0
2013-03-01,14.0,67.0,19.0,-5.0,47.5,75.0
2013-02-01,11.0,71.0,18.0,-7.0,46.5,69.0
2013-01-01,14.0,69.0,17.0,-3.0,48.5,71.0
2012-12-01,19.0,56.0,25.0,-6.0,47.0,64.0
2012-11-01,14.0,57.0,29.0,-15.0,42.5,66.0
2012-10-01,18.0,62.0,20.0,-2.0,49.0,68.0
2012-09-01,21.0,57.0,22.0,-1.0,49.5,68.0
2012-08-01,16.0,66.0,18.0,-2.0,49.0,70.0
2012-07-01,17.0,65.0,18.0,-1.0,49.5,69.0
2012-06-01,13.0,71.0,16.0,-3.0,48.5,70.0
2012-05-01,9.0,69.0,22.0,-13.0,43.5,70.0
2012-04-01,11.0,69.0,20.0,-9.0,45.5,71.0
2012-03-01,14.0,61.0,25.0,-11.0,44.5,72.0
2012-02-01,15.0,62.0,23.0,-8.0,46.0,65.0
2012-01-01,17.0,61.0,22.0,-5.0,47.5,64.0
2011-12-01,10.0,65.0,25.0,-15.0,42.5,73.0
2011-11-01,19.0,62.0,19.0,0.0,50.0,65.0
2011-10-01,12.0,63.0,25.0,-13.0,43.5,71.0
2011-09-01,17.0,64.0,19.0,-2.0,49.0,73.0
2011-08-01,15.0,63.0,22.0,-7.0,46.5,73.0
2011-07-01,11.0,66.0,23.0,-12.0,44.0,72.0
2011-06-01,13.0,68.0,19.0,-6.0,47.0,70.0
2011-05-01,6.0,67.0,27.0,-21.0,39.5,72.0
2011-04-01,9.0,63.0,28.0,-19.0,40.5,73.0
2011-03-01,11.0,57.0,32.0,-21.0,39.5,62.0
2011-02-01,7.0,66.0,27.0,-20.0,40.0,66.0
2011-01-01,11.0,69.0,20.0,-9.0,45.5,63.0
2010-12-01,8.0,64.0,28.0,-20.0,40.0,67.0
2010-11-01,13.0,65.0,22.0,-9.0,45.5,77.0
2010-10-01,15.0,58.0,27.0,-12.0,44.0,72.0
2010-09-01,13.0,59.0,28.0,-15.0,42.5,79.0
2010-08-01,11.0,65.0,24.0,-13.0,43.5,65.0
2010-07-01,6.0,66.0,28.0,-22.0,39.0,81.0
2010-06-01,4.0,68.0,28.0,-24.0,38.0,67.0
2010-05-01,5.0,54.0,41.0,-36.0,32.0,69.0
2010-04-01,9.0,48.0,43.0,-34.0,33.0,72.0
2010-03-01,11.0,56.0,33.0,-22.0,39.0,75.0
2010-02-01,7.0,60.0,33.0,-26.0,37.0,71.0
2010-01-01,4.0,56.0,40.0,-36.0,32.0,73.0
2009-12-01,7.0,56.0,37.0,-30.0,35.0,73.0
2009-11-01,7.0,60.0,33.0,-26.0,37.0,75.0
2009-10-01,7.0,63.0,30.0,-23.0,38.5,75.0
2009-09-01,9.0,60.0,31.0,-22.0,39.0,71.0
2009-08-01,12.0,54.0,34.0,-22.0,39.0,75.0
2009-07-01,15.0,55.0,30.0,-15.0,42.5,77.0
2009-06-01,15.0,57.0,28.0,-13.0,43.5,74.0
2009-05-01,23.0,46.0,31.0,-8.0,46.0,72.0
2009-04-01,21.0,57.0,22.0,-1.0,49.5,80.0
2009-03-01,29.0,50.0,21.0,8.0,54.0,78.0
2009-02-01,28.0,46.0,26.0,2.0,51.0,80.0
2009-01-01,31.0,49.0,20.0,11.0,55.5,80.0
2008-12-01,30.0,54.0,16.0,14.0,57.0,73.0
2008-11-01,31.0,48.0,21.0,10.0,55.0,70.0
2008-10-01,28.0,54.0,18.0,10.0,55.0,77.0
2008-09-01,23.0,61.0,16.0,7.0,53.5,77.0
2008-08-01,22.0,65.0,13.0,9.0,54.5,66.0
2008-07-01,17.0,60.0,23.0,-6.0,47.0,74.0
2008-06-01,25.0,60.0,15.0,10.0,55.0,72.0
2008-05-01,14.0,66.0,20.0,-6.0,47.0,67.0
2008-04-01,12.0,66.0,22.0,-10.0,45.0,72.0
2008-03-01,16.0,70.0,14.0,2.0,51.0,78.0
2008-02-01,13.0,72.0,15.0,-2.0,49.0,70.0
2008-01-01,13.0,73.0,14.0,-1.0,49.5,70.0
2007-12-01,20.0,63.0,17.0,3.0,51.5,75.0
2007-11-01,13.0,72.0,15.0,-2.0,49.0,79.0
2007-10-01,20.0,68.0,12.0,8.0,54.0,73.0
2007-09-01,16.0,68.0,16.0,0.0,50.0,76.0
2007-08-01,13.0,72.0,15.0,-2.0,49.0,70.0
2007-07-01,18.0,66.0,16.0,2.0,51.0,71.0
2007-06-01,12.0,70.0,18.0,-6.0,47.0,67.0
2007-05-01,9.0,78.0,13.0,-4.0,48.0,76.0
2007-04-01,13.0,68.0,19.0,-6.0,47.0,77.0
2007-03-01,11.0,74.0,15.0,-4.0,48.0,75.0
2007-02-01,17.0,72.0,11.0,6.0,53.0,74.0
2007-01-01,19.0,66.0,15.0,4.0,52.0,75.0
2006-12-01,18.0,65.0,17.0,1.0,50.5,79.0
2006-11-01,14.0,73.0,13.0,1.0,50.5,72.0
2006-10-01,19.0,66.0,15.0,4.0,52.0,74.0
2006-09-01,15.0,68.0,17.0,-2.0,49.0,71.0
2006-08-01,10.0,72.0,18.0,-8.0,46.0,75.0
2006-07-01,12.0,65.0,23.0,-11.0,44.5,73.0
2006-06-01,12.0,67.0,21.0,-9.0,45.5,75.0
2006-05-01,11.0,66.0,23.0,-12.0,44.0,74.0
2006-04-01,13.0,67.0,20.0,-7.0,46.5,72.0
2006-03-01,14.0,68.0,18.0,-4.0,48.0,68.0
2006-02-01,15.0,67.0,18.0,-3.0,48.5,75.0
2006-01-01,9.0,74.0,17.0,-8.0,46.0,75.0
2005-12-01,13.0,70.0,17.0,-4.0,48.0,76.0
2005-11-01,9.0,69.0,22.0,-13.0,43.5,72.0
2005-10-01,8.0,66.0,26.0,-18.0,41.0,79.0
2005-09-01,9.0,71.0,20.0,-11.0,44.5,74.0
2005-08-01,13.0,67.0,20.0,-7.0,46.5,72.0
2005-07-01,11.0,67.0,22.0,-11.0,44.5,72.0
2005-06-01,10.0,68.0,22.0,-12.0,44.0,73.0
2005-05-01,14.0,67.0,19.0,-5.0,47.5,73.0
2005-04-01,10.0,63.0,27.0,-17.0,41.5,68.0
2005-03-01,11.0,70.0,19.0,-8.0,46.0,77.0
2005-02-01,8.0,69.0,23.0,-15.0,42.5,69.0
2005-01-01,8.0,73.0,19.0,-11.0,44.5,71.0
2004-12-01,10.0,68.0,22.0,-12.0,44.0,75.0
2004-11-01,10.0,67.0,23.0,-13.0,43.5,74.0
2004-10-01,10.0,67.0,23.0,-13.0,43.5,72.0
2004-09-01,8.0,67.0,25.0,-17.0,41.5,71.0
2004-08-01,11.0,69.0,20.0,-9.0,45.5,73.0
2004-07-01,6.0,63.0,31.0,-25.0,37.5,76.0
2004-06-01,8.0,62.0,30.0,-22.0,39.0,72.0
2004-05-01,6.0,62.0,32.0,-26.0,37.0,70.0
2004-04-01,11.0,59.0,30.0,-19.0,40.5,73.0
2004-03-01,8.0,63.0,29.0,-21.0,39.5,78.0
2004-02-01,7.0,63.0,30.0,-23.0,38.5,76.0
2004-01-01,7.0,66.0,27.0,-20.0,40.0,72.0
2003-12-01,5.0,68.0,27.0,-22.0,39.0,74.0
2003-11-01,8.0,63.0,29.0,-21.0,39.5,77.0
2003-10-01,5.0,68.0,27.0,-22.0,39.0,73.0
2003-09-01,9.0,71.0,20.0,-11.0,44.5,73.0
2003-08-01,9.0,68.0,23.0,-14.0,43.0,74.0
2003-07-01,8.0,69.0,23.0,-15.0,42.5,81.0
2003-06-01,12.0,67.0,21.0,-9.0,45.5,79.0
2003-05-01,10.0,70.0,20.0,-10.0,45.0,78.0
2003-04-01,10.0,69.0,21.0,-11.0,44.5,75.0
2003-03-01,12.0,60.0,28.0,-16.0,42.0,72.0
2003-02-01,13.0,66.0,21.0,-8.0,46.0,69.0
2003-01-01,10.0,65.0,25.0,-15.0,42.5,79.0
2002-12-01,10.0,66.0,24.0,-14.0,43.0,82.0
2002-11-01,12.0,69.0,19.0,-7.0,46.5,80.0
2002-10-01,9.0,67.0,24.0,-15.0,42.5,83.0
2002-09-01,6.0,69.0,25.0,-19.0,40.5,81.0
2002-08-01,6.0,73.0,21.0,-15.0,42.5,80.0
2002-07-01,9.0,67.0,24.0,-15.0,42.5,87.0
2002-06-01,10.0,69.0,21.0,-11.0,44.5,85.0
2002-05-01,4.0,70.0,26.0,-22.0,39.0,85.0
2002-04-01,8.0,65.0,27.0,-19.0,40.5,86.0
2002-03-01,7.0,66.0,27.0,-20.0,40.0,87.0
2002-02-01,8.0,67.0,25.0,-17.0,41.5,88.0
2002-01-01,10.0,67.0,23.0,-12.0,43.5,88.0
2001-12-01,11.0,66.0,23.0,-12.0,44.0,91.0
2001-11-01,12.0,65.0,23.0,-11.0,44.5,89.0
2001-10-01,11.0,67.0,22.0,-11.0,44.5,86.0
2001-09-01,13.0,71.0,16.0,-3.0,48.5,89.0
2001-08-01,13.0,71.0,16.0,-3.0,48.5,89.0
2001-07-01,9.0,72.0,19.0,-10.0,45.0,86.0
2001-06-01,14.0,68.0,18.0,-4.0,48.0,87.0
2001-05-01,19.0,64.0,17.0,2.0,51.0,93.0
2001-04-01,20.0,60.0,20.0,0.0,50.0,94.0
2001-03-01,19.0,66.0,15.0,4.0,52.0,88.0
2001-02-01,22.0,61.0,17.0,5.0,52.5,89.0
2001-01-01,26.0,60.0,14.0,12.0,56.0,86.0
2000-12-01,19.0,64.0,,19.0,51.0,87.0
2000-11-01,17.0,69.0,14.0,3.0,51.5,90.0
2000-10-01,14.0,73.0,13.0,1.0,50.5,88.0
2000-09-01,13.0,71.0,16.0,-3.0,48.5,86.0
2000-08-01,15.0,71.0,14.0,1.0,50.5,87.0
2000-07-01,10.0,79.0,11.0,-1.0,49.5,90.0
2000-06-01,10.0,74.0,16.0,-6.0,47.0,89.0
2000-05-01,12.0,77.0,11.0,1.0,50.5,89.0
2000-04-01,9.0,76.0,15.0,-6.0,47.0,88.0
2000-03-01,10.0,76.0,14.0,-4.0,48.0,88.0
2000-02-01,9.0,78.0,13.0,-4.0,48.0,89.0
2000-01-01,10.0,73.0,17.0,-7.0,46.5,87.0
1999-12-01,11.0,75.0,14.0,-3.0,48.5,83.0
1999-11-01,14.0,69.0,17.0,-3.0,48.5,85.0
1999-10-01,7.0,75.0,18.0,-11.0,44.5,90.0
1999-09-01,7.0,73.0,20.0,-13.0,43.5,88.0
1999-08-01,11.0,69.0,20.0,-9.0,45.5,86.0
1999-07-01,10.0,70.0,20.0,-10.0,45.0,88.0
1999-06-01,6.0,75.0,19.0,-13.0,43.5,88.0
1999-05-01,8.0,75.0,17.0,-9.0,45.5,86.0
1999-04-01,7.0,76.0,17.0,-10.0,45.0,88.0
1999-03-01,9.0,69.0,22.0,-13.0,43.5,86.0
1999-02-01,8.0,70.0,22.0,-14.0,43.0,83.0
1999-01-01,10.0,68.0,22.0,-12.0,44.0,91.0
1998-12-01,14.0,66.0,20.0,-6.0,47.0,89.0
1998-11-01,12.0,71.0,17.0,-5.0,47.5,85.0
1998-10-01,14.0,73.0,13.0,1.0,50.5,83.0
1998-09-01,15.0,68.0,17.0,-2.0,49.0,84.0
1998-08-01,13.0,75.0,12.0,1.0,50.5,83.0
1998-07-01,11.0,72.0,17.0,-6.0,47.0,80.0
1998-06-01,8.0,73.0,19.0,-11.0,44.5,83.0
1998-05-01,12.0,71.0,17.0,-5.0,47.5,86.0
1998-04-01,13.0,72.0,15.0,-2.0,49.0,87.0
1998-03-01,9.0,76.0,15.0,-6.0,47.0,83.0
1998-02-01,8.0,77.0,15.0,-7.0,46.5,85.0
1998-01-01,9.0,77.0,14.0,-5.0,47.5,83.0
1997-12-01,9.0,75.0,16.0,-7.0,46.5,87.0
1997-11-01,8.0,80.0,12.0,-4.0,48.0,82.0
1997-10-01,10.0,74.0,16.0,-6.0,47.0,73.0
1997-09-01,13.0,73.0,14.0,-1.0,49.5,66.0
1997-08-01,16.0,62.0,22.0,-6.0,47.0,59.0
1997-07-01,10.0,75.0,15.0,-5.0,47.5,56.0
1997-06-01,14.0,73.0,13.0,1.0,50.5,67.0
1997-05-01,5.0,79.0,16.0,-11.0,44.5,59.0
1997-04-01,7.0,80.0,13.0,-6.0,47.0,61.0
1997-03-01,13.0,67.0,20.0,-7.0,46.5,62.0
1997-02-01,13.0,63.0,24.0,-11.0,44.5,58.0
1997-01-01,11.0,71.0,18.0,-7.0,46.5,61.0
