Code,Name,Naics1,Nacis2,Duns,Website
129,Bay Cove Human Services Inc,623210,621498,04-944-4565,baycovehumanservices.org
130,Rs Legacy Corporation,443142,443142,00-801-2635 - Archived Record,
131,Pacific Wood Laminates Inc,321212,321211,92-922-9094 - Archived Record,pacificwoodlaminates.com
132,Sweet Street Desserts Inc,311811,,00-913-9676 - Archived Record,sweetstreet.com
133,Th Foods Inc,311821,,10-692-3329 - Archived Record,thfoods.com
134,Yucaipa Companies LLC,541618,551112,19-692-5077,yucaipaco.com
135,Hume Lake Christian Camps Inc,721214,452319,02-819-1930 - Archived Record,hume.org
136,United Artists Theatre Company,512131,,79-377-0306 - Archived Record,
137,Gill Holding Company Inc,336370,333514,07-933-7831 - Archived Record,gill-industries.com
138,Imperial Toy LLC,339930,,04-933-7249 - Archived Record,imperialtoy.com
139,North Pacific Seafoods Inc,311710,,05-835-3525 - Archived Record,northpacificseafoods.com
140,Del Monte Foods Inc,424490,311421,07-917-6828,delmonte.com
141,Hepaco LLC,562910,,11-599-3297,hepaco.com
142,Cunningham Lindsey US LLC,524291,,06-897-9863,
143,Fiegen & Bisenius Inc,611511,611620,08-711-9756,
144,National Trctr-Triler Schl Inc,611692,,07-085-8261 - Archived Record,
145,Thorntons Inc,311811,445120,05-427-4758 - Archived Record,
146,Griffiths Holding Corporation,333514,332119,07-842-5496,griffithscorp.com
147,Metals Recovery Holdings LLC,331410,,80-708-0077,befesa.com
148,Hood Companies Inc,326150,324122,83-047-9478 - Archived Record,
149,Deceuninck North America LLC,326121,,01-300-3863,deceuninckna.com
150,Ragged Mountain Ski Area Inc,487990,713910,18-688-9176,raggedmountainresort.com
151,Fedex Sup Chain Dist Sys Inc,493110,488510,79-618-5445,fedex.com
152,Harrison Global LLC,485320,,07-880-1210,nc.harrisontrans.com
153,Kohl & Madden Prtg Ink Corp,325910,333993,00-506-0959 - Archived Record,
154,Innomark Communications LLC,541850,,11-932-0781,innomarkcom.com
155,Accupac Inc,561910,,07-160-9663 - Archived Record,accupac.com
156,Ontrac Logistics Inc,492210,,83-756-3717,ontrac.com
157,Cemex Inc,327320,327331,18-984-0945,cemex.com
158,Onewater Marine Holdings LLC,441222,,07-960-6253 - Archived Record,
159,Galactic Enterprises LLC,488999,336414,82-860-1125,virgingalactic.com
160,Whatever It Tkes Trnsmssons PR,425120,336390,17-127-1724,wittrans.com
161,Metropool Inc,487110,,03-146-5792 - Archived Record,metropool.com
162,Wyckoff Farms Incorporated,111998,311423,08-250-4358,wyckoff-farms.com
163,Solae LLC,311224,311225,18-050-2684,tasteofsolae.com
164,Fei Company,334516,,09-914-1541 - Archived Record,fei.com
165,Alfred Music Group Inc,512230,,83-284-0941 - Archived Record,
166,Exos Aerospace Systems & Tech,927110,,07-987-4626 - Archived Record,
167,Aecom,541330,541310,15-356-1212,aecom.com
168,Future Foam Inc,326150,,00-726-1415,futurefoam.com
169,Interntnal Rscue Committee Inc,624190,,07-885-4940,rescue.org
170,Brose North America Inc,423140,,08-674-4182 - Archived Record,
171,National Concrete Pipe Co,327332,484110,00-511-4699,nationalconcretepipe.com
172,Stella-Jones US Holding Corp,321114,,00-500-7364 - Archived Record,jacksonkelly.com
173,La Rosa Tortilla Factory Inc,311830,,78-947-6991,larosatortillafactory.com
174,Tdindustries Inc,238220,,00-736-8780 - Archived Record,tdindustries.com
175,Natural Markets Food Group,446191,,07-917-6973 - Archived Record,
176,Jones Financial Companies Lllp,523120,524298,18-592-3232 - Archived Record,edwardjones.com
177,Rother Brothers Inc,444210,,07-429-3168 - Archived Record,rotherbros.com
178,Bcti Income Fund 1,611420,,18-672-8275 - Archived Record,
179,Iheartmedia Capital II LLC,517919,517911,96-813-8813 - Archived Record,iheart.com
180,Golin/Harris International Inc,541820,,05-057-1801 - Archived Record,
181,Southern Lithoplate Inc,323120,,03-398-8296,slp.com
182,Atlas Industrial Mfg Co,332410,,00-216-2998 - Archived Record,
183,Freds Inc,452319,446110,00-586-6116 - Archived Record,
184,Triple Cities Services Inc,561439,453210,78-512-9909 - Archived Record,packandmailblog.wordpress.com
185,Tenn Dept Childrens Services,624110,923130,87-829-8090 - Archived Record,tn.gov
186,Ecom Atlantic Inc,424590,424490,08-513-4211,ecomtrading.com
187,Motivepower Inc,336510,,11-475-9124,wabteccorp.com
188,Preformed Line Products Co,335932,334210,00-420-2420,preformed.com
189,Wallenius Wilhelmsen Logistics,483111,,04-617-1039 - Archived Record,
190,Hid Global Corporation,334515,238210,55-628-8280,hidglobal.com
191,Anchor Concrete Products Inc,327331,423320,00-232-4044,oldcastlemasonry.com
192,Taco Inc,333414,333914,00-119-7011,tacocomfort.com
193,CMI Industry Americas Inc,333994,,00-447-0779,johncockerill.com
194,Arrow International Inc,339930,,00-452-4450,arrowinternational.com
195,Gfg Management LLC,445291,,04-939-1156 - Archived Record,
196,Cross Country Home Svcs Inc,524128,,19-601-2975 - Archived Record,cchs.com
197,Growers Fertilizer Corporation,325312,325320,00-409-5121 - Archived Record,
198,Anchor Glass Container Corp,327213,,96-647-5170,anchorglass.com
199,As America Inc,332913,327110,80-911-9709,americanstandard-us.com
200,Healthy Brand Oil Corp,311225,,18-447-4315,healthybrandoil.com
201,Advanced Call Center Tech LLC,561421,,96-481-1475,acttoday.com
202,Merchants Metals LLC,332618,332323,04-890-8180,merchantsmetals.com
203,AGC Chemicals Americas Inc,325991,,12-291-6773 - Archived Record,
204,Deer Valley Resort Company LLC,532284,,94-930-1337 - Archived Record,
205,Duarte Nursery Inc,111421,,36-168-7080,duartenursery.com
206,U S Holdings Inc,331511,332999,10-198-6156,
207,Beaver Oil Co Inc,562119,,06-441-8353 - Archived Record,beaveroil.com
208,Jacuzzi Products Co,326191,,00-914-0005,jacuzzibrands.com
209,Executive Airshare LLC,481211,,03-377-3776 - Archived Record,flyairshare.com
